iter	RMSE
0	2403.47948
1	1924.198848
2	1557.760555
3	1259.209935
4	1051.707411
5	795.3716284
6	653.2174269
7	499.2223289
8	442.2338971
9	349.4044142
10	270.7379923
11	204.4839947
12	154.4434298
13	120.9137871
14	98.49888228
15	76.38157156
16	57.68975659
17	43.90349556
18	33.32280235
19	26.12965314
20	20.04367473
21	15.13866097
22	11.43398399
23	8.635901824
24	6.522555951
25	4.926380244
26	3.720814738
27	2.810270752
28	2.122551714
29	1.603128729
30	1.210817011
31	0.9145103614
32	0.6907147767
33	0.5216856177
34	0.3940206477
35	0.2975973758
36	0.2247704495
37	0.1697654585
38	0.128221085
39	0.09684329652
40	0.07314416408
41	0.05524459546
42	0.04172534291
43	0.03151447171
44	0.02380236704
45	0.01797754004
46	0.0135781431
47	0.01025535027
48	0.007745698977
49	0.005850200244
50	0.004418560933
51	0.003337267085
52	0.002520583458
53	0.001903755621
54	0.001437875604
55	0.001086004018
56	0.0008202411415
57	0.0006195147707
58	0.0004679094132
59	0.0003534043565
60	0.0002669205529
61	0.0002016007451
62	0.0001522657582
63	0.0001150038464
64	8.686053134e-05
65	6.560434376e-05
66	4.954989196e-05
67	3.742422624e-05
68	2.82659083e-05
69	2.134878006e-05
70	1.612438585e-05
71	1.217848603e-05
72	9.198211812e-06
73	6.947259556e-06
74	5.247152022e-06
75	3.963088479e-06
76	2.993256269e-06
77	2.260757738e-06
78	1.707513299e-06
79	1.289656963e-06
80	9.740568125e-07
81	7.356893105e-07
82	5.556542449e-07
83	4.196765145e-07
84	3.16974544e-07
85	2.394056365e-07
86	1.808189185e-07
87	1.365696029e-07
88	1.031488337e-07
89	7.790641846e-08
90	5.884142394e-08
91	4.444181716e-08
92	3.356594427e-08
93	2.535178128e-08
94	1.91481013e-08
95	1.446224659e-08
96	1.092327086e-08
97	8.250184705e-09
98	6.231430403e-09
99	4.706498753e-09
100	3.554618397e-09
101	2.684781375e-09
102	2.027674096e-09
103	1.531426737e-09
104	1.15673273e-09
105	8.735707601e-10
106	6.599250115e-10
107	4.983819947e-10
108	3.765380639e-10
109	2.842808038e-10
110	2.147932643e-10
111	1.621956099e-10
112	1.22425651e-10
113	9.221973875e-11
114	6.952069974e-11
115	5.263183165e-11
116	3.996347042e-11
117	3.025498264e-11
118	2.296297233e-11
119	1.731882209e-11
120	1.309888899e-11
121	1.009264009e-11
122	7.853918765e-12
123	6.199544848e-12
124	4.778712519e-12
125	3.492980681e-12
126	2.839896296e-12
127	2.526085427e-12
128	2.362936549e-12
129	2.331471276e-12
130	2.331471276e-12
131	2.331471276e-12
132	2.331471276e-12
133	2.331471276e-12
134	2.331471276e-12
135	2.331471276e-12
136	2.331471276e-12
137	2.331471276e-12
138	2.331471276e-12
139	2.331471276e-12
140	2.331471276e-12
141	2.331471276e-12
142	2.331471276e-12
143	2.331471276e-12
144	2.331471276e-12
145	2.331471276e-12
146	2.331471276e-12
147	2.331471276e-12
148	2.331471276e-12
149	2.331471276e-12
150	2.331471276e-12
151	2.331471276e-12
152	2.331471276e-12
153	2.331471276e-12
154	2.331471276e-12
155	2.331471276e-12
156	2.331471276e-12
157	2.331471276e-12
158	2.331471276e-12
159	2.331471276e-12
160	2.331471276e-12
161	2.331471276e-12
162	2.331471276e-12
163	2.331471276e-12
164	2.331471276e-12
165	2.331471276e-12
166	2.331471276e-12
167	2.331471276e-12
168	2.331471276e-12
169	2.331471276e-12
170	2.331471276e-12
171	2.331471276e-12
172	2.331471276e-12
173	2.331471276e-12
174	2.331471276e-12
175	2.331471276e-12
176	2.331471276e-12
177	2.331471276e-12
178	2.331471276e-12
179	2.331471276e-12
180	2.331471276e-12
181	2.331471276e-12
182	2.331471276e-12
183	2.331471276e-12
184	2.331471276e-12
185	2.331471276e-12
186	2.331471276e-12
187	2.331471276e-12
188	2.331471276e-12
189	2.331471276e-12
190	2.331471276e-12
191	2.331471276e-12
192	2.331471276e-12
193	2.331471276e-12
194	2.331471276e-12
195	2.331471276e-12
196	2.331471276e-12
197	2.331471276e-12
198	2.331471276e-12
199	2.331471276e-12
200	2.331471276e-12
201	2.331471276e-12
202	2.331471276e-12
203	2.331471276e-12
204	2.331471276e-12
205	2.331471276e-12
206	2.331471276e-12
207	2.331471276e-12
208	2.331471276e-12
209	2.331471276e-12
210	2.331471276e-12
211	2.331471276e-12
212	2.331471276e-12
213	2.331471276e-12
214	2.331471276e-12
215	2.331471276e-12
216	2.331471276e-12
217	2.331471276e-12
218	2.331471276e-12
219	2.331471276e-12
220	2.331471276e-12
221	2.331471276e-12
222	2.331471276e-12
223	2.331471276e-12
