pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
43,"S/ 2,100",S/ 275 Mantenimiento,Aviación,"San Miguel, Lima",76 m² tot.,3 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-de-76-m-sup2--en-piso-10-calle-149607455.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=1
43,"S/ 12,250 · USD 3,500",,Av. Aurelio Miró Quesada,"San Isidro, Lima",205 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-e-implementado-de-205-m-sup2-149604928.html?n_src=Listado&n_pills=Ascensor&n_pg=43&n_pos=2
43,"S/ 2,100 · USD 600",S/ 180 Mantenimiento,Jr.Centenario,"Confraternidad, Barranco",45 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-apartamento-en-barranco-con-muebles-y-linea-blanca-149604602.html?n_src=Listado&n_pills=Piscina&n_pg=43&n_pos=3
43,S/ 960,,8 De Marzo 129,"Carabayllo, Comas",100 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-grande-depa-100-m-sup2--cerca-a-est.-143724060.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=4
43,"S/ 2,400 · USD 700",S/ 1 Mantenimiento,Calle Manuel Roaud y Paz Soldán,"San Isidro, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-40-m-sup2--de-estreno-en-san-isidro-149368070.html?n_src=Listado&n_pills=Gimnasio&n_pg=43&n_pos=5
43,"S/ 1,350",,ALT CDRA 7 DE AV PATRIOTAS,"San Miguel, Lima",60 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-san-miguel-2-dormitorio-1-350-soles-149604333.html?n_src=Listado&n_pg=43&n_pos=6
43,"S/ 2,900 · USD 860",S/ 250 Mantenimiento,calle vilcabamba,"Santiago de Surco, Lima",110 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-oficina-o-loft-surco-vista-a-parque.-2-149594456.html?n_src=Listado&n_pills=Gimnasio&n_pg=43&n_pos=7
43,"S/ 2,800 · USD 820",S/ 240 Mantenimiento,Jr. Estados Unidos,"Jesús María, Lima",60 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-60-m-sup2--con-2-habitaciones-en-149594447.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=43&n_pos=8
43,"S/ 3,000 · USD 851",S/ 300 Mantenimiento,Av. Javier Prado Este 595,"San Isidro, Lima",60 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-vive-en-la-zona-mas-exclusiva-de-san-149591105.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=9
43,"S/ 1,600",S/ 270 Mantenimiento,Av. Costanera 2210,"San Miguel, Lima",42 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-1-dorm.-costanera-san-149265223.html?n_src=Listado&n_pills=Ascensor&n_pg=43&n_pos=10
43,"S/ 2,700 · USD 789",S/ 280 Mantenimiento,ALAMEDA DE LA PAZ CON ALAMEDA DEL CORREGIDOR LA MOLINA,"Las Viñas, La Molina",140 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-amoblado-y-equipado-la-molina!-146925811.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=11
43,"S/ 2,200 · USD 600",S/ 200 Mantenimiento,bertolotto 111,"San Miguel, Lima",50 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-lindo-departamento-frente-al-mar-bertolotto-143136226.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=43&n_pos=12
43,"S/ 1,850",,Av. Los Ruiseñores,"Santa Anita, Lima",100 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-lindo-departamento-espacioso-av-ruisenores-7xx-149400861.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=13
43,"S/ 2,475 · USD 750",S/ 260 Mantenimiento,Avenida Paseo de la Republica,"Aurora, Miraflores",80 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-miraflores-paseo-de-republica-muy-comodo-149355374.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=14
43,"S/ 3,200",S/ 380 Mantenimiento,Av. El Derby,"Santiago de Surco, Lima",100 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-flat-en-alquiler-en-el-derby-143099552.html?n_src=Listado&n_pills=Seguridad&n_pg=43&n_pos=15
43,"S/ 2,700 · USD 800",S/ 100 Mantenimiento,Calle Alfa Orión 129,"La Calera, Surquillo",110 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclappa-espacioso-duplex-149573907.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=16
43,"S/ 2,800",S/ 500 Mantenimiento,Calle PAJATEN 105 - 3,"Santiago de Surco, Lima",61 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-hermoso-departamento-frente-a-parque-en-149579027.html?n_src=Listado&n_pills=Ascensor&n_pg=43&n_pos=17
43,"S/ 2,500",S/ 290 Mantenimiento,Av. Salaverry,"Jesús María, Lima",62 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-con-balcon-y-02-estacionamientos-149579021.html?n_src=Listado&n_pills=Gimnasio&n_pg=43&n_pos=18
43,"S/ 3,900",S/ 350 Mantenimiento,Jr. López de Ayala,"San Borja, Lima",90 m² tot.,2 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-amoblado-y-equipado-en-san-149578078.html?n_src=Listado&n_pills=Seguridad&n_pg=43&n_pos=19
43,"S/ 16,660 · USD 4,900","S/ 1,300 Mantenimiento",Calle Eucaliptos al 300,"San Isidro, Lima",398 m² tot.,3 dorm.,5 baños,4 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-penthouse-en-alquiler-golf-san-isidro-398-m-sup2-149569290.html?n_src=Listado&n_pills=Piscina&n_pg=43&n_pos=20
43,"S/ 7,705 · USD 2,300",S/ 850 Mantenimiento,Av. Aurelio Miró Quesada 1,"San Isidro, Lima",185 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-hermoso-departamento-vista-al-golf-de-san-149561707.html?n_src=Listado&n_pills=Ascensor&n_pg=43&n_pos=21
43,"S/ 4,085 · USD 1,184",S/ 400 Mantenimiento,Calle Dean Valdivia 207,"San Isidro, Lima",60 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-san-isidro-149561050.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=22
43,"S/ 3,950 · USD 1,150",S/ 430 Mantenimiento,Calle Dean Valdivia 207,"San Isidro, Lima",68 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-alquiler-en-centro-financiero-san-isidro-149560906.html?n_src=Listado&n_pills=Gimnasio&n_pg=43&n_pos=23
43,"S/ 2,200 · USD 635",S/ 20 Mantenimiento,Jr. Crnel. Francisco Bolognesi 575,"San Miguel, Lima",90 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-3dorm-san-miguel-limite-149359231.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=24
43,"S/ 6,300 · USD 1,800",S/ 974 Mantenimiento,Simón Salguero 836,"Santiago de Surco, Lima",252 m² tot.,4 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-amplio-duplex-simon-salguero-surco-149560203.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=25
43,"S/ 3,200 · USD 941",S/ 400 Mantenimiento,Av. Paseo la Castellana,"Santiago de Surco, Lima",76 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-03-habitaciones-2-piso-con-149559108.html?n_src=Listado&n_pills=Ascensor&n_pg=43&n_pos=26
43,"S/ 1,750 · USD 505",S/ 150 Mantenimiento,Poseidon con Apolo,"Santiago de Surco, Lima",60 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-2-dorm.-60-m-sup2--en-surco-145883179.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=43&n_pos=27
43,"S/ 2,100",S/ 185 Mantenimiento,Jr. Estados Unidos 405,"Jesús María, Lima",42 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-en-estreno-jesus-maria-149550229.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=28
43,"S/ 2,100",S/ 220 Mantenimiento,Jirón Estados Unidos 797,"Jesús María, Lima",42 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclappa-alquiler-departamento-en-jesus-maria-149351940.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=43&n_pos=29
43,"S/ 1,900 · USD 559",S/ 150 Mantenimiento,Av. Universitaria 1897,"Pueblo Libre, Lima",52 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-frente-a-la-universidad-catolica-149545145.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=43&n_pos=30
