pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
32,"S/ 2,400",S/ 200 Mantenimiento,Avenida Tomás Marsano 368,"Surquillo, Lima",44 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-en-alquiler-limite-surquillo-149700818.html?n_src=Listado&n_pills=Seguridad&n_pg=32&n_pos=1
32,"S/ 3,500",S/ 360 Mantenimiento,Calle Los Geranios,"Lince, Lima",75 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-dpto-amoblado-y-equipado-frente-a-parque-y-a-pasos-de-149697672.html?n_src=Listado&n_pills=Amoblado&n_pg=32&n_pos=2
32,"S/ 4,140 · USD 1,200",S/ 500 Mantenimiento,CALLE MADRID CDRA 2 PISO 3,"Miraflores, Lima",123 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-aliquilo-dpto-cerca-a-malecon-149697521.html?n_src=Listado&n_pills=Ascensor&n_pg=32&n_pos=3
32,"S/ 2,750",S/ 300 Mantenimiento,Av. Javier Prado Oeste 2361,"Magdalena, Lima",60 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-moderno-departamento-de-estreno-02-dorm.-149549291.html?n_src=Listado&n_pills=Seguridad&n_pg=32&n_pos=4
32,"S/ 3,300 · USD 960",S/ 280 Mantenimiento,Av. Cesar Vallejo al 300,"Lince, Lima",90 m² tot.,3 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-lince-149642941.html?n_src=Listado&n_pills=Amoblado&n_pg=32&n_pos=5
32,"S/ 20,700 · USD 1,490,000","S/ 2,134 Mantenimiento",Malecón Cisneros,"Miraflores, Lima",308 m² tot.,3 dorm.,3 baños,3 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-y-alquiler-de-precioso-departamento-en-malecon-149645554.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=32&n_pos=6
32,"S/ 6,555 · USD 1,900",S/ 600 Mantenimiento,Calle Grimaldo del Solar 479,"Miraflores, Lima",177 m² tot.,4 dorm.,4 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-amplio-en-primer-piso-149656989.html?n_src=Listado&n_pg=32&n_pos=7
32,"S/ 3,500 · USD 1,000",S/ 300 Mantenimiento,Jirón Capac Yupanqui 2652,"Lince, Lima",101 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-101-m-sup2--con-3-dorm.-en-alquiler-a-149695764.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=32&n_pos=8
32,"S/ 2,800 · USD 800",S/ 240 Mantenimiento,Avenida César Vallejo,"Lince, Lima",81 m² tot.,2 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-iluminado-y-centrico-en-lince-149695678.html?n_src=Listado&n_pills=Piscina&n_pg=32&n_pos=9
32,"S/ 2,500 · USD 735",S/ 250 Mantenimiento,Dirección no informada,"La Victoria, Lima",79 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-vista-panoramica-nuevo-2-dorm-2-banos-escritorio-148117019.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=32&n_pos=10
32,"S/ 2,650",S/ 300 Mantenimiento,AV LA PAZ,"Miraflores, Lima",70 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-alquiler-departamento-de-70-m-sup2--con-2-149695127.html?n_src=Listado&n_pills=Ascensor&n_pg=32&n_pos=11
32,"S/ 2,000",S/ 200 Mantenimiento,LA PAZ,"Miraflores, Lima",40 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-alquiler-departamento-tipo-loft-de-40-149695123.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=32&n_pos=12
32,"S/ 3,000 · USD 850",S/ 450 Mantenimiento,Avenida Reducto 1323,"Miraflores, Lima",100 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-ideal-departamento-en-alquiler-sin-muebles-en-149688678.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=32&n_pos=13
32,"S/ 4,700 · USD 1,400",S/ 400 Mantenimiento,Av. José Larco,"Miraflores, Lima",130 m² tot.,2 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-de-130-m-sup2--con-2-dorm.-en-148906785.html?n_src=Listado&n_pills=Amoblado&n_pg=32&n_pos=14
32,"S/ 2,100 · USD 630",S/ 190 Mantenimiento,Las Lomas,"La Molina, Lima",74 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-las-lomas-de-la-molina-148702074.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=32&n_pos=15
32,"S/ 4,035 · USD 1,180",S/ 300 Mantenimiento,José Domingo Choquehuanca 182,"Miraflores, Lima",89 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-89-m-sup2--con-3-habitaciones-en-149688414.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=32&n_pos=16
32,"S/ 2,030 · USD 550",S/ 190 Mantenimiento,grau,"Barranco, Lima",52 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-bello-dpto-una-habitacion-50-m-sup2--amoblado-142583864.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=32&n_pos=17
32,"S/ 3,277 · USD 950",S/ 400 Mantenimiento,MANUEL TOVAR 3xx,"Miraflores, Lima",70 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-moderno-y-lindo-flat-amoblado!-149685161.html?n_src=Listado&n_pills=Seguridad&n_pg=32&n_pos=18
32,"S/ 3,270 · USD 950",S/ 342 Mantenimiento,Grimaldo Del Solar 212 Miraflores,"Miraflores, Lima",70 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-estreno-grimaldo-del-solar-212-9no.-piso-147867570.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=32&n_pos=19
32,"S/ 1,000",,Cooperativa Hijos De Garagay,"Los Olivos, Lima",85 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-amplio-departamento-en-alquiler-1er-piso-75-m-149673403.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=32&n_pos=20
32,"S/ 3,500",S/ 470 Mantenimiento,Calle Grimaldo del Solar 247,"Miraflores, Lima",95 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-amoblado-en-miraflores-149673327.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=32&n_pos=21
32,"S/ 3,600 · USD 1,050",S/ 420 Mantenimiento,Piura al 600,"Miraflores, Lima",80 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-estreno-de-3-habitaciones-149671236.html?n_src=Listado&n_pills=Ascensor&n_pg=32&n_pos=22
32,"S/ 1,150",,Jr. Markham Clement 190,"Magdalena, Lima",28 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-mini-departamento-amoblado-28-mtrs2-2do.-piso-149669807.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=32&n_pos=23
32,"S/ 1,550 · USD 450",S/ 120 Mantenimiento,Arequipa 1421,"Lince, Lima",36 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-a-pasos-de-lince-con-balcon-143624767.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=32&n_pos=24
32,"S/ 2,040 · USD 600",S/ 180 Mantenimiento,Calle Los Pinos,"Miraflores, Lima",60 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-los-pinos-x-2-benavides-144601325.html?n_src=Listado&n_pills=Seguridad&n_pg=32&n_pos=25
32,"S/ 2,590 · USD 712",S/ 240 Mantenimiento,Jr. Tacna 1492,"Magdalena, Lima",80 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-146403625.html?n_src=Listado&n_pills=Amoblado&n_pg=32&n_pos=26
32,"S/ 1,100",S/ 110 Mantenimiento,Avenida A 220,"Rímac, Lima",51 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-el-rimac-149634158.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=32&n_pos=27
32,"S/ 3,400 · USD 1,000",S/ 585 Mantenimiento,Jirón Juan Fanning 1,"Barranco, Lima",74 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-dpto.-en-alquiler-amoblado-tambien-se-vende-149662568.html?n_src=Listado&n_pills=Amoblado&n_pg=32&n_pos=28
32,"S/ 2,400",S/ 190 Mantenimiento,Jr. Varela 1956,"Breña, Lima",76 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-amplio-y-hermoso-departamento-en-brena-149661823.html?n_src=Listado&n_pills=Parrilla&n_pg=32&n_pos=29
32,"S/ 1,870 · USD 510",S/ 1 Mantenimiento,Av Arequipa 4935,"Miraflores, Lima",27 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-mini-departamento-amoblado-con-balcon-a-parque-kennedy-143596907.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=32&n_pos=30
