pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
75,"S/ 2,350",S/ 250 Mantenimiento,Calle Venecia,"Miraflores, Lima",50 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-alquiler-departamento-amoblado-de-50-149695135.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=75&n_pos=1
75,"S/ 2,750",,Tumbes,"Barranco, Lima",60 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-barranco-149699423.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=75&n_pos=2
75,"S/ 1,300",,ALT CDRA 5 DE AV COMANDANTE ESPINAR,"Magdalena, Lima",30 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-magdalena-1-dormitorio-1-300-soles-149699335.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=75&n_pos=3
75,"S/ 3,350 · USD 1,000",S/ 350 Mantenimiento,Berlin - José Gálvez,"Miraflores, Lima",62 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-alquiler-nuevo-centrio-miraflores-con-148397587.html?n_src=Listado&n_pills=Seguridad&n_pg=75&n_pos=4
75,"S/ 1,250",,ALT CDRA 16 DE AV SALAVERRY,"Lince, Lima",35 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-lince-1-dormitorio-1-250-soles-149699178.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=75&n_pos=5
75,"S/ 2,200",S/ 200 Mantenimiento,Av. Almte. Miguel Grau 1310,"Barranco, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-loft-amoblado-con-balcon-en-barranco-vista-externa-149697078.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=75&n_pos=6
75,"S/ 2,250",,Av. Juan de Aliaga 456,"Magdalena, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-magdalena-alquiler-departamento-amoblado-149618038.html?n_src=Listado&n_pills=Amoblado&n_pg=75&n_pos=7
75,"S/ 2,500 · USD 718",S/ 260 Mantenimiento,Julián Sandoval,"Surquillo, Lima",59 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-estupendo-departamento-2-dorm.-cochera-barrio-medico-149697059.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=75&n_pos=8
75,"S/ 1,400",S/ 40 Mantenimiento,Orbegoso 607,"Breña, Lima",70 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-2-dorm.-con-patio-lavanderia-149098239.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=75&n_pos=9
75,"S/ 6,030 · USD 1,800","S/ 1,500 Mantenimiento",Avenida José Larco,"Miraflores, Lima",383 m² tot.,5 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-penthouse-precioso-miraflores-149176297.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=75&n_pos=10
75,"S/ 1,700 · USD 500",S/ 180 Mantenimiento,Av. Paseo de la República 2199,"La Victoria, Lima",39 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-estrena-mini-dpto-en-santa-catalina-vista-149695897.html?n_src=Listado&n_pills=Piscina&n_pg=75&n_pos=11
75,"S/ 2,900",S/ 450 Mantenimiento,Sergio Bernales,"Surquillo, Lima",77 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-surquillo-alquiler-departamento-77-m-sup2--con-149695167.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=75&n_pos=12
75,"S/ 1,850",,Los Topacios al 100,"La Victoria, Lima",50 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-balconcillo-149694316.html?n_src=Listado&n_pills=Gimnasio&n_pg=75&n_pos=13
75,"S/ 2,390 · USD 700",S/ 220 Mantenimiento,Av. José Pardo 900,"Miraflores, Lima",65 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-ocasion!-65-m-sup2--1d-1b-incluye-cochera-149531863.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=75&n_pos=14
75,"S/ 2,200",S/ 180 Mantenimiento,Jirón Manuel Segura 206,"Lince, Lima",45 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-lindo-departamento-amoblado-lince-148725578.html?n_src=Listado&n_pills=Gimnasio&n_pg=75&n_pos=15
75,"S/ 2,000 · USD 569",,Av. la Molina 1013,"La Molina, Lima",82 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-en-la-molina-ubicacion-149688440.html?n_src=Listado&n_pg=75&n_pos=16
75,"S/ 5,780 · USD 1,700",S/ 800 Mantenimiento,Armendariz Park,"Miraflores, Lima",136 m² tot.,2 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-exclusivo-dpto-full-amoblado-136-m-sup2-149688260.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=75&n_pos=17
75,"S/ 2,600 · USD 760",S/ 180 Mantenimiento,Calle los Canarios 110,"Surquillo, Lima",56 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-149686856.html?n_src=Listado&n_pills=Ascensor&n_pg=75&n_pos=18
75,"S/ 3,795 · USD 1,100",S/ 800 Mantenimiento,Calle San Ignacio de Loyola 356,"Miraflores, Lima",130 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-vive-en-una-de-las-mejores-zonas-de-miraflores-149686203.html?n_src=Listado&n_pills=Ascensor&n_pg=75&n_pos=19
75,"S/ 3,490 · USD 1,000",S/ 250 Mantenimiento,Av. Andrés Aramburú 668,"Surquillo, Lima",76 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-surquillo-149684258.html?n_src=Listado&n_pills=Piscina&n_pg=75&n_pos=20
75,"S/ 2,500 · USD 720",S/ 30 Mantenimiento,Jirón Federico Barreto 429,"La Victoria, Lima",117 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-la-victoria-149683964.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=75&n_pos=21
75,"S/ 4,300 · USD 1,200",S/ 500 Mantenimiento,Jirón Almirante Villavicencio 1137 Lince,"Lince, Lima",135 m² tot.,2 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lince-san-isidro-penthouse-duplex-de-lujo-135-147671303.html?n_src=Listado&n_pills=Amoblado&n_pg=75&n_pos=22
75,"S/ 2,000",S/ 200 Mantenimiento,San Juan,"La Molina, Lima",60 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-mezanine-santa-patricia-la-149675682.html?n_src=Listado&n_pills=Gimnasio&n_pg=75&n_pos=23
