pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
17,"S/ 3,200 · USD 920",S/ 350 Mantenimiento,CALLE BOLIVAR 620 MIRAFLORES,"Bolognesi, Miraflores",150 m² tot.,2 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-dpto-1150-m-sup2--2dor-cuarto-y-bano-148920880.html?n_src=Listado&n_pills=Ascensor&n_pg=17&n_pos=19
17,"S/ 3,700",S/ 280 Mantenimiento,Calle Amador Merino Reyna 332,"San Isidro, Lima",63 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-en-el-centro-financiero-full-amoblado-y-de-estreno!-149574962.html?n_src=Listado&n_pills=Gimnasio&n_pg=17&n_pos=20
17,"S/ 2,200",S/ 200 Mantenimiento,Av. Brasil,"Pueblo Libre, Lima",75 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-en-pueblo-libre-149609857.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=17&n_pos=21
17,"S/ 2,250 · USD 595",S/ 250 Mantenimiento,A. Salaverry 2900,"San Isidro, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-ubicacion-inmejorable.-av-salaverry-145942259.html?n_src=Listado&n_pills=Piscina&n_pg=17&n_pos=22
17,"S/ 2,250",S/ 250 Mantenimiento,Av. Salaverry 2900,"San Isidro, Lima",40 m² tot.,1 dorm.,,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-40-m-sup2--en-la-av-salaverry-145972319.html?n_src=Listado&n_pills=Seguridad&n_pg=17&n_pos=23
17,"S/ 2,000",S/ 200 Mantenimiento,Pasaje Nova,"La Campiña, Chorrillos",70 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-estreno-3-dorm.-en-149433161.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=17&n_pos=24
17,"S/ 2,100",,Av. La Marina 415,"Pueblo Libre, Lima",38 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-1dorm-de-estreno-149412146.html?n_src=Listado&n_pills=Gimnasio&n_pg=17&n_pos=25
17,"S/ 9,350 · USD 2,750","S/ 1,500 Mantenimiento",Av. Alfredo Benavides 540,"Leuro, Miraflores",540 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-penthouse-540-mt-amoblado-equipado-miraflores-149246579.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=17&n_pos=26
17,"S/ 2,600 · USD 750",S/ 350 Mantenimiento,Av. Brasil 3650,"Oyague, Magdalena",90 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-amplio-departamento-en-la-brasil-costado-148809087.html?n_src=Listado&n_pills=Ascensor&n_pg=17&n_pos=27
17,"S/ 4,123 · USD 1,200",S/ 250 Mantenimiento,Avenida Javier Prado Este,"San Isidro, Lima",60 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-depa-de-estreno-amoblado-de-disenador-en-san-149380342.html?n_src=Listado&n_pills=Amoblado&n_pg=17&n_pos=28
17,"S/ 1,790",S/ 200 Mantenimiento,Vulcano 5,"Santiago de Surco, Lima",74 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-en-surco-148964866.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=17&n_pos=29
17,"S/ 5,075 · USD 1,450",S/ 650 Mantenimiento,Avenida Javier Prado Oeste,"San Isidro, Lima",154 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-vive-en-una-de-las-zonas-mas-exclusivas-y-estrategicas-149554571.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=17&n_pos=30
