pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
91,"S/ 2,200",S/ 240 Mantenimiento,Jr Cuzco,"San Miguel, Lima",70 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-pl-jc-alquilo-departamento-estreno-3-dorm.-2-banos-149634928.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=91&n_pos=1
91,"S/ 1,700 · USD 494",,Al. Toribio Rodriguez de Mendoza 162,"Santiago de Surco, Lima",73 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-amplio-dpto-73-m-sup2--de-2-dorm.-en-3er-piso-149634295.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=91&n_pos=2
91,"S/ 1,800 · USD 523",,Al. Toribio Rodriguez de Mendoza 162,"Santiago de Surco, Lima",64 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-64-m-sup2--de-2-dorm.-en-2do-piso-149634214.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=91&n_pos=3
91,"S/ 2,000 · USD 581",,Al. Toribio Rodriguez de Mendoza 162,"Santiago de Surco, Lima",95 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-amplio-dpto-95-m-sup2--de-2-dorm.-en-1er-piso-149634160.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=91&n_pos=4
91,"S/ 3,000 · USD 850",S/ 350 Mantenimiento,General La Fuente 348 san Isidro,"San Isidro, Lima",100 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-bello-duplex-en-alquiler-en-san-isidro-amoblado-146369066.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=91&n_pos=5
91,"S/ 1,900 · USD 552",S/ 226 Mantenimiento,Avenida del Río 257,"Pueblo Libre, Lima",34 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin--vive-de-estreno!-moderno-departamento-con-vista-149623846.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=91&n_pos=6
91,"S/ 2,800 · USD 825",S/ 280 Mantenimiento,Jirón Tomasal 324,"Santiago de Surco, Lima",60 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-60-m-sup2--en-chacarilla-149623279.html?n_src=Listado&n_pills=Ascensor&n_pg=91&n_pos=7
91,"S/ 3,400 · USD 990",S/ 500 Mantenimiento,Avenida General Salaverry,"San Isidro, Lima",61 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-alquiler-san-isidro-149618061.html?n_src=Listado&n_pills=Parrilla&n_pg=91&n_pos=8
91,"S/ 2,750 · USD 780",S/ 350 Mantenimiento,Avenida Javier Prado Oeste 2367,"San Isidro, Lima",70 m² tot.,2 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-70-m-sup2--con-2-habitaciones-en-149617954.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=91&n_pos=9
91,"S/ 1,800 · USD 525",,Av. José Leguía y Meléndez 1826,"Pueblo Libre, Lima",63 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin--excelente-ubicacion!-dpto.-en-alquiler-ideal-para-149614400.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=91&n_pos=10
