@id	name	brand	addr:district	addr:street	addr:city	@lat	@lon
376110367	Mercado 19 de Julio			Calle César Vallejo		-11.9912256	-77.0505637
376130104	Plaza Vea El Cortijo			Avenida República de Panamá	Barranco	-12.1345863	-77.0184182
377673811	Centro Comercial Fortuna			Junin		-12.1106298	-77.0254149
384030319	Plaza Vea	Plaza Vea				-12.0547316	-76.9627082
384030794	Centro Bancario Santa Anita					-12.0562257	-76.9697266
391845358	Mercado Modelo					-11.9468524	-77.0596638
391849731	Plaza Santo Domingo de Carabayllo			Avenida Santo Domingo		-11.8717140	-77.0284685
391851727	Metro					-11.9321198	-77.0442188
391942655	Caquetá Perú					-12.0306773	-77.0430701
391960120	Mercado de Flores de Piedra Liza		Rímac	Avenida 9 de Octubre		-12.0403904	-77.0177760
392534841	Tottus			av central		-11.9547894	-77.0857948
392657062	Óvalo de Huandoy		Los Olivos	Avenida Los Próceres de Huandoy		-11.9770171	-77.0838435
392666788	Comercial Laura Caller			Avenida Marañon		-11.9703192	-77.0786174
392800229	Mercado Central Fevacel			Avenida Tomás Valle		-12.0066556	-77.0553326
393785939						-11.9395852	-77.0665730
394733180	Ripley	Ripley		Calle Las Begonias	San Isidro	-12.0941448	-77.0246080
394733181	Falabella	Falabella		Avenida Paseo de la República	San Isidro	-12.0950799	-77.0250414
396423128	Mercado de la Unidad Vecinal Matute			Javier Luna Pizarro	La Victoria	-12.0729552	-77.0261372
396972138	Galerías Caquetá			Avenida Caquetá	San Martín de Porres	-12.0333787	-77.0444705
397559271	Plaza Vea	Plaza Vea		Calle Augusto Tamayo	San Isidro	-12.0975010	-77.0263034
397727474	Mercado Modelo N° 01 Chorrillos			Avenida Alejandro Iglesias	Chorrillos	-12.1692977	-77.0260200
398851321	Urban Hall				Cercado de Lima	-12.0489354	-77.0317429
399069247	Mercado Belen					-11.8278293	-77.1187175
399811921	Mercado Limoncillo			Avenida Prolongación Tacna		-12.0376237	-77.0312280
399811922	Mercado La Chira			Jirón Chira	Rímac	-12.0370924	-77.0316317
400434370	San Pedro de Ichu					-12.0297786	-77.0436026
400443759	Mercado de Flores Santa Rosa de Lima			Via de Evitamiento	Rímac	-12.0396603	-77.0354264
400456676	Metro	Metro		Avenida Los Héroes	San Juan de Miraflores	-12.1521546	-76.9774727
400482654	Risso			Avenida Arequipa	Lince	-12.0864005	-77.0348085
401019875	Full Tiendas			Jirón Mesa Redonda	Barrios Altos	-12.0530703	-77.0271432
401289563	Saga Falabella				Cercado de Lima	-12.0483076	-77.0331389
401472083	Plaza Vea Circunvalación			Avenida Circunvalación	Ate	-12.0803471	-76.9860001
401492787	Mercado Número 3			Jirón Los Jazmines	San Isidro	-12.0892574	-77.0269354
