mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
,273.0,3.0,2.0,0.0,10.0,0,0,7,1,2178699.0
,196.0,3.0,4.0,2.0,0.0,6,0,7,2,1559000.0
250.0,79.0,2.0,2.0,0.0,0.0,6,1,7,1,623800.0
250.0,93.0,2.0,2.0,0.0,0.0,8,0,7,1,860000.0
,102.0,2.0,2.0,1.0,0.0,7,0,7,3,976622.0
620.0,112.0,3.0,2.0,1.0,16.0,6,0,7,2,624962.0
,136.0,3.0,2.0,0.0,0.0,2,0,7,2,1068750.0
300.0,62.0,2.0,2.0,0.0,0.0,1,0,7,2,516000.0
,121.0,2.0,2.0,0.0,0.0,3,1,7,1,952326.0
750.0,170.0,4.0,3.0,2.0,21.0,16,0,7,3,1138500.0
350.0,71.0,2.0,2.0,1.0,3.0,9,0,7,3,670630.0
650.0,360.0,7.0,6.0,2.0,66.0,3,1,7,1,1462000.0
500.0,104.0,2.0,3.0,2.0,3.0,2,0,7,1,995000.0
550.0,154.0,3.0,3.0,2.0,5.0,9,0,7,3,1345000.0
850.0,244.0,3.0,3.0,0.0,5.0,6,0,7,2,2325000.0
634.0,125.0,3.0,3.0,2.0,5.0,12,0,7,4,1041900.0
400.0,125.0,3.0,2.0,1.0,0.0,1,0,7,1,765600.0
,303.0,1.0,1.0,0.0,77.0,10,1,7,1,1708500.0
500.0,125.0,3.0,3.0,2.0,5.0,1,0,7,1,1008000.0
,84.0,2.0,2.0,0.0,0.0,2,0,7,3,733376.0
850.0,225.0,3.0,3.0,2.0,11.0,12,0,7,1,1445500.0
400.0,93.0,2.0,2.0,1.0,3.0,23,3,7,4,720000.0
200.0,48.0,1.0,1.0,1.0,14.0,6,1,7,1,503150.0
210.0,38.0,3.0,2.0,0.0,20.0,2,1,7,1,398200.0
500.0,240.0,3.0,3.0,2.0,17.0,4,0,7,2,1566460.0
,318.0,4.0,3.0,1.0,44.0,0,0,7,1,1966772.0
380.0,120.0,3.0,3.0,1.0,12.0,9,0,7,1,816000.0
,1234.0,3.0,10.0,4.0,25.0,19,3,7,3,6653100.0
320.0,80.0,2.0,2.0,1.0,9.0,10,0,7,2,795500.0
,65.0,2.0,2.0,0.0,0.0,4,0,7,2,605000.0
,476.0,3.0,2.0,0.0,0.0,9,0,7,2,3885000.0
350.0,76.0,2.0,2.0,1.0,0.0,13,0,7,1,820000.0
,304.0,5.0,4.0,3.0,12.0,8,0,7,1,4700000.0
,444.0,4.0,5.0,2.0,10.0,9,0,7,1,4015000.0
,87.0,3.0,2.0,1.0,0.0,21,0,7,2,843200.0
,116.0,3.0,2.0,0.0,28.0,8,0,7,3,564300.0
1.0,590.0,4.0,4.0,2.0,7.0,9,0,7,1,4070000.0
290.0,61.0,1.0,1.0,1.0,15.0,8,0,7,1,427000.0
220.0,51.0,1.0,1.0,1.0,12.0,1,0,7,1,474880.0
1800.0,361.0,4.0,5.0,2.0,13.0,3,0,7,1,4420000.0
350.0,101.0,3.0,2.0,1.0,17.0,0,0,7,1,706800.0
,121.0,3.0,2.0,1.0,0.0,7,0,7,1,956000.0
200.0,120.0,3.0,2.0,1.0,27.0,7,0,7,3,668000.0
,293.0,3.0,3.0,2.0,50.0,7,0,7,3,3990000.0
,420.0,4.0,4.0,0.0,30.0,11,0,7,1,2900639.0
,98.0,2.0,3.0,1.0,11.0,16,0,7,3,686550.0
,162.0,4.0,3.0,2.0,23.0,9,0,7,2,1065000.0
300.0,122.0,2.0,2.0,1.0,10.0,4,1,7,1,553335.0
500.0,213.0,3.0,2.0,2.0,55.0,13,0,7,2,1343000.0
,574.0,3.0,2.0,0.0,0.0,9,0,7,1,3159000.0
,295.0,5.0,5.0,2.0,30.0,4,0,7,2,1883618.0
550.0,130.0,3.0,3.0,2.0,11.0,10,0,7,2,1119360.0
450.0,98.0,3.0,3.0,1.0,9.0,3,1,7,1,770000.0
,118.0,2.0,2.0,1.0,5.0,7,0,7,3,936000.0
300.0,80.0,2.0,2.0,2.0,12.0,13,0,7,4,619700.0
306.0,102.0,3.0,2.0,1.0,5.0,4,1,7,1,750000.0
600.0,240.0,3.0,2.0,2.0,17.0,9,0,7,2,1356000.0
