mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
800.0,212.0,2.0,2.0,2.0,10.0,11,0,8,2,1340000.0
90.0,55.0,2.0,2.0,0.0,1.0,7,0,8,1,281900.0
450.0,80.0,2.0,2.0,1.0,1.0,7,0,7,1,659950.0
900.0,294.0,5.0,5.0,2.0,17.0,11,0,7,2,1565200.0
,600.0,3.0,3.0,0.0,14.0,4,0,7,1,4352000.0
300.0,113.0,2.0,3.0,2.0,4.0,5,0,7,1,673200.0
500.0,311.0,3.0,3.0,2.0,13.0,7,0,7,1,1311000.0
,615.0,3.0,2.0,0.0,0.0,22,1,4,4,607000.0
,157.0,3.0,3.0,3.0,14.0,7,0,7,1,892713.0
380.0,180.0,3.0,2.0,2.0,14.0,7,0,7,1,997500.0
,180.0,3.0,2.5,0.0,0.0,18,4,1,3,534040.0
,270.0,6.0,3.0,0.0,12.0,21,0,3,4,400000.0
50.0,115.0,3.0,2.0,0.0,15.0,14,0,7,4,406680.0
150.0,73.0,3.0,2.0,1.0,0.0,2,0,4,2,349000.0
,158.0,3.0,3.0,2.0,0.0,4,0,7,1,1522700.0
550.0,185.0,3.0,2.0,3.0,8.0,14,0,7,1,1137985.0
,300.0,3.0,2.0,1.0,12.0,0,0,9,1,574600.0
13.0,447.0,3.0,3.0,9.0,8.0,1,1,7,1,3539305.0
1.0,1092.0,5.5,7.0,0.0,1.0,0,0,10,1,598000.0
,1233.0,20.0,10.0,5.0,8.0,23,0,6,3,3346650.0
,2690.0,4.0,4.0,0.0,0.0,6,0,7,1,7245500.0
,3462.0,3.0,2.0,0.0,20.0,0,0,1,1,1648150.0
450.0,138.0,3.0,3.0,1.0,9.0,8,0,7,2,888450.0
420.0,153.0,3.0,2.0,2.0,9.0,7,0,7,1,935000.0
,52.0,2.0,1.0,0.0,16.0,27,0,2,2,145000.0
,176.0,8.0,6.0,2.0,0.0,16,0,8,2,918000.0
500.0,119.0,3.0,2.0,1.0,7.0,11,0,7,2,966000.0
400.0,157.0,3.0,3.0,3.0,15.0,0,0,7,1,929500.0
210.0,75.0,3.0,2.0,1.0,0.0,9,1,4,3,610000.0
450.0,169.0,5.0,4.0,2.0,18.0,9,0,7,1,833280.0
600.0,1465.0,3.5,4.5,0.0,0.0,0,0,10,1,220800.0
,480.0,5.0,4.0,3.0,8.0,9,0,7,1,2756550.0
,99.0,3.0,2.0,0.0,0.0,4,0,7,1,774000.0
120.0,45.0,1.0,1.0,0.0,8.0,14,1,8,4,289000.0
200.0,128.0,3.0,1.0,1.0,28.0,7,0,4,3,542500.0
,378.0,3.0,4.0,2.0,6.0,6,0,7,1,4282740.0
900.0,290.0,4.0,3.0,2.0,5.0,7,0,8,3,1500750.0
100.0,137.0,3.0,2.0,1.0,26.0,0,0,7,1,731916.0
,379.0,4.0,5.0,2.0,28.0,1,0,7,1,1999999.0
760.0,180.0,3.0,2.0,2.0,25.0,1,0,7,1,1632000.0
,183.0,9.0,5.0,0.0,32.0,10,0,7,1,1349400.0
,390.0,3.0,3.0,0.0,1.0,11,0,7,3,2351700.0
,146.0,3.0,2.0,1.0,7.0,10,0,7,2,612500.0
250.0,86.0,3.0,2.0,0.0,4.0,10,0,8,4,385000.0
,76.0,3.0,2.0,0.0,0.0,12,0,4,4,428750.0
1022.0,170.0,3.0,3.0,3.0,10.0,7,0,7,1,1170000.0
,65.0,3.0,2.0,0.0,0.0,12,0,7,1,603200.0
,930.0,5.0,2.0,10.0,0.0,6,0,7,1,3685000.0
,187.0,6.0,5.0,1.0,70.0,17,0,6,3,984000.0
350.0,82.0,3.0,2.0,0.0,10.0,11,0,8,2,436600.0
,3700.0,3.0,2.5,0.0,0.0,18,0,9,3,2767600.0
,43.0,1.0,1.0,0.0,3.0,18,0,6,3,407660.0
,666.0,8.0,7.0,1.0,27.0,12,0,8,3,1842555.0
,108.0,3.0,2.0,0.0,10.0,4,0,8,3,327860.0
350.0,186.0,4.0,5.0,2.0,7.0,14,1,8,1,1005606.0
400.0,1323.0,4.0,3.0,6.0,10.0,6,0,10,2,2075000.0
550.0,162.0,4.0,4.0,1.0,0.0,17,0,6,1,1145000.0
,160.0,3.0,2.5,0.0,10.0,12,0,9,3,442880.0
,1027.0,3.0,4.0,2.0,1.0,6,0,7,1,2812600.0
,1150.0,6.0,5.0,0.0,30.0,2,0,7,1,3910000.0
,812.0,3.0,2.0,0.0,10.0,6,0,8,4,3507000.0
,1471.0,4.0,6.0,8.0,1.0,3,0,7,1,6072000.0
,231.0,3.0,2.0,1.0,20.0,4,0,7,2,909900.0
,118.0,3.0,3.0,1.0,28.0,5,0,7,1,577473.0
,105.0,3.0,3.0,0.0,1.0,13,0,6,3,945000.0
,853.0,27.0,30.0,1.0,9.0,10,1,4,3,2910000.0
,89.0,3.0,2.0,1.0,0.0,2,0,8,1,960229.0
308.0,120.0,3.0,3.0,1.0,12.0,11,1,7,1,720250.0
,73.0,3.0,2.0,0.0,0.0,16,0,8,3,445000.0
200.0,60.0,2.0,2.0,0.0,1.0,10,0,6,1,420000.0
,61.0,2.0,2.0,0.0,2.0,14,0,6,2,560000.0
,240.0,1.0,2.0,2.0,2.0,31,0,5,4,629800.0
800.0,120.0,3.0,2.0,1.0,10.0,12,0,6,1,1036000.0
,88.0,3.0,2.0,0.0,0.0,16,1,8,1,562200.0
,276.0,4.0,4.0,2.0,25.0,6,0,7,1,1041000.0
300.0,57.0,2.0,2.0,1.0,1.0,4,0,7,3,491000.0
,283.0,3.0,2.0,2.0,26.0,15,0,7,4,981550.0
500.0,140.0,3.0,3.0,2.0,17.0,4,0,7,1,804000.0
,73.0,3.0,2.0,1.0,0.0,31,0,6,3,379900.0
350.0,98.0,3.0,2.0,1.0,18.0,10,0,7,2,612500.0
,125.0,3.0,2.0,0.0,18.0,6,0,7,1,482000.0
,1000.0,3.0,3.0,4.0,48.0,1,0,7,1,2587500.0
1364.0,294.0,4.0,4.0,3.0,30.0,5,0,7,1,2380000.0
,60.0,2.0,2.0,0.0,0.0,16,0,8,3,367000.0
,253.0,20.0,10.0,1.0,45.0,21,0,2,4,893000.0
,134.0,4.0,3.0,0.0,0.0,5,0,5,1,760000.0
,250.0,5.0,3.0,2.0,12.0,8,0,7,1,1155750.0
,1200.0,4.0,4.0,0.0,18.0,5,0,7,1,2070000.0
,102.0,3.0,3.0,2.0,16.0,1,0,3,1,387550.0
400.0,450.0,6.0,6.0,3.0,20.0,1,0,7,1,2652000.0
,2539.0,3.0,2.0,0.0,5.0,7,0,8,4,8948705.0
1385.0,354.0,3.0,3.0,2.0,32.0,5,0,7,1,2346000.0
,479.0,5.0,4.0,1.0,30.0,15,0,4,3,1479000.0
250.0,121.0,3.0,2.0,0.0,8.0,19,3,4,4,325000.0
,45.0,1.0,1.0,0.0,1.0,10,0,7,4,258260.0
,1003.0,4.0,7.0,3.0,7.0,1,0,10,1,1638750.0
300.0,126.0,3.0,3.0,1.0,10.0,5,0,7,1,672000.0
,75.0,3.0,2.0,2.0,8.0,0,0,6,1,550000.0
,105.0,3.0,3.0,1.0,14.0,21,0,2,3,357000.0
250.0,131.0,3.0,3.0,2.0,9.0,5,0,7,2,918000.0
,5000.0,3.5,2.0,0.0,0.0,11,0,1,3,4212500.0
650.0,158.0,3.0,2.0,2.0,4.0,9,0,7,1,1070850.0
,66.0,3.0,2.0,1.0,0.0,17,0,4,2,525724.0
400.0,157.0,3.0,2.0,2.0,20.0,0,0,7,1,845250.0
1500.0,1101.0,5.0,5.0,6.0,25.0,6,0,7,1,2981500.0
,2650.0,5.0,3.0,5.0,40.0,0,0,9,1,1390250.0
,300.0,5.0,4.0,0.0,0.0,12,1,7,1,1939000.0
,528.0,3.0,3.0,0.0,40.0,8,0,7,1,3548160.0
1213.0,396.0,3.0,5.0,2.0,20.0,6,0,7,1,1836000.0
,120.0,7.0,5.0,0.0,20.0,13,0,2,4,653250.0
,318.0,3.0,2.0,0.0,0.0,3,0,1,3,250000.0
,116.0,3.0,3.0,1.0,4.0,8,0,7,1,794300.0
,142.0,3.0,2.0,0.0,0.0,3,0,1,3,261386.0
280.0,129.0,3.0,2.0,2.0,7.0,9,0,7,1,775446.0
1.0,1014.0,5.0,5.0,2.0,0.0,0,0,10,1,2208000.0
,46.0,1.0,2.0,0.0,5.0,8,0,8,2,445380.0
,141.0,4.0,3.0,1.0,10.0,0,0,10,1,967260.0
500.0,210.0,3.0,4.0,2.0,5.0,2,0,7,1,1924000.0
210.0,348.0,4.0,2.0,2.0,33.0,1,0,7,1,1683000.0
,374.0,5.0,6.0,4.0,1.0,6,0,7,1,1794000.0
,1331.0,4.0,3.0,4.0,8.0,0,0,10,1,1573790.0
80.0,90.0,2.0,1.0,0.0,56.0,20,2,4,4,220000.0
20.0,110.0,2.0,1.0,0.0,50.0,14,0,6,3,522000.0
,184.0,4.0,3.0,0.0,0.0,13,0,6,3,884940.0
160.0,120.0,2.0,2.0,1.0,0.0,9,0,8,2,366000.0
150.0,94.0,3.0,2.0,1.0,12.0,14,0,6,3,586500.0
,162.0,12.0,5.0,0.0,52.0,19,0,4,4,544000.0
250.0,305.0,5.0,5.0,2.0,14.0,6,0,7,1,1811250.0
750.0,204.0,3.0,4.0,3.0,10.0,6,0,7,1,1341662.0
,123.0,4.0,2.0,0.0,0.0,14,0,8,4,234600.0
,164.0,4.0,3.0,1.0,0.0,6,0,7,1,791700.0
400.0,220.0,3.0,4.0,4.0,9.0,10,0,7,1,1289716.0
,300.0,3.0,2.0,0.0,1.0,2,1,7,1,2527800.0
,74.0,3.0,2.0,1.0,0.0,9,0,8,3,682900.0
400.0,117.0,3.0,3.0,0.0,0.0,17,0,6,3,681751.0
,655.0,4.0,4.0,0.0,18.0,8,0,7,1,2760000.0
,364.0,4.0,2.0,0.0,50.0,7,0,7,3,2890000.0
,273.0,3.0,2.0,0.0,13.0,31,0,6,3,3225600.0
320.0,76.0,2.0,2.0,2.0,2.0,8,0,7,1,661050.0
170.0,40.0,1.0,1.0,0.0,0.0,9,0,8,3,432000.0
1700.0,528.0,3.5,4.5,0.0,0.0,0,0,10,1,556500.0
,360.0,6.0,3.0,2.0,40.0,31,0,6,3,2046000.0
330.0,97.0,3.0,2.0,1.0,8.0,13,0,6,3,554990.0
,385.0,4.0,4.0,2.0,20.0,6,2,7,1,2278000.0
,301.0,6.0,4.0,3.0,40.0,4,0,7,1,1956150.0
,240.0,3.0,3.0,0.0,0.0,7,0,7,2,1482830.0
,160.0,3.0,3.0,0.0,0.0,20,0,2,3,510000.0
,1011.0,6.0,8.0,4.0,10.0,2,0,10,2,3450000.0
,200.0,6.0,4.0,0.0,10.0,5,0,8,3,1113600.0
800.0,441.0,4.0,4.0,3.0,0.0,4,0,7,1,3794400.0
,76.0,2.0,1.0,0.0,40.0,10,0,4,3,207000.0
300.0,46.0,1.0,1.0,1.0,0.0,13,1,8,3,502320.0
,55.0,2.0,1.0,0.0,13.0,20,0,4,4,370000.0
250.0,177.0,3.0,3.0,0.0,0.0,13,0,6,2,615000.0
700.0,738.0,4.0,5.0,4.0,0.0,0,0,7,1,3546450.0
250.0,74.0,3.0,2.0,0.0,0.0,16,0,8,3,653700.0
,334.0,3.0,3.0,2.0,13.0,6,0,7,1,1846000.0
,408.0,3.0,3.0,0.0,10.5,14,0,7,1,3630000.0
,66.0,3.0,1.0,1.0,11.0,10,0,4,4,221650.0
,108.0,3.0,1.0,0.0,1.0,15,0,9,4,287000.0
,164.0,3.0,4.0,1.0,56.0,23,0,5,2,1156000.0
,2587.0,3.0,5.0,0.0,0.0,10,0,8,4,8500000.0
,108.0,3.0,1.0,0.0,35.0,1,0,1,3,241500.0
,427.0,3.0,1.0,0.0,60.0,12,0,4,4,2346000.0
,325.0,5.0,5.0,1.0,10.0,17,0,2,3,752400.0
160.0,35.0,1.0,1.0,0.0,0.0,16,0,8,3,220000.0
220.0,52.0,1.0,2.0,1.0,5.0,13,0,8,4,418750.0
,1133.0,3.0,2.0,1.0,10.0,4,0,4,3,2915500.0
400.0,112.0,3.0,2.0,1.0,13.0,21,0,7,2,551000.0
600.0,226.0,3.0,3.0,2.0,0.0,4,0,7,1,1796400.0
987.0,404.0,3.0,3.0,3.0,15.0,9,0,7,1,1972000.0
,210.0,9.0,4.0,2.0,0.0,17,0,7,2,1346578.0
,7960.0,5.0,4.0,0.0,35.0,0,0,9,1,2975000.0
350.0,98.0,3.0,2.0,1.0,0.0,13,1,8,3,830000.0
,60.0,2.0,2.0,1.0,3.0,1,1,7,1,598000.0
400.0,103.0,3.0,3.0,1.0,20.0,13,1,8,3,663000.0
,260.0,3.0,2.0,0.0,0.0,8,0,6,3,2613000.0
1.0,55.0,2.0,2.0,0.0,0.0,11,0,6,2,461000.0
,2400.0,20.0,8.0,15.0,25.0,1,0,3,3,4459000.0
,39.0,3.0,1.0,0.0,0.0,15,1,7,2,521000.0
,133.0,3.0,3.0,2.0,17.0,9,0,7,1,1109460.0
,291.0,3.0,3.0,2.0,5.0,6,0,7,1,1470000.0
,553.0,10.0,10.0,0.0,65.0,16,0,4,4,3480000.0
,90.0,3.0,2.0,1.0,0.0,5,0,7,1,798000.0
,530.0,5.0,6.0,3.0,4.0,5,0,7,1,3162000.0
,314.0,4.0,4.0,3.0,63.0,2,0,7,1,4162500.0
,220.0,4.0,6.0,0.0,10.5,6,0,7,1,2402400.0
