precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa
630000.0,180000.0,,480.0,,,,0.0,,2026-04-30,la molina,A,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-en-venta-semiconstruido-ubicado-en-la-molina-149714010.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=30,"asociacion de vivienda los huertos de la molina, la molina"
1018000.0,295000.0,,160.0,7.0,4.0,,48.0,62.0,2026-04-24,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-con-alto-potencial-de-inversion-en-cercado-de-149642104.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=2&n_pos=11,"jiron noruega 2422, lima cercado"
1591000.0,430000.0,1.0,120.0,15.0,12.0,,15.0,34.0,2026-02-16,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-vendo-almacen-de-5-pisos-en-el-centro-de-lima-148972083.html?n_src=Listado&n_pg=2&n_pos=12,"jr junin 1080, lima cercado"
402000.0,120000.0,,26.0,6.0,4.0,,14.0,172.0,2026-01-08,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-vendo-casa-de-115-m-sup2--en-lima-cercado-148603818.html?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=13,"jiron paruro 254, lima cercado"
47500000.0,,,14603.0,,,,0.0,15.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-en-venta-amplio-local-industrial-en-cercado-de-lima-144564651.html?n_src=Listado&n_pg=2&n_pos=14,"av republica argentina no2878 - no2882 -, lima cercado"
239900.0,69900.0,,56.0,2.0,1.0,,0.0,550.0,2026-03-09,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-a-la-venta-en-san-miguel-lima-149204361.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=15,"calle quispe tito al 100, san miguel"
945000.0,270000.0,,105.0,3.0,3.0,,1.0,68.0,2026-02-07,lince,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-flat-en-lince-lima-listo-para-mudarte!-148896120.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=16,"calle mariscal juan miller 2543, lince"
258000.0,66000.0,,25.0,,,,25.0,60.0,2025-08-29,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-local-en-galeria-plaza-san-martin-cercado-de-lima-147453910.html?n_src=Listado&n_pg=2&n_pos=17,"jr carabaya 774, lima cercado"
300000.0,90000.0,,58.0,2.0,1.0,,2.0,455.0,2026-03-03,,,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-departamento-amoblado-en-av-lima-140-urb.-149149300.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=18,"av lima 140 dpto 301 urb vallecito arequipa - vta, arequipa"
1276500.0,370000.0,,170.0,4.0,4.0,2.0,10.0,37.0,2025-12-30,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-moderno-duplex-en-surco-170-m-sup2-148543198.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=2&n_pos=19,"los medicos 17 lima 15023 peru, santiago de surco"
96600.0,28000.0,,108.0,,,,0.0,75.0,2025-08-04,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-vendo-terreno-urbano-en-santa-rosa-ancon-108-m-sup2-147187343.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=20,"praderas de lima norte santa rosa, santa rosa"
411600.0,120000.0,,97.0,,,,0.0,21.0,2026-04-22,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-se-vende-terreno-con-agua-y-luz-149613940.html?n_src=Listado&n_pg=2&n_pos=21,"jiron condesuyos 499 lima 15079 peru, lima cercado"
4439630.0,1199900.0,,618.0,5.0,4.0,2.0,41.0,92.0,,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclcain-vendo-preciosa-casa-lima-polo-hunt-monterrico-surco-146328664.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=22,"c san camilo, santiago de surco"
536500.0,145000.0,,120.0,4.0,4.0,1.0,10.0,84.0,2025-10-27,smp,C,https://www.adondevivir.com/propiedades/clasificado/veclcain--oportunidad-en-lima-norte!-casa-de-2-pisos-azotea-148006422.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=23,"g 2wc3+92p san martin de porres, san martin de porres"
42700712.0,11918049.0,,10834.0,,,,0.0,,2025-12-04,lurin,D,https://www.adondevivir.com/propiedades/clasificado/vecllcin-local-cz-en-av-antigua-panamericana-sur-lurin-lima-148367361.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=24,"av antigua panamericana sur cerca a esquina con av san pedro, lurin"
42700712.0,11918049.0,,10834.0,,,,0.0,,2025-12-04,lurin,D,https://www.adondevivir.com/propiedades/clasificado/veclniin-local-cz-en-av-antigua-panamericana-sur-lurin-lima-148367562.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=25,"av antigua panamericana sur cerca a esquina con av san pedro, lurin"
