pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
124,"S/ 1,200 · USD 344",,LOS Azahares Villa Jardin,"Villa Jardin, Villa María del Triunfo",95 m² tot.,2 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-villa-maria-del-triunfo-149425102.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=103&n_pos=1
124,"S/ 2,100",,Calle Chincheros 196 Dpto 301,"Portada Del Sol Etapa Iii, La Molina",100 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-3-dorm-la-molina-calle-149424476.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=103&n_pos=2
124,"S/ 3,200",S/ 300 Mantenimiento,Calle 24,"Mariscal Ramon Castilla, San Borja",123 m² tot.,3 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-en-san-borja-123-m-sup2--149421385.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=103&n_pos=3
124,"S/ 3,350",S/ 130 Mantenimiento,Edificio Los Caobos,"Residencial San Felipe, Jesús María",137 m² tot.,4 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclappa-se-alquila-los-caobos-residencial-san-felipe-149123356.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=103&n_pos=4
124,"S/ 3,700",S/ 350 Mantenimiento,Calle Antonio Canova 132,"San Borja Norte, San Borja",90 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-san-borja-149140974.html?n_src=Listado&n_pg=103&n_pos=5
124,"S/ 3,302 · USD 980",S/ 350 Mantenimiento,Calle RENI 199 - 2A,"San Borja Sur, San Borja",102 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-en-san-borja-us$980-149189970.html?n_src=Listado&n_pills=Ascensor&n_pg=103&n_pos=6
124,"S/ 7,203 · USD 460,000",S/ 600 Mantenimiento,Conde de la Vega del Ren,"Valle Hermoso Oeste, Santiago de Surco",135 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-alquilo-departamento-duplex-con-vista-exterior-3-149291808.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=103&n_pos=7
124,S/ 850,,Pasaje La Victoria,"Cercado De Puente Piedra, Puente Piedra",95 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclappa-alquiler-de-dpto-en-puente-piedra-s-850-incluido-148903617.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=103&n_pos=8
124,"S/ 1,200",,urbanizacion santa luisa calle san lino 6224,"Santa Luisa Etapa Ii, Los Olivos",100 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclappa-hermoso-departamento-a-lado-de-clinica-aviva-149302024.html?n_src=Listado&n_pg=103&n_pos=9
124,S/ 900,S/ 50 Mantenimiento,Calle Ascencio Rivera 201 Los Olivos,"Villa Sol Etapa Iv, Los Olivos",65 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departameto-en-villasol-los-olivos-143088464.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=103&n_pos=10
