pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
54,"S/ 3,000",S/ 350 Mantenimiento,Av Brasil 3029,"Magdalena, Lima",100 m² tot.,3 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-dpto.-en-magdalena-100-m-sup2-148003260.html
54,"S/ 1,750",S/ 150 Mantenimiento,Jiron Cora,"Barranco, Lima",78 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-en-barranco-2-dorm.-s-1-750-147827938.html
54,"S/ 2,700 · USD 800",S/ 180 Mantenimiento,Av el sol barranco,"Barranco, Lima",41 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-barranco-cerca-al-malecon-148002734.html
54,"S/ 2,500",S/ 200 Mantenimiento,Av Mello Franco #567 Jesús Maria,"Jesús María, Lima",65 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-cma-alquilo-dpto-de-2-dorm.-cochera-a.-comunes-147723524.html
54,"S/ 5,760 · USD 1,700",S/ 650 Mantenimiento,Calle Víctor Gonzales Olaechea 247,"Aurora, Miraflores",200 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-lindo-dpto.-en-aurora-con-vista-a-parque-148002583.html
54,"S/ 2,100",S/ 180 Mantenimiento,02 de mayo,"San Isidro, Lima",55 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-en-san-isidro-148002414.html
54,"S/ 2,300 · USD 660",S/ 270 Mantenimiento,Avenida Larco 730,"Miraflores, Lima",120 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-miraflores-cuadra-7-de-147997991.html
54,"S/ 2,200",S/ 360 Mantenimiento,Coronel Inclán 127,"Miraflores, Lima",45 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-1-habitacion-y-1-cochera-147041015.html
54,"S/ 3,500 · USD 1,000",S/ 380 Mantenimiento,AV. 28 DE JULIO,"Miraflores, Lima",100 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-dpto-amoblado-y-equipado-en-av-28-de-julio-cdra-145044189.html
54,"S/ 1,100 · USD 315",S/ 110 Mantenimiento,AVENIDA A 220,"Rímac, Lima",51 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-el-rimac-147886447.html
54,"S/ 3,400 · USD 1,000",S/ 400 Mantenimiento,Grimaldo del Solar,"Miraflores, Lima",148 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-triplex-2-dorm.-con-excelente-terraza-en-147997247.html
54,"S/ 3,570 · USD 1,050",S/ 430 Mantenimiento,calle San Martin 665,"Leuro, Miraflores",113 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-gran-oportunidad-alquilo-dpto.-de-3-dorm.-amoblado-en-143692643.html
54,"S/ 4,000 · USD 1,200",S/ 900 Mantenimiento,San isidro,"San Isidro, Lima",140 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-san-isidro-alquiler-$1-200-usd-amoblado-2-147865907.html
54,"S/ 1,700",S/ 130 Mantenimiento,alejandro iglesias,"Chorrillos, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-y-acogedor-departamento-en-chorrillos-limite-145186883.html
54,"S/ 2,250 · USD 660",S/ 350 Mantenimiento,Av. Paseo de la República,"Miraflores, Lima",67 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-en-alquiler-miraflores-147994574.html
54,"S/ 3,400 · USD 1,050",S/ 390 Mantenimiento,Calle Enrique Palacios,"Miraflores, Lima",114 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-de-3-habitaciones-con-terraza-147879673.html
54,"S/ 2,600 · USD 770",S/ 225 Mantenimiento,Calle Bolívar,"Miraflores, Lima",60 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-de-2-habitaciones-en-miraflores-147763755.html
54,"S/ 4,197 · USD 1,150",S/ 360 Mantenimiento,Calle Bellavista,"Miraflores, Lima",95 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-hermoso-duplex-amoblado-de-2-habitaciones-en-el-147515979.html
54,"S/ 2,700 · USD 750",S/ 350 Mantenimiento,Las Dalias,"Miraflores, Lima",55 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-hermoso-dpto-de-1-dormitorio-ubicado-en-pleno-corazon-147074015.html
54,"S/ 2,700 · USD 780",S/ 80 Mantenimiento,Paseo Parodi,"San Isidro, Lima",70 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-de-2-habitaciones-en-san-isidro-142804937.html
54,"S/ 2,800",,Dirección no informada,"Santiago de Surco, Lima",140 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-s-2800-amplisimo-p-castilla-plaza-vea-147986950.html
54,"S/ 2,600",S/ 450 Mantenimiento,Grimaldo del solar,"Leuro, Miraflores",85 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-centrico-departamento-en-alquiler-147505988.html
54,"S/ 1,650",S/ 230 Mantenimiento,Av. Los Faisanes 335 Chorrillos,"La Campiña, Chorrillos",67 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin--alquila-tu-nuevo-hogar-en-el-corazon-de-chorrillos!-146293312.html
54,"S/ 2,100",S/ 220 Mantenimiento,Jr. Carlos Arrieta 380,"Barranco, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-alquiler-barranco-limite-147988848.html
54,"S/ 2,400",S/ 350 Mantenimiento,Jr. Huáscar 1982 - Jesús María,"Jesús María, Lima",72 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-muy-bonito-departamento-vista-externa-piso-7-147988690.html
54,"S/ 2,850",,TEJADA,"Miraflores, Lima",140 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-amplisimo-140-m-sup2--3dorm.-s-2850-2salas-147986946.html
54,"S/ 2,100",S/ 241 Mantenimiento,La Calera,"La Calera, Surquillo",83 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto-con-terraza-vista-a-la-calle-la-calera-147985928.html
54,"S/ 1,500 · USD 445",S/ 250 Mantenimiento,Jr.Mariscal Antonio Sucre 5XX,"San Miguel, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-mini-departamento-buena-ubicacion-av-sucre-147984779.html
54,"S/ 2,100 · USD 630",,Calle Las Dalias,"Miraflores, Lima",60 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-mini-departamento-en-miraflores-1-dormitorio-147932312.html
54,"S/ 3,000 · USD 900",S/ 350 Mantenimiento,Calle Franz Liszt 1,"San Borja, Lima",110 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-frente-a-parque-64304192.html
