pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
69,"S/ 5,655 · USD 1,500",S/ 365 Mantenimiento,calle IGNACIO MERINO,"Miraflores, Lima",158 m² tot.,2 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-amoblado-de-2-doms-en-143080849.html
69,"S/ 4,180 · USD 1,100",S/ 310 Mantenimiento,JAVIER PRADO OESTE 1266,"San Isidro, Lima",81 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-full-amoblado-san-isidro-142871929.html
69,"S/ 2,990 · USD 790",S/ 150 Mantenimiento,Tupac amaru 400 miraflotes,"Armendariz, Miraflores",80 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-a-media-cuadra-del-malecon-4-141903943.html
69,"S/ 2,900 · USD 790",S/ 190 Mantenimiento,CALLE TUPAC AMARU 400 MIRAFLORES,"Miraflores, Lima",50 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-6-en-miraflores-con-terraza-alquiler-56035469.html
69,"S/ 2,890 · USD 750",S/ 150 Mantenimiento,Calle Tupac amaru 400 miraflores,"Armendariz, Miraflores",45 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-deparmento-3-en-miraflores-con-vista-parcial-al-mar-56034376.html
69,"S/ 1,800 · USD 470",S/ 200 Mantenimiento,Av. Alejandro Tirado 629,"Santa Beatriz, Lima Cercado",61 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-de-estreno-con-2-balcones-y-estacionamiento-148057594.html
69,"S/ 2,100",S/ 200 Mantenimiento,Av. Petit Thouars 1180,"Santa Beatriz, Lima Cercado",57 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclappa-departamento-en-petithouars-2-dorm.-con-piscina-147924209.html
69,"S/ 3,500 · USD 1,000",S/ 400 Mantenimiento,jiron santa elena norte,"Lima Polo Hunt, Santiago de Surco",111 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-dentro-de-condominio-146154540.html
69,"S/ 2,300 · USD 680",S/ 280 Mantenimiento,calle fisher 138,"La Calera De La Merced, Surquillo",56 m² tot.,2 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-moderno-departamento-con-cochera-en-la-144694712.html
69,S/ 900,S/ 20 Mantenimiento,Jr. Enrique Pallardelle 566,"San Agustin, Comas",90 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-av-micaela-con-jr.-pallardelle-145178879.html
69,"S/ 1,800 · USD 486",S/ 260 Mantenimiento,emiliano zapata 332,"La Calera De La Merced, Surquillo",34 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-la-calera-surquillo-145041739.html
69,"S/ 2,700 · USD 762",S/ 300 Mantenimiento,daniel olaechea 237,"Oyague, Jesús María",99 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-en-jesus-maria-147262401.html
69,"S/ 2,000",S/ 260 Mantenimiento,"Av. Sergio Bernal , Surquillo","Barrio Medico, Surquillo",56 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquila-en-barrio-medico-2-dorm.-areas-comunes-145906830.html
69,"S/ 3,100 · USD 900",,LOS TAMARINDOS,"La Capullana, Santiago de Surco",150 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-dpto-estilo-europeo-en-la-capullana-148080118.html
69,"S/ 2,380 · USD 155,000",,Jr La Malva 195,"Monterrico, Santiago de Surco",56 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-dpto-1dorm-1cochera-en-el-exclusivo-condominio-magna-147890820.html
69,"S/ 3,325 · USD 950",S/ 400 Mantenimiento,calle manuel tovar,"Santa Cruz, Miraflores",72 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-alquilo-departamento-amoblado-en-calle-148078023.html
69,"S/ 2,500 · USD 730",S/ 450 Mantenimiento,Jirón Carlos Arrieta 289,"Tejada Alta, Barranco",57 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-exclusivo-loft-con-terraza-en-arrieta-148078008.html
69,"S/ 2,000 · USD 578",S/ 250 Mantenimiento,Marco Polo 220,"La Calera De La Merced, Surquillo",45 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-ocasion-de-alquiler-en-la-calera-surquillo-147982757.html
69,"S/ 2,050 · USD 586",S/ 300 Mantenimiento,Jiron Alberto Barton 2**,"Santa Catalina, La Victoria",46 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-estreno-2-dorm-santa-catalina-148077245.html
69,"S/ 3,600 · USD 1,000",S/ 330 Mantenimiento,Calle dos de mayo 959 Miraflores,"Santa Cruz, Miraflores",105 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-amoblado-en-miraflores-145145492.html
69,"S/ 6,264 · USD 1,800",S/ 620 Mantenimiento,Av ANGAMOS OESTE 939 - 804,"Santa Cruz, Miraflores",168 m² tot.,2 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-amoblado-y-equipado-148069031.html
69,"S/ 15,525 · USD 4,500","S/ 1,000 Mantenimiento",Antero Aspillaga 207,"El Olivar, San Isidro",287 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-bello-departamento-amoblado-en-alquiler-el-olivar-148067229.html
69,"S/ 1,900",,JIRON SEVILLA 146,"Higuereta, Santiago de Surco",60 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-higuereta-surco-147925424.html
69,"S/ 3,200",S/ 210 Mantenimiento,CALLE PARODI 105,"Orrantia, San Isidro",110 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-san-isidro-estreno-lindo-dpt-110-m-sup2--3dor-143155002.html
