pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
135,"S/ 4,053 · USD 1,050",S/ 600 Mantenimiento,Ca. Bolognesi 570,"Miraflores, Lima",126 m² tot.,2 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-miraflores-126-m-sup2--bolognesi-59510779.html
135,"S/ 6,032 · USD 1,600",S/ 500 Mantenimiento,Malecón Cisneros,"Miraflores, Lima",128 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-depa-2dom.-mlc.-cisneros-con-excelente-vista-143775540.html
135,"S/ 3,129 · USD 830",S/ 321 Mantenimiento,Conquistadores 918,"San Isidro, Lima",60 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-60-m-sup2--full-1-dormitorio-san-142932969.html
135,"S/ 5,278 · USD 1,400",S/ 690 Mantenimiento,Ca. Las Acacias 269,"Miraflores, Lima",150 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-flat-150-m-sup2--vista-exterior-3-dorms-ca.-las-142932665.html
135,"S/ 12,540 · USD 3,300","S/ 1,700 Mantenimiento",Parque El Olivar,"San Isidro, Lima",277 m² tot.,4 dorm.,4 baños,3 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-con-vista-a-parque-el-olivar-san-66187065.html
135,"S/ 3,366 · USD 900",S/ 400 Mantenimiento,CDRA 49 AV. AREQUIPA,"Miraflores, Lima",97 m² tot.,,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-en-la-cdra.-49-de-la-av-arequipa-144481762.html
135,"S/ 5,610 · USD 1,500",S/ 535 Mantenimiento,Malecón de la Reserva 457,"Miraflores, Lima",165 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-depa-amoblado-3doms-en-malecon-de-la-reserva-con-vista-144064255.html
135,"S/ 4,488 · USD 1,200",S/ 300 Mantenimiento,Av. Paseo de la Republica Cdra. 60,"Miraflores, Lima",110 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-3doms-amoblado-miraflores-144467329.html
135,"S/ 4,147 · USD 1,100",S/ 420 Mantenimiento,AVENIDA JUAN DE LA FUENTE 122,"Miraflores, Lima",115 m² tot.,2 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-sin-amoblar-con-vista-exterior-143763281.html
135,"S/ 3,366 · USD 900",S/ 380 Mantenimiento,Avenida Tejada 103,"Miraflores, Lima",80 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-lindo-departamento-amoblado-de-80-m-sup2-143146801.html
135,"S/ 12,342 · USD 3,300",S/ 950 Mantenimiento,malecon cisneros,"Miraflores, Lima",240 m² tot.,4 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-4-doms.-en-malecon-cisneros-de-142373880.html
135,"S/ 11,968 · USD 3,200",S/ 850 Mantenimiento,MALECON DE LA RESERVA 195,"Miraflores, Lima",280 m² tot.,4 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-flat280-m-sup2--en-malecon-de-la-reserva-144668669.html
135,"S/ 3,204 · USD 850",S/ 570 Mantenimiento,CALLE SANTA LUISA 195,"San Isidro, Lima",90 m² tot.,2 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-90-m-sup2--en-san-isidro-143277046.html
135,"S/ 2,704 · USD 723",S/ 300 Mantenimiento,Av. La Paz 1101,"Miraflores, Lima",60 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-60-m-sup2--remodelado-144373428.html
