precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud
1600.0,456.0,180.0,70.0,3.0,2.0,,10.0,,2026-05-01,chorrillos,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-3-dorm.-en-quinto-piso-149717950.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=20,"av guardia civil 531, chorrillos",-12.1815536,-76.9992585
14070.0,4200.0,1200.0,436.0,3.0,4.0,2.0,10.0,35.0,2026-04-30,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-penthouse-con-terraza-en-el-malecon-de-149671945.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,"malecon armendariz 190 miraflores, miraflores",-12.136087,-77.0265457
3700.0,,350.0,81.0,3.0,2.0,1.0,1.0,,2026-04-30,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-lince-149714898.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=22,"manuel villavicencio al 1200, lince",-12.089747,-77.0433228
3777.0,1100.0,390.0,62.0,2.0,1.0,1.0,0.0,168.0,2026-04-30,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-dpto-nuevo-de-2-dorm.-amoblado-149397793.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=23,"av salaverry con elespuru, magdalena",-12.096014,-77.0548941
3200.0,915.0,,115.0,3.0,2.0,2.0,30.0,24.0,2026-04-30,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-3-dorm.-a-1-cuadra-del-malecon-de-la-149714119.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=24,"calle juan fanning 180 miraflores, miraflores",-12.128391,-77.0337102
4100.0,1200.0,400.0,133.0,2.0,2.0,,3.0,,2026-04-30,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-133-m-02-dorm.-02-cocheras-149713503.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=25,"jr junin, miraflores",-12.1104546,-77.0282375
2115.0,600.0,1.0,62.0,2.0,1.0,,50.0,87.0,2026-04-30,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-con-ingreso-independiente-en-miraflores-149711846.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=26,"miraflores, miraflores",-12.1224896,-77.03135019999999
3100.0,930.0,200.0,69.0,3.0,2.0,1.0,0.0,,2026-04-30,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-excelente-iluminacion-frente-al-colegio-san-agustin-149710720.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=27,"av javier prado al 1900, lince",-12.0913577,-77.0270428
3366.0,900.0,400.0,56.0,1.0,2.0,1.0,0.0,,2026-04-30,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-moderno-1-dorm-cochera-areas-comun-gim-146204266.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=28,"av almte grau 1100, barranco",-12.1403067,-77.02209479999999
4250.0,1250.0,,80.0,2.0,2.0,1.0,0.0,25.0,2026-04-29,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-de-2-dorm.-en-parque-blume-con-149700581.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=29,"parque blume dpto de estreno vista exterior de 2 dormitorios y cochera, miraflores",-12.1123311,-77.0443453
3340.0,950.0,480.0,83.0,2.0,2.0,1.0,8.0,23.0,2026-04-29,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-departamento-de-2-habitaciones-con-149699089.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=30,"calle berlin 351, miraflores",-12.1211096,-77.0332573
2900.0,,350.0,69.0,2.0,2.0,1.0,2.0,24.0,2026-04-29,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-linea-blanca-2-dorm-pet-149662195.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=1,"clement x 1xx, magdalena",,
5100.0,1500.0,550.0,121.0,3.0,2.0,2.0,2.0,260.0,2026-04-29,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-c.-samuel-marquez-cerca-a-149537333.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=2,"samuel marquez al 100, miraflores",-12.1334146,-77.022315
6382.0,1850.0,1040.0,168.0,3.0,3.0,2.0,11.0,35.0,2026-04-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-03-dorm.-sin-muebles.-malecon-149693756.html?n_src=Listado&n_pills=Frente+a+parque&n_pg=2&n_pos=3,"av jose pardo, miraflores",-12.1191345,-77.036787
3320.0,950.0,420.0,90.0,2.0,2.0,1.0,5.0,23.0,2026-04-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-2-habitaciones-con-estacionamiento-149693162.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=4,"calle francia 465, miraflores",-12.1223825,-77.03549269999999
4550.0,1300.0,350.0,95.0,2.0,2.0,1.0,10.0,25.0,2026-04-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-departamento-de-2-habitaciones-con-149688138.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=5,"av angamos oeste 939, miraflores",-12.1142709,-77.0384782
3500.0,1000.0,330.0,82.0,2.0,2.0,1.0,9.0,,2026-04-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-2-habitaciones-con-balcon-y-149686738.html?n_src=Listado&n_pills=Piscina&n_pg=2&n_pos=6,"av jose pardo 570, miraflores",-12.1188617,-77.0342053
4100.0,,600.0,84.0,3.0,2.0,1.0,0.0,242.0,2026-04-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-alquiler-a-pasos-del-148833026.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=2&n_pos=7,"av sta cruz 1550, miraflores",-12.1181372,-77.0428165
2250.0,650.0,170.0,59.0,2.0,2.0,,8.0,526.0,2026-04-28,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-amoblado-de-2-dorm.-en-piso-20-149332639.html?n_src=Listado&n_pills=Gimnasio&n_pg=2&n_pos=8,"av arequipa 1492, lince",-12.0794652,-77.0354753
2243.0,650.0,211.0,65.0,1.0,2.0,1.0,9.0,843.0,2026-04-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-dpto.-solo-amoblado-de-1-dormitorio-de-65-149040869.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=2&n_pos=9,"av grau cuadra 2, miraflores",-12.0578231,-77.0212363
3709.0,1100.0,350.0,107.0,2.0,3.0,1.0,9.0,207.0,2026-04-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-duplex-de-2-dormitortios-de-area-107-149509870.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=10,"avenida jose larco 1010, miraflores",-12.1278301,-77.0297672
2900.0,,,100.0,3.0,3.0,,5.0,66.0,2026-04-27,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-lince-03-dorm.-100-m-amoblado-y-equipado-149674426.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=11,"av cesar vallejo, lince",-12.0885688,-77.0409569
3300.0,,400.0,98.0,2.0,2.0,1.0,9.0,114.0,2026-04-27,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-acogedor-dpto.-duplex-2-dorm.-cerca-al-malecon-de-149664070.html?n_src=Listado&n_pills=Ascensor&n_pg=2&n_pos=12,"berlin al 800, miraflores",34.1785191,-86.742541
2890.0,,380.0,75.0,2.0,2.0,1.0,10.0,20.0,2026-04-26,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-av-ejercito_-magdalena-del-149656921.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=13,"av el ejercito 8xx, magdalena",-12.1132974,-77.048418
13800.0,4000.0,1450.0,240.0,3.0,3.0,2.0,4.0,137.0,2026-04-25,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-espectacular-departamento-en-edificio-con-91048253.html?n_src=Listado&n_pills=Frente+a+parque&n_pg=2&n_pos=14,"malecon de la marina, miraflores",-12.1152552,-77.0484237
3000.0,867.0,,79.0,3.0,2.0,1.0,0.0,100.0,2026-04-25,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-magdalena-del-mar-149452449.html?n_src=Listado&n_pills=Ascensor&n_pg=2&n_pos=15,"av brasil al 3300, magdalena",36.7081128,-2.6766494
4617.0,1350.0,,146.0,2.0,3.0,,12.0,154.0,2026-04-25,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-1er-piso-en-un-condominio-149459768.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=16,"pje belen 116 barranco 15063 peru, barranco",-12.1541508,-77.0240662
2900.0,860.0,,120.0,3.0,2.0,,5.0,90.0,2026-04-25,chorrillos,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-amplio-frente-a-parque-120-149542615.html?n_src=Listado&n_pg=2&n_pos=17,"urb los cedros de villa, chorrillos",-12.2065293,-77.014704
2700.0,,150.0,55.0,2.0,1.0,1.0,0.0,132.0,2026-04-24,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquier-excelente-ubicacion-lindas-145016038.html?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=18,"calle soledad esquina con av arequipa, lince",-12.0846557,-77.034531
2050.0,610.0,180.0,45.0,1.0,1.0,,0.0,230.0,2026-04-24,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-vive-con-estilo-comodidad-y-tecnologia-cerca-parque-147022446.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=19,"av cesar vallej 320, lince",-12.0886619,-77.03608969999999
3700.0,,175.0,73.0,3.0,2.0,,15.0,71.0,2026-04-24,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-magdalena-del-mar-full-149642693.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=20,"jiron libertad 11, magdalena",-12.0886947,-77.0838096
3773.0,1100.0,720.0,125.0,2.0,4.0,2.0,13.0,115.0,2026-04-24,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-duplex-con-balcon-en-149642069.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=21,"calle santa isabel al 100, miraflores",-12.1224896,-77.03135019999999
2300.0,670.0,300.0,66.0,2.0,1.0,,19.0,656.0,2026-04-24,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin--alquiler-en-el-centro-de-miraflores!-conexion-rapida-149527931.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=22,"calle salaverry, miraflores",-12.1094434,-77.0284064
3100.0,,335.0,85.0,3.0,2.0,1.0,9.0,386.0,2026-04-24,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-dpto-av-del-ejercito-al-800-con-vista-al-149296675.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=23,"av del ejercito al 800, magdalena",10.4113014,-74.4056612
2600.0,764.0,210.0,42.0,1.0,1.0,,4.0,45.0,2026-04-24,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-en-alquiler-depa-de-1-dorm-amoblado-y-equipado-piso-20-149543645.html?n_src=Listado&n_pills=Piscina&n_pg=2&n_pos=24,"almirante grau al 1500 depa 1 dorm | amoblado y equipado | areas comunes, barranco",-12.1411508,-77.0221186
2800.0,823.0,250.0,68.0,2.0,2.0,1.0,6.0,84.0,2026-04-24,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-2-dorm.-1-cochera.-cerca-parque-149616158.html?n_src=Listado&n_pills=Ascensor&n_pg=2&n_pos=25,"jr general cordova 25xx - alquilo ddpto 2 dorm 1 cochera cerca parque castilla javier prado arenales, lince",-12.0885941,-77.0390055
4500.0,1300.0,430.0,140.0,2.0,3.0,2.0,15.0,218.0,2026-04-24,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-con-jardin-privado-y-terraza-en-149554828.html?n_src=Listado&n_pills=Ascensor&n_pg=2&n_pos=26,"calle jose galvez al 600-alquiler 140m2 con jardin privado, miraflores",-12.1212022,-77.0370892
