precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud
2760.0,800.0,295.0,80.0,2.0,2.0,1.0,10.0,209.0,2026-04-23,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto-amoblado-2-dorm.-80-m-sup2--piso-16-149638017.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=27,"av 28 de julio, miraflores",-12.1282915,-77.0260415
4930.0,1450.0,800.0,115.0,2.0,2.0,2.0,15.0,75.0,2026-04-23,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-sin-muebles.-02-dorm.-vista-149637052.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=28,"av jose pardo, miraflores",-12.1191345,-77.036787
3790.0,1100.0,280.0,61.0,2.0,2.0,1.0,1.0,24.0,2026-04-23,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-61-m-sup2--con-2-dorm.-en-alquiler-149631596.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=2&n_pos=29,"av javier prado este 595, lince",-12.0910953,-77.0273658
1500.0,441.0,50.0,160.0,3.0,2.0,,0.0,83.0,2026-04-23,ancon,D,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-estreno-3-dorm.-160-m-sup2-.-149585198.html?n_src=Listado&n_pills=Frente+a+parque&n_pg=2&n_pos=30,"avenida 6 de febrero, ancon",-11.7856448,-77.1585769
2333.0,700.0,280.0,55.0,1.0,1.0,1.0,3.0,93.0,2026-04-22,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-amplio-loft-de-55-m-sup2--barranco-149618867.html?n_src=Listado&n_pills=Ascensor&n_pg=3&n_pos=1,"las mimosas barranco, barranco",-12.1386169,-77.0251705
2210.0,650.0,180.0,37.0,1.0,1.0,,1.0,177.0,2026-04-22,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-loft-amoblado-de-estreno-en-alquiler-149614085.html?n_src=Listado&n_pills=Parrilla&n_pg=3&n_pos=2,"av 28 de julio, miraflores",-12.1282915,-77.0260415
2625.0,750.0,270.0,42.0,1.0,1.0,,10.0,86.0,2026-04-21,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin--vive-o-invierte-en-el-corazon-de-barranco-149590698.html?n_src=Listado&n_pills=Ascensor&n_pg=3&n_pos=3,"jiron pedro martinto 114, barranco",-12.1403654,-77.022547
7000.0,2000.0,700.0,210.0,3.0,2.0,,12.0,59.0,2026-04-21,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-en-miraflores-149608026.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=3&n_pos=4,"calle tripoli, miraflores",-12.1249985,-77.0355388
6125.0,358000.0,716.0,208.0,3.0,2.0,2.0,58.0,106.0,2026-04-13,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-de-3-dorm.-y-sala-de-estar-en-el-corazon-149520066.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=3&n_pos=5,"ernesto diez canseco, miraflores",-12.1221978,-77.0260545
2850.0,830.0,,59.0,2.0,2.0,,0.0,50.0,2026-04-21,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-alquiler-frente-a-parque-149603613.html?n_src=Listado&n_pills=Seguridad&n_pg=3&n_pos=6,"joaquin bernal al 700, lince",,
7900.0,2300.0,890.0,140.0,2.0,2.0,2.0,8.0,131.0,2026-04-21,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-hermoso-departamneto-amoblado-en-miraflores-2-149603465.html?n_src=Listado&n_pills=Piscina&n_pg=3&n_pos=7,"calle parque armendariz 159, miraflores",-12.1348511,-77.0247133
2300.0,,,95.0,3.0,2.0,,12.0,335.0,2026-04-20,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-magdalena-del-mar-149594306.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=3&n_pos=8,"jiron cuzco 456, magdalena",-12.0891433,-77.07021329999999
2500.0,735.0,200.0,60.0,2.0,2.0,1.0,7.0,314.0,2026-04-20,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-los-negocios-surquillo-149593920.html?n_src=Listado&n_pills=Parrilla&n_pg=3&n_pos=9,"los negocios al 100, surquillo",-12.1124923,-77.0122039
9120.0,2400.0,,200.0,1.0,2.0,2.0,,,,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-descubre-este-espectacular-penthouse-de-200-m-sup2-149592703.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=3&n_pos=10,"elias aguirre, miraflores",-12.1145462,-77.0347273
2300.0,653.0,220.0,40.0,1.0,1.0,,7.0,75.0,2026-04-20,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-y-equipado-149586041.html?n_src=Listado&n_pills=Gimnasio&n_pg=3&n_pos=11,"avenida pedro de osma 307, barranco",-12.152892,-77.02258069999999
2900.0,850.0,,170.0,4.0,3.0,,20.0,208.0,2026-04-18,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-duplex-en-surquillo.-av-149576767.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=3&n_pos=12,"av angamos al 900, surquillo",-12.112442,-77.0123534
2140.0,640.0,320.0,60.0,1.0,1.0,,5.0,300.0,2026-04-17,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-remodelado-en-barranco-60-m-sup2--148213917.html?n_src=Listado&n_pills=Ascensor&n_pg=3&n_pos=13,"av pedro de osma 203 - barranco, barranco",-12.1512393,-77.0220095
2500.0,,220.0,40.0,1.0,1.0,,3.0,149.0,2026-04-16,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-barranco-149560778.html?n_src=Listado&n_pills=Piscina&n_pg=3&n_pos=14,"el sol al 100, barranco",-12.1411508,-77.0221186
2300.0,,220.0,56.0,2.0,2.0,1.0,3.0,284.0,2026-04-16,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-2-domritorios-1-149454451.html?n_src=Listado&n_pills=Ascensor&n_pg=3&n_pos=15,"av militar 1755, lince",-12.0815169,-77.0316931
10500.0,3000.0,1200.0,240.0,3.0,3.0,3.0,2.0,113.0,2026-04-16,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto.-malecon-balta-63365013.html?n_src=Listado&n_pills=Ascensor&n_pg=3&n_pos=16,"malecon balta, miraflores",-12.1251193,-77.0337998
3800.0,1111.0,280.0,80.0,3.0,2.0,,1.0,94.0,2026-04-15,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-surquillo-149549572.html?n_src=Listado&n_pills=Ascensor&n_pg=3&n_pos=17,"av guardia civil san isidro/surquillo, surquillo",-12.1063224,-77.0165252
2800.0,810.0,380.0,74.0,1.0,2.0,1.0,20.0,184.0,2026-04-15,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-acogedor-y-amplio-dpto-a-pasos-del-malecon-cisneros-149484042.html?n_src=Listado&n_pills=Ascensor&n_pg=3&n_pos=18,"calle manuel segura, miraflores",-12.1202602,-77.0423505
2710.0,800.0,200.0,70.0,2.0,2.0,,10.0,301.0,2026-04-15,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-moderno-de-2-habitaciones-en-barranco-149541138.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=3&n_pos=19,"calle enrique barron 377, barranco",-12.1390709,-77.0188986
6900.0,435000.0,900.0,290.0,4.0,3.0,2.0,5.0,144.0,2026-04-14,chorrillos,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-vista-espectacular-al-mar!-malecon-grau-duplex-con-149538243.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=3&n_pos=20,"miguel grau, chorrillos",-12.2021975,-76.9901328
