mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
200.0,58.0,2.0,2.0,1.0,0.0,11,0,6,2,2500.0
1.0,65.0,1.0,1.0,0.0,9.0,9,0,5,2,1400.0
,32.0,1.0,1.0,0.0,0.0,4,0,10,2,1842.0
,59.0,2.0,1.0,0.0,29.0,7,0,7,1,2150.0
,45.0,1.0,1.0,0.0,0.0,20,0,8,4,2600.0
200.0,118.0,2.0,3.0,2.0,11.0,13,0,7,1,3350.0
,62.0,2.0,2.0,0.0,0.0,7,1,7,1,4700.0
350.0,90.0,3.0,2.0,0.0,10.0,28,0,6,3,2600.0
550.0,131.0,3.0,2.0,1.0,10.0,31,0,6,3,4511.0
290.0,90.0,2.0,2.0,1.0,5.0,10,0,6,2,2900.0
,108.0,3.0,3.0,0.0,8.0,12,0,7,2,3500.0
365.0,117.0,2.0,2.0,1.0,20.0,8,0,7,1,4816.0
,160.0,4.0,3.0,0.0,10.0,4,0,1,2,800.0
70.0,45.0,1.0,1.0,0.0,5.5,13,0,4,4,1090.0
530.0,130.0,3.0,2.0,1.0,10.0,13,0,6,1,4381.0
350.0,81.0,3.0,2.0,1.0,1.0,3,0,6,2,3700.0
250.0,65.0,1.0,1.0,2.0,1.0,4,1,7,1,2700.0
,42.0,1.0,1.0,0.0,0.0,10,0,6,2,1750.0
50.0,76.0,2.0,1.0,0.0,10.0,10,0,7,1,1600.0
160.0,40.0,1.0,1.0,0.0,5.0,9,0,8,2,1700.0
,33.0,1.0,1.0,0.0,0.0,11,1,8,2,2200.0
1100.0,125.0,3.0,3.0,2.0,0.0,13,1,8,3,5440.0
310.0,100.0,2.0,2.0,1.0,40.0,6,0,7,2,3360.0
,80.0,3.0,2.0,0.0,0.0,11,0,7,3,2400.0
230.0,82.0,3.0,2.0,1.0,0.0,26,0,6,3,2300.0
,115.0,3.0,3.0,0.0,15.0,5,0,7,1,3450.0
850.0,281.0,4.0,3.0,3.0,20.0,6,0,7,1,9250.0
160.0,80.0,2.0,2.0,0.0,8.0,16,0,6,2,2500.0
,80.0,2.0,2.0,0.0,3.0,15,0,7,3,1600.0
170.0,60.0,2.0,1.0,0.0,3.0,20,1,8,4,2000.0
,75.0,2.0,2.0,0.0,12.0,7,0,1,4,1350.0
380.0,46.0,1.0,1.0,0.0,1.0,5,0,7,1,2750.0
