precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set
5100.0,1500.0,550.0,140.0,3.0,2.0,1.0,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-vista-hipodromo-u-145168842.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=7,"av manuel olguin, santiago de surco",-12.0942486,-76.9738154,4,0,0,0,1,4,train
1900.0,,,100.0,3.0,2.0,1.0,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-ate-149283938.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=10,"calle guadalupe al 500, lima",-12.0466888,-77.04308859999999,12,4,0,3,0,80,train
4080.0,1200.0,420.0,100.0,3.0,2.0,1.0,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-en-alquiler-amoblado-de-3-dorm.-en-149519987.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=13,"jiron pedro martinto, barranco",-12.1405711,-77.0245093,5,0,0,0,0,12,train
6200.0,415000.0,700.0,124.0,2.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-alquilo-moderno-departamento-de-125-m-sup2--en-90144797.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=19,"parque armendariz, miraflores",-12.1348923,-77.0239057,10,1,0,0,0,11,train
4100.0,,350.0,84.0,3.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-alquiler-a-pasos-del-148833026.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=14,"av sta cruz 1550, miraflores",-12.1181372,-77.0428165,7,0,0,0,0,10,eval
3300.0,,400.0,98.0,2.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-acogedor-dpto.-duplex-2-dorm.-cerca-al-malecon-de-149518408.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=15,"berlin al 800, miraflores",34.1785191,-86.742541,0,0,0,0,0,0,eval
3048.0,824.0,432.0,68.0,2.0,1.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-exclusivos-departamentos-desde-los-56-m-sup2--146042237.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=18,"av ricardo palma, miraflores",-12.1225062,-77.0208304,3,1,0,1,1,24,eval
1850.0,,250.0,64.0,3.0,2.0,0.0,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-magdalena-del-mar-149503888.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=30,"jiron cuzco 865, magdalena",-12.0878383,-77.0744277,12,1,0,0,1,53,eval
2700.0,800.0,230.0,68.0,2.0,2.0,1.0,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-vende-departamento-de-68-m-sup2--de-2-dorm.-mas-149514792.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=8,"av arequipa 768, lima cercado",-12.0720469,-77.0366021,11,4,0,0,1,11,eval
2700.0,,250.0,69.0,3.0,2.0,1.0,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-surquillo-149472182.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,"calle las gaviotas, surquillo",-12.1039369,-77.0216978,6,2,0,0,0,18,test
10150.0,3000.0,1000.0,130.0,2.0,2.0,2.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-de-lujo-con-vista-al-malecon-miraflores-130-149513285.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=24,"armendariz 159, miraflores",-12.1347557,-77.02438959999999,9,1,0,0,0,8,test
3365.0,970.0,450.0,108.0,1.0,1.0,1.0,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=11,"uan nolberto elespuru al 700, lima",-11.9327358,-76.9553042,0,0,0,0,0,7,test
10000.0,3000.0,220.0,285.0,3.0,2.0,2.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-depa-diego-ferre-208-1er-piso-jardin-sin-149507569.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=28,"diego ferre 208 1er piso miraflores - alq, miraflores",-12.1293842,-77.0331434,0,1,0,0,0,8,test
2584.0,760.0,260.0,52.0,1.0,1.0,1.0,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-av-san-martin-149232929.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=23,"av san martin, barranco",-12.1407141,-77.0233624,9,0,0,0,0,26,test
