mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
350.0,40.0,1.0,1.0,0.0,2.0,15,0,7,2,2800.0
350.0,110.0,2.0,2.0,2.0,4.0,6,1,7,1,3293.0
480.0,83.0,2.0,2.0,1.0,8.0,8,0,7,2,3340.0
350.0,80.0,3.0,2.0,0.0,1.0,1,0,7,2,5130.0
380.0,94.0,3.0,2.0,2.0,2.0,16,1,7,3,4000.0
900.0,215.0,3.0,4.0,2.0,9.0,8,0,7,4,8375.0
850.0,99.0,3.0,2.0,2.0,15.0,10,0,7,3,3172.0
350.0,73.0,2.0,2.0,0.0,0.0,0,0,7,2,4250.0
300.0,62.0,1.0,1.0,1.0,4.0,4,0,7,2,3000.0
400.0,84.0,2.0,2.0,1.0,3.0,8,0,7,2,3300.0
280.0,50.0,1.0,1.0,0.0,18.0,9,2,7,3,1900.0
372.0,67.0,1.0,2.0,0.0,0.0,6,1,7,2,2659.0
350.0,95.0,2.0,2.0,1.0,10.0,14,0,7,1,4550.0
470.0,100.0,2.0,2.0,1.0,15.0,13,0,7,1,5440.0
420.0,100.0,1.0,2.0,1.0,15.0,8,0,7,1,4420.0
300.0,81.0,3.0,2.0,0.0,2.0,8,0,7,3,3200.0
340.0,115.0,2.0,3.0,1.0,3.0,0,0,7,1,2915.0
541.0,120.0,2.0,2.0,1.0,8.0,7,0,7,1,3278.0
,240.0,4.0,4.0,0.0,8.0,4,1,7,1,5070.0
550.0,134.0,3.0,2.0,1.0,3.0,9,0,7,2,4488.0
,108.0,3.0,2.0,2.0,10.0,13,2,7,2,4275.0
,198.0,3.0,3.0,2.0,22.0,3,0,7,1,7800.0
700.0,250.0,3.0,3.0,2.0,12.0,4,0,7,1,7056.0
300.0,80.0,3.0,2.0,1.0,20.0,3,1,7,1,2850.0
270.0,35.0,1.0,1.0,0.0,0.0,5,1,7,2,2500.0
250.0,80.0,2.0,2.0,0.0,10.0,8,0,7,2,3450.0
350.0,70.0,2.0,2.0,1.0,3.0,7,0,7,2,3259.0
370.0,60.0,2.0,2.0,0.0,10.0,6,1,7,1,2890.0
410.0,135.0,3.0,2.0,0.0,6.0,3,0,7,2,5160.0
1000.0,215.0,2.0,3.0,2.0,4.0,12,0,7,3,9106.0
778.0,188.0,3.0,3.0,2.0,8.0,2,0,7,2,7929.0
560.0,167.0,3.0,3.0,1.0,20.0,1,0,7,1,9350.0
330.0,95.0,2.0,3.0,1.0,19.0,3,1,7,1,3700.0
370.0,102.0,3.0,3.0,1.0,5.0,7,0,7,2,3650.0
400.0,80.0,2.0,2.0,1.0,0.0,0,0,7,2,3000.0
320.0,150.0,2.0,1.0,1.0,4.0,10,1,7,1,5070.0
390.0,110.0,3.0,3.0,1.0,11.0,9,0,7,3,5200.0
220.0,70.0,1.0,1.0,1.0,25.0,11,0,7,2,2395.0
420.0,72.0,2.0,2.0,1.0,3.0,8,0,7,2,3200.0
1.0,89.0,3.0,2.0,1.0,0.0,1,0,7,2,3990.0
,80.0,2.0,2.0,1.0,0.0,2,0,7,2,3500.0
,115.0,2.0,3.0,1.0,10.0,2,0,7,2,5780.0
600.0,147.0,3.0,2.0,2.0,20.0,3,0,7,1,7610.0
450.0,200.0,3.0,3.0,1.0,9.0,11,2,7,3,6562.0
280.0,160.0,3.0,2.0,1.0,5.0,16,0,7,3,5200.0
,84.0,3.0,2.0,1.0,0.0,7,0,7,2,5600.0
650.0,100.0,2.0,3.0,2.0,15.0,3,1,7,1,3700.0
280.0,128.0,3.0,4.0,0.0,7.0,13,0,7,4,3200.0
450.0,140.0,4.0,4.0,2.0,6.0,9,0,7,3,6300.0
446.0,59.0,2.0,2.0,1.0,1.0,6,1,7,2,3049.0
,90.0,3.0,3.0,1.0,9.0,0,0,7,1,3685.0
500.0,125.0,3.0,2.0,2.0,15.0,13,0,7,1,6740.0
325.0,73.0,2.0,2.0,1.0,0.0,3,1,7,1,4111.0
280.0,55.0,1.0,1.0,0.0,8.0,6,1,7,1,2750.0
70.0,50.0,1.0,1.0,0.0,5.0,10,0,7,3,1850.0
180.0,37.0,1.0,1.0,0.0,1.0,6,1,7,1,2210.0
270.0,74.0,1.0,1.0,1.0,15.0,7,0,7,2,2890.0
300.0,120.0,3.0,2.0,1.0,0.0,10,0,7,1,5600.0
450.0,132.0,3.0,2.0,2.0,5.0,16,3,7,4,5200.0
350.0,70.0,1.0,1.0,0.0,16.0,15,0,7,2,2726.0
550.0,129.0,2.0,2.0,1.0,6.0,2,0,7,2,5466.0
363.0,52.0,1.0,1.0,0.0,0.0,10,3,7,3,2639.0
600.0,135.0,3.0,2.0,1.0,7.0,2,0,7,1,5800.0
400.0,70.0,2.0,2.0,1.0,4.0,9,0,7,2,3277.0
400.0,100.0,3.0,1.0,1.0,22.0,8,0,7,2,3740.0
350.0,60.0,2.0,2.0,1.0,0.0,1,0,7,2,3000.0
,79.0,2.0,2.0,1.0,11.0,13,2,7,2,3360.0
200.0,65.0,1.0,1.0,1.0,9.0,9,0,7,2,2345.0
300.0,66.0,2.0,1.0,0.0,19.0,16,1,7,2,2300.0
760.0,211.0,2.0,3.0,1.0,0.0,9,0,7,2,6246.0
,72.0,1.0,1.0,0.0,15.0,12,0,7,2,2300.0
400.0,96.0,3.0,3.0,2.0,0.0,0,0,7,2,4850.0
250.0,75.0,1.0,1.0,0.0,7.0,6,2,7,2,2399.0
500.0,150.0,3.0,3.0,1.0,21.0,1,0,7,1,6800.0
450.0,98.0,2.0,2.0,2.0,5.0,14,3,7,3,4500.0
500.0,165.0,3.0,3.0,1.0,21.0,0,0,7,1,6030.0
,170.0,3.0,3.0,1.0,10.0,2,1,7,1,5500.0
350.0,130.0,3.0,3.0,1.0,5.0,1,0,7,1,3696.0
