precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,direccion_completa,latitud,longitud,URL
3200.0,860.0,350.0,70.0,2.0,2.0,1.0,3.0,44.0,2025-06-14,san isidro,A,"frente al parque ramon castilla - cerca de real plaza salaverry upc y up edificio con rooftop piscina y cine privado, san isidro",-12.0884843,-77.0389714,https://www.adondevivir.com/propiedades/clasificado/alclapin-balcon-con-vista-externa-full-equipado-y-amoblado-146719839.html
1600.0,,200.0,55.0,2.0,2.0,1.0,5.0,147.0,2025-06-14,chorrillos,B,"av los faisanes 222 chorrillos, chorrillos",-12.1803506,-77.0016151,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-dpto-estacionamiento-en-av-los-faisanes-146187737.html
1900.0,,70.0,74.0,2.0,1.0,,10.0,315.0,2025-06-14,jesus maria,B,"calle sinchi roca jesus maria, jesus maria",-12.0779332,-77.0444265,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-dpto-en-2do-piso-jesus-maria-146397777.html
4990.0,1400.0,1.0,266.0,3.0,2.0,1.0,7.0,33.0,2025-06-13,san isidro,A,"av parque norte 800 san isidro, san isidro",-12.0934235,-77.0108006,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-amoblado-en-san-isidro-146706561.html
3640.0,1000.0,270.0,115.0,3.0,2.0,1.0,9.0,71.0,2025-06-13,miraflores,A,"calle porta 374 miraflores, miraflores",-12.125353,-77.03236079999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-exclusivo-flat-full-amoblado-cerca-al-malecon-28-de-146713379.html
2800.0,,480.0,115.0,1.0,2.0,1.0,4.0,,,san borja,A,"av buena vista, san borja",-12.1033978,-76.9802192,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-amplio-e-iluminado-departamento-amoblado-146666856.html
3744.0,1040.0,450.0,110.0,3.0,3.0,1.0,20.0,111.0,2025-05-31,miraflores,A,"roma 534, miraflores",-12.1236228,-77.03811859999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpt-miraflores-110-m-3-dorm-area-de-servicio-146591889.html
2600.0,700.0,385.0,79.0,1.0,2.0,1.0,8.0,,,barranco,A,"perez roca 164, barranco",-12.1420978,-77.0229591,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-departamento-de-un-dormitorio-amoblado-en-66262721.html
3663.0,990.0,580.0,101.0,2.0,2.0,1.0,7.0,70.0,2025-03-29,miraflores,A,"av tejada 213, miraflores",-12.1690287,-76.947369,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-departamento-sin-amoblar-en-miraflores-146069816.html
2800.0,750.0,200.0,67.0,1.0,1.0,1.0,1.0,,,magdalena,B,"elespuru, magdalena",-12.0951564,-77.0566567,https://www.adondevivir.com/propiedades/clasificado/alclapin-elegante-depa-full-amoblado-con-patio-jardin-y-142571443.html
2000.0,,180.0,65.0,3.0,2.0,,0.0,39.0,2025-06-16,lima cercado,C,"avenida colonial, lima cercado",-12.0489024,-77.0691701,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-estreno-edificio-imagina-146661887.html
2300.0,650.0,220.0,77.0,3.0,2.0,,6.0,184.0,2025-05-12,magdalena,B,"jiron inclan magdalena lima, magdalena",-12.0945891,-77.0679549,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-jiron-inclan-146125009.html
3450.0,950.0,400.0,87.0,2.0,2.0,1.0,8.0,106.0,2025-06-05,miraflores,A,"malecon de la marina miraflores al 900-edificio veramar, miraflores",-12.1152552,-77.0484237,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-de-2-habitaciones-en-el-malecon-146644284.html
2800.0,770.0,,62.0,2.0,2.0,,0.0,66.0,2025-05-29,miraflores,A,"av republica de panama al 5800, miraflores",-12.1295414,-77.0180143,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-2-habitaciones-de-estreno-en-146579593.html
3800.0,1050.0,350.0,80.0,2.0,2.0,1.0,0.0,130.0,2025-06-17,miraflores,A,"av santa cruz miraflores lima peru, miraflores",-12.1108842,-77.037333,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-lindo-flat-estreno-2-dor.-terraza-146664509.html
3467.0,950.0,350.0,93.0,2.0,2.0,1.0,5.0,120.0,2025-06-07,miraflores,A,"calle roma, miraflores",-12.1222712,-77.037986,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-departamento-con-areas-verdes-cerca-a-malecon-146637213.html
2200.0,,250.0,44.0,1.0,1.0,,0.0,142.0,2025-06-17,jesus maria,B,"jr inca ripac 250, jesus maria",-12.0827997,-77.04973319999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-flat-de-estreno-con-todas-las-areas-comunes-146508348.html
4200.0,1150.0,320.0,62.0,2.0,1.0,,0.0,78.0,2025-05-03,barranco,A,"av el sol oeste 457, barranco",-12.138498,-77.0254995,https://www.adondevivir.com/propiedades/clasificado/alclapin--alquilo-flat-de-estreno-con-vista-directa-al-mar-en-146349508.html
2550.0,,300.0,80.0,3.0,2.0,1.0,3.0,356.0,2025-06-17,jesus maria,B,"pachacutec 9, jesus maria",-12.0762757,-77.0450473,https://www.adondevivir.com/propiedades/clasificado/alclapin-magnifico-flat-listo-para-mudarse-cerca-a-146047127.html
1550.0,,200.0,54.0,2.0,2.0,,3.0,51.0,2025-06-13,lima cercado,C,"venezuela 3258, lima cercado",-12.059565,-77.0776157,https://www.adondevivir.com/propiedades/clasificado/alclapin-depa-piso-16-fte-unmsm-y-cerca-a-pucp-cercado-146718244.html
