,nombre,provincia,distrito,latitud,longitud
1253,CPNP SANTA ISABEL,LIMA,carabayllo,-11.90163842,-77.03236349
1254,CPNP EL PROGRESO,LIMA,carabayllo,-11.87452233,-77.01590523
1255,CPNP SANTA ROSA,LIMA,santa rosa,-11.79661039,-77.17096732
1256,CPNP ANCON,LIMA,ancon,-11.77603959,-77.1692574
1257,CPNP INDEPENDENCIA,LIMA,independencia,-11.996222,-77.054767
1258,CPNP LA UNIFICADA,LIMA,rimac,-12.0138325,-77.04922217
1259,CPNP PAYET,LIMA,independencia,-11.97199902,-77.04362776
1260,CPNP TAHUANTINSUYO,LIMA,independencia,-11.98045559,-77.04887443
1261,CPNP TUPAC AMARU,LIMA,comas,-11.95528863,-77.0525028
1262,CPNP COLLIQUE,LIMA,comas,-11.9129026,-77.01633608
1263,CPNP LA PASCANA,LIMA,comas,-11.935053,-77.045882
1264,CPNP SANTA LUZMILA,LIMA,comas,-11.94440517,-77.06649677
1265,CPNP UNIVERSITARIA,LIMA,comas,-11.94739082,-77.06015053
1266,CPNP CANTA,CANTA,canta,-11.46912573,-76.62422879
1267,CPNP YANGAS,CANTA,santa rosa de quives,-11.69488659,-76.84566417
1268,CPNP CIUDAD Y CAMPO,LIMA,rimac,-12.02433757,-77.02812481
1269,CPNP FLOR DE AMANCAES,LIMA,rimac,-12.01014637,-77.03340614
1270,CPNP PIEDRA LIZA,LIMA,rimac,-12.03973854,-77.01766903
1271,CPNP EL MANZANO,LIMA,rimac,-12.02829817,-77.03012257
1272,CPNP EL RIMAC,LIMA,rimac,-12.03971182,-77.02809137
1273,CPNP SAN MARTIN DE PORRAS,LIMA,smp,-12.02570548,-77.05568808
1274,CPNP CONDEVILLA,LIMA,smp,-12.02053845,-77.08558043
1275,CPNP BARBONCITOS,LIMA,smp,-12.03078692,-77.07000165
1276,CPNP CHACRA COLORADA,LIMA,brena,-12.05419228,-77.05107781
1277,CPNP BREÑA,LIMA,brena,-12.06736168,-77.05304721
1278,CPNP JESUS MARIA,LIMA,jesus maria,-12.07114607,-77.04753564
1279,CPNP PUEBLO LIBRE,LIMA,pueblo libre,-12.07708639,-77.06524187
1280,CPNP SAN MIGUEL,LIMA,san miguel,-12.08955592,-77.08782562
1281,CPNP MARANGA,LIMA,san miguel,-12.06987954,-77.09254625
1282,CPNP MAGDALENA,LIMA,magdalena del mar,-12.08805984,-77.07327657
1283,CPNP ORRANTIA DEL MAR,LIMA,san isidro,-12.10446403,-77.05704576
1284,CPNP SURQUILLO,LIMA,surquillo,-12.11873841,-77.02235588
1285,CPNP SAN BORJA,LIMA,san borja,-12.10570697,-76.99905404
1286,CPNP CHACARILLA,LIMA,san borja,-12.10847195,-76.98354323
1287,CPNP SURCO,LIMA,santiago de surco,-12.14522885,-77.00294502
1288,CPNP MONTERRICO,LIMA,santiago de surco,-12.094745,-76.973352
1289,CPNP LINCE,LIMA,lince,-12.08351269,-77.02715234
1290,CPNP SAGITARIO,LIMA,santiago de surco,-12.16500053,-76.99694235
1291,CPNP MIRAFLORES,LIMA,miraflores,-12.11454767,-77.02815585
1292,CPNP SAN ISIDRO,LIMA,san isidro,-12.09486137,-77.0323633
1293,CPNP SAN ANTONIO,LIMA,miraflores,-12.11488523,-77.0107812
1294,CPNP BARRANCO,LIMA,barranco,-12.14658635,-77.02231204
1295,CPNP CHORRILLOS,LIMA,chorrillos,-12.17025615,-77.02320216
1296,CPNP VILLA,LIMA,chorrillos,-12.18580597,-77.00795844
1297,CPNP MATEO PUMACAHUA,LIMA,chorrillos,-12.19189428,-76.98013832
1298,CPNP LADERAS DE VILLA,LIMA,sjm,-12.19056274,-76.95763854
1299,CPNP SAN JUAN DE MIRAFLORES,LIMA,sjm,-12.15802944,-76.9751705
1300,CPNP PAMPLONA I,LIMA,sjm,-12.14795514,-76.96599107
1301,CPNP PAMPLONA II,LIMA,sjm,-12.13108023,-76.95801514
1302,CPNP SAN GENARO,LIMA,chorrillos,-12.19443849,-77.02054826
1303,CPNP VILLA EL SALVADOR,LIMA,ves,-12.213058,-76.937857
1304,CPNP URB PACHACAMAC,LIMA,ves,-12.23017502,-76.92321897
1305,CPNP VILLA MARIA DEL TRIUNFO,LIMA,vmt,-12.1660876,-76.94759
1306,CPNP JC MARIATEGUI,LIMA,vmt,-12.14965388,-76.95038032
1307,CPNP JOSE GALVEZ,LIMA,vmt,-12.20766232,-76.90644853
1308,CPNP NUEVA ESPERANZA,LIMA,vmt,-12.16651904,-76.92062676
1309,CPNP SF TABLADA LURIN,LIMA,vmt,-12.20000096,-76.92815728
1310,CPNP DISTRITO PACHACAMAC,LIMA,pachacamac,-12.22788531,-76.85840222
1311,CPNP LURIN,LIMA,lurin,-12.27352953,-76.86920704
1312,CPNP PUNTA HERMOSA,LIMA,punta hermosa,-12.31224383,-76.83720326
1313,CPNP VILLA ALEJANDRO,LIMA,vmt,-12.23393049,-76.9075196
1314,CPNP PUNTA NEGRA,LIMA,punta negra,-12.36411052,-76.79564456
1315,CPNP SAN BARTOLO,LIMA,san bartolo,-12.38765815,-76.77745406
1316,CPNP STA MARIA DEL MAR,LIMA,santa maria del mar,-12.39979895,-76.7729812
1317,CPNP PUCUSANA,LIMA,pucusana,-12.48262926,-76.79641867
