,Unnamed: 0,precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,nivel_socioeconomico,latitud,longitud,num_colegios_prox,num_malls_prox,num_hospitales_prox,año,mes,dia,dia_semana,semana,es_fin_de_semana,distrito_ate,distrito_barranco,distrito_brena,distrito_callao,distrito_carabayllo,distrito_chaclacayo,distrito_chorrillos,distrito_cieneguilla,distrito_comas,distrito_el agustino,distrito_independencia,distrito_jesus maria,distrito_la molina,distrito_la victoria,distrito_lima cercado,distrito_lince,distrito_los olivos,distrito_lurigancho,distrito_lurin,distrito_magdalena,distrito_miraflores,distrito_pachacamac,distrito_pucusana,distrito_pueblo libre,distrito_puente piedra,distrito_punta hermosa,distrito_punta negra,distrito_rimac,distrito_san bartolo,distrito_san borja,distrito_san isidro,distrito_san luis,distrito_san miguel,distrito_santa anita,distrito_santa maria del mar,distrito_sjl,distrito_sjm,distrito_smp,distrito_surco,distrito_surquillo,distrito_ves,distrito_vmt
17,17,2900.0,300.0,67.0,2.0,2.0,1.0,1.0,96.0,3,-12.0903133,-77.0702032,24,0,3,2024,6,25,1,26,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,18,7560.0,750.0,131.0,2.0,2.0,1.0,7.0,83.0,4,-12.1348923,-77.0239057,10,0,1,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,19,6100.0,450.0,180.0,2.0,2.0,1.0,5.0,267.0,4,-12.0966919,-77.0503845,2,0,1,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
20,20,7400.0,700.0,210.0,3.0,2.0,2.0,12.0,180.0,4,-12.0983672,-77.0391697,2,1,0,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
21,21,3200.0,350.0,70.0,2.0,2.0,1.0,3.0,29.0,3,-12.089713,-77.051756,4,1,1,2025,6,14,5,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,22,3200.0,350.0,70.0,2.0,2.0,1.0,3.0,44.0,4,-12.0884843,-77.0389714,7,0,1,2025,6,14,5,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
23,23,1600.0,200.0,55.0,2.0,2.0,1.0,5.0,147.0,3,-12.1803506,-77.0016151,2,0,0,2025,6,14,5,24,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,24,1900.0,70.0,74.0,2.0,1.0,1.0,10.0,315.0,3,-12.0779332,-77.0444265,11,0,3,2025,6,14,5,24,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,25,4990.0,1.0,266.0,3.0,2.0,1.0,7.0,33.0,4,-12.0934235,-77.0108006,6,0,9,2025,6,13,4,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
26,26,3640.0,270.0,115.0,3.0,2.0,1.0,9.0,71.0,4,-12.125353,-77.03236079999999,3,1,1,2025,6,13,4,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,27,2800.0,480.0,115.0,1.0,2.0,1.0,4.0,61.0,4,-12.1033978,-76.9802192,2,0,0,2025,6,11,2,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,28,3744.0,450.0,110.0,3.0,3.0,1.0,20.0,111.0,4,-12.1236228,-77.03811859999999,4,0,2,2025,5,31,5,22,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,29,2600.0,385.0,79.0,1.0,2.0,1.0,8.0,61.0,4,-12.1420978,-77.0229591,10,0,0,2025,6,11,2,24,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,30,3663.0,580.0,101.0,2.0,2.0,1.0,7.0,70.0,4,-12.1690287,-76.947369,11,0,0,2025,3,29,5,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,31,2800.0,200.0,67.0,1.0,1.0,1.0,1.0,61.0,3,-12.0951564,-77.0566567,9,1,0,2025,6,11,2,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,32,2000.0,180.0,65.0,3.0,2.0,1.0,0.0,39.0,2,-12.0489024,-77.0691701,8,0,0,2025,6,16,0,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,33,2300.0,220.0,77.0,3.0,2.0,1.0,6.0,184.0,3,-12.0945891,-77.0679549,16,0,0,2025,5,12,0,20,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,34,3450.0,400.0,87.0,2.0,2.0,1.0,8.0,106.0,4,-12.1152552,-77.0484237,2,0,0,2025,6,5,3,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,35,2800.0,310.0,62.0,2.0,2.0,1.0,0.0,66.0,4,-12.1295414,-77.0180143,5,0,2,2025,5,29,3,22,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,36,3800.0,350.0,80.0,2.0,2.0,1.0,0.0,130.0,4,-12.1108842,-77.037333,8,0,3,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,37,3467.0,350.0,93.0,2.0,2.0,1.0,5.0,120.0,4,-12.1222712,-77.037986,5,0,1,2025,6,7,5,23,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,38,2200.0,250.0,44.0,1.0,1.0,1.0,0.0,142.0,3,-12.0827997,-77.04973319999999,11,0,4,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,39,4200.0,320.0,62.0,2.0,1.0,1.0,0.0,78.0,4,-12.138498,-77.0254995,5,0,0,2025,5,3,5,18,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,40,2550.0,300.0,80.0,3.0,2.0,1.0,3.0,356.0,3,-12.0762757,-77.0450473,12,0,2,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,41,1550.0,200.0,54.0,2.0,2.0,1.0,3.0,51.0,2,-12.059565,-77.0776157,9,0,0,2025,6,13,4,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,42,1650.0,120.0,28.0,1.0,1.0,1.0,9.0,468.0,2,-12.0782505,-77.0355648,13,1,4,2025,4,13,6,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,43,2400.0,260.0,60.0,2.0,2.0,1.0,3.0,18.0,2,-12.0942284,-77.04988190000002,3,0,0,2025,6,12,3,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,44,1450.0,70.0,55.0,2.0,1.0,1.0,10.0,378.0,3,-12.0824945,-77.0806218,10,0,1,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
45,45,6516.0,862.0,190.0,2.0,2.0,2.0,30.0,61.0,4,-34.470829,-58.5286102,0,0,0,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
46,46,2100.0,180.0,72.0,3.0,2.0,1.0,1.0,73.0,4,-12.167371,-76.9945258,12,0,0,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
47,47,3145.0,160.0,135.0,3.0,2.0,2.0,41.0,72.0,4,-12.0875539,-76.9897125,5,0,2,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
48,48,5180.0,500.0,117.0,3.0,2.0,1.0,4.0,61.0,4,-12.1265516,-77.0277049,1,0,0,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,49,2500.0,260.0,72.0,3.0,2.0,1.0,0.0,126.0,3,-12.0725669,-77.0665783,4,0,2,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,50,2950.0,240.0,98.0,2.0,2.0,1.0,12.0,201.0,4,-12.1249985,-77.0355388,4,1,1,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,51,3490.0,370.0,120.0,3.0,3.0,1.0,7.0,201.0,4,-12.1192461,-77.0384888,6,0,1,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,52,3916.0,300.0,120.0,2.0,3.0,1.0,9.0,102.0,4,-12.1308617,-77.031066,1,1,0,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,53,2400.0,200.0,74.0,3.0,2.0,1.0,11.0,219.0,3,-12.0700932,-77.04908660000001,12,1,0,2025,6,14,5,24,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,54,2701.0,220.0,85.0,3.0,2.0,1.0,0.0,17.0,2,-12.1136475,-76.9956675,5,1,3,2025,6,14,5,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
55,55,1500.0,200.0,75.0,3.0,1.0,1.0,8.0,353.0,3,-12.0774344,-77.0934137,13,0,3,2025,6,14,5,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
56,56,2800.0,190.0,190.0,3.0,2.0,1.0,11.0,103.0,3,-12.0945875,-77.07435559999999,10,0,1,2025,6,14,5,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,57,5262.0,700.0,149.0,3.0,3.0,1.0,38.0,200.0,4,-12.119952,-77.04364129999999,3,0,0,2025,1,17,4,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,58,1100.0,310.0,50.0,1.0,1.0,1.0,20.0,73.0,4,-12.1646349,-76.9864684,4,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
59,59,2000.0,310.0,50.0,1.0,1.0,1.0,25.0,35.0,4,-12.1387974,-77.0046287,5,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
