precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,zona_apeim_cod
4100.0,449.0,108.0,3.0,3.0,1.0,6.0,7.0
4400.0,390.0,120.0,2.0,2.0,1.0,5.0,7.0
3100.0,350.0,63.0,2.0,2.0,1.0,2.0,7.0
4500.0,420.0,105.0,3.0,3.0,1.0,8.0,7.0
3700.0,350.0,122.0,3.0,4.0,1.0,8.0,7.0
3200.0,250.0,110.0,3.0,3.0,1.0,5.0,7.0
3285.0,226.0,71.0,3.0,1.0,1.0,15.0,7.0
3800.0,,84.0,2.0,3.0,1.0,10.0,7.0
3515.0,,108.0,2.0,3.0,1.0,46.0,7.0
3300.0,350.0,88.0,2.0,2.0,1.0,12.0,7.0
3610.0,370.0,108.0,2.0,3.0,1.0,46.0,7.0
3100.0,190.0,45.0,1.0,1.0,,5.0,7.0
3700.0,229.0,80.0,2.0,2.0,,0.0,7.0
4279.0,,121.0,3.0,1.0,2.0,12.0,7.0
3294.0,250.0,130.0,3.0,1.0,,15.0,7.0
4440.0,,103.0,2.0,2.0,1.0,10.0,7.0
4000.0,300.0,110.0,3.0,4.0,1.0,,7.0
3100.0,350.0,110.0,2.0,2.0,1.0,9.0,7.0
3800.0,350.0,70.0,2.0,2.0,1.0,0.0,7.0
4380.0,340.0,120.0,3.0,3.0,1.0,12.0,7.0
3450.0,700.0,118.0,2.0,2.0,1.0,5.0,7.0
4060.0,350.0,100.0,1.0,2.0,1.0,,7.0
4320.0,350.0,100.0,3.0,2.0,1.0,1.0,7.0
3300.0,500.0,105.0,3.0,3.0,1.0,8.0,7.0
3500.0,490.0,95.0,3.0,3.0,,15.0,7.0
3650.0,735.0,107.0,2.0,2.0,1.0,10.0,7.0
3100.0,510.0,90.0,2.0,2.0,2.0,10.0,7.0
3100.0,300.0,104.0,3.0,2.0,,28.0,7.0
3145.0,300.0,108.0,2.0,2.0,1.0,9.0,7.0
3374.0,320.0,85.0,2.0,2.0,1.0,,7.0
3420.0,227.0,64.0,1.0,1.0,1.0,15.0,7.0
3938.0,,144.0,3.0,2.0,1.0,15.0,7.0
3670.0,580.0,110.0,3.0,4.0,1.0,12.0,7.0
3330.0,380.0,74.0,2.0,2.0,1.0,0.0,7.0
3439.0,350.0,90.0,2.0,2.0,,5.0,7.0
4048.0,429.0,104.0,3.0,3.0,1.0,,7.0
3890.0,590.0,90.0,3.0,2.0,1.0,0.0,7.0
4195.0,,99.0,2.0,2.0,1.0,1.0,7.0
3100.0,300.0,86.0,2.0,2.0,,15.0,7.0
4380.0,900.0,125.0,2.0,3.0,1.0,14.0,7.0
3449.0,,85.0,2.0,2.0,1.0,5.0,7.0
4560.0,630.0,100.0,2.0,2.0,2.0,2.0,7.0
4070.0,720.0,110.0,2.0,3.0,1.0,4.0,7.0
4255.0,495.0,135.0,3.0,2.0,2.0,9.0,7.0
3200.0,580.0,80.0,2.0,2.0,1.0,3.0,7.0
3704.0,650.0,102.0,2.0,3.0,2.0,8.0,7.0
3290.0,528.0,107.0,2.0,2.0,1.0,16.0,7.0
4015.0,281.0,100.0,2.0,2.0,1.0,,7.0
3180.0,390.0,62.0,1.0,1.0,1.0,6.0,7.0
3100.0,350.0,90.0,3.0,2.0,1.0,6.0,7.0
4232.0,,88.0,3.0,2.0,1.0,18.0,7.0
3500.0,450.0,120.0,3.0,2.0,2.0,9.0,7.0
3300.0,420.0,120.0,3.0,2.0,1.0,15.0,7.0
4200.0,450.0,130.0,3.0,3.0,,10.0,7.0
3300.0,380.0,80.0,2.0,2.0,1.0,7.0,7.0
4500.0,390.0,120.0,2.0,3.0,1.0,5.0,7.0
3800.0,370.0,105.0,3.0,2.0,1.0,10.0,7.0
4100.0,280.0,100.0,1.0,2.0,1.0,3.0,7.0
3600.0,200.0,235.0,4.0,3.0,1.0,40.0,7.0
4357.0,350.0,165.0,3.0,3.0,1.0,3.0,7.0
3995.0,480.0,121.0,3.0,3.0,1.0,3.0,7.0
3650.0,390.0,170.0,2.0,3.0,2.0,2.0,7.0
4175.0,450.0,135.0,3.0,2.0,1.0,2.0,7.0
3330.0,350.0,139.0,3.0,2.0,1.0,13.0,7.0
4232.0,520.0,120.0,3.0,2.0,1.0,15.0,7.0
3200.0,150.0,100.0,3.0,1.0,,20.0,7.0
3750.0,600.0,80.0,2.0,2.0,,0.0,7.0
4500.0,700.0,88.0,2.0,2.0,1.0,4.0,7.0
4440.0,295.0,105.0,2.0,2.0,1.0,20.0,7.0
4380.0,480.0,123.0,3.0,2.0,1.0,7.0,7.0
3300.0,500.0,129.0,3.0,2.0,1.0,8.0,7.0
3700.0,300.0,85.0,2.0,2.0,1.0,14.0,7.0
3330.0,350.0,60.0,1.0,1.0,1.0,,7.0
4440.0,350.0,108.0,2.0,2.0,1.0,15.0,7.0
3251.0,,68.0,2.0,2.0,,0.0,7.0
3128.0,381.0,96.0,3.0,2.0,,11.0,7.0
4416.0,560.0,105.0,2.0,2.0,2.0,,7.0
4381.0,,130.0,3.0,3.0,2.0,8.0,7.0
3800.0,330.0,77.0,2.0,2.0,,3.0,7.0
3256.0,,67.0,2.0,2.0,1.0,2.0,7.0
3700.0,,71.0,2.0,2.0,,2.0,7.0
3250.0,530.0,84.0,2.0,2.0,1.0,17.0,7.0
4015.0,740.0,143.0,3.0,3.0,1.0,0.0,7.0
4396.0,500.0,125.0,3.0,3.0,1.0,,7.0
3500.0,350.0,98.0,2.0,3.0,1.0,16.0,7.0
3300.0,430.0,102.0,2.0,2.0,2.0,8.0,7.0
4500.0,450.0,120.0,3.0,2.0,1.0,4.0,7.0
3312.0,300.0,74.0,1.0,1.0,1.0,10.0,7.0
3100.0,220.0,85.0,2.0,2.0,,15.0,7.0
3750.0,390.0,95.0,2.0,2.0,1.0,10.0,7.0
3179.0,450.0,90.0,2.0,2.0,1.0,,7.0
4396.0,500.0,119.0,3.0,3.0,1.0,4.0,7.0
3290.0,200.0,70.0,1.0,1.0,1.0,10.0,7.0
3350.0,200.0,75.0,1.0,2.0,1.0,2.0,7.0
4200.0,450.0,70.0,2.0,2.0,1.0,1.0,7.0
3300.0,450.0,130.0,3.0,3.0,1.0,7.0,7.0
3862.0,100.0,105.0,2.0,3.0,,20.0,7.0
3750.0,500.0,90.0,2.0,2.0,,9.0,7.0
3384.0,400.0,70.0,2.0,2.0,1.0,2.0,7.0
