,nombre,ubicacion,direccion_completa,distrito,provincia,latitud,longitud
77,Real Plaza Pro,"San Martín de Porres / Comas, Lima.[nota 2]​","Real Plaza Pro, San Martín de Porres / Comas, Lima.[nota 2]​",san martin de porres / comas, Lima.[nota 2]​,-11.9402253,-77.069578
78,Real Plaza Pucallpa,Pucallpa,"Real Plaza Pucallpa, Pucallpa",pucallpa,,-8.3843265,-74.55625049999999
79,Real Plaza Puruchuco,"Ate, Lima","Real Plaza Puruchuco, Ate, Lima",ate, Lima,-12.0413667,-76.9319773
80,Real Plaza Salaverry,"Jesús María, Lima","Real Plaza Salaverry, Jesús María, Lima",jesus maria, Lima,-12.089713,-77.051756
81,Real Plaza Santa Clara,"Ate, Lima","Real Plaza Santa Clara, Ate, Lima",ate, Lima,-12.0152597,-76.8854892
82,Real Plaza Sullana,"Sullana, Piura","Real Plaza Sullana, Sullana, Piura",sullana, Piura,-4.918289,-80.6958599
83,Real Plaza Trujillo,Trujillo,"Real Plaza Trujillo, Trujillo",trujillo,,-8.1311029,-79.0328798
84,Real Plaza Villa María,"Villa María del Triunfo, Lima","Real Plaza Villa María, Villa María del Triunfo, Lima",vmt, Lima,-12.1803823,-76.9420878
85,Royal Plaza,"San Martín de Porres / Independencia, Lima[nota 1]​","Royal Plaza, San Martín de Porres / Independencia, Lima[nota 1]​",san martin de porres / independencia, Lima[nota 1]​,-11.9977078,-77.0550569
86,Strip Mall Paseo Fibra,"Magdalena del Mar / San Isidro, Lima[nota 3]​","Strip Mall Paseo Fibra, Magdalena del Mar / San Isidro, Lima[nota 3]​",magdalena del mar / san isidro, Lima[nota 3]​,-12.0933303,-77.0572845
