nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
2022 sinchi roca,comas,jiron cahuide s/n,primaria,publica - sector educacion,-11.93045,-77.04964
2026 simon bolivar,comas,pasaje elias aguirre s/n mz n-2 etapa ii,secundaria,publica - sector educacion,-11.95063,-77.06313
2030,comas,jiron 1 de mayo 502,primaria,publica - sector educacion,-11.96497,-77.05411
2031 jose valverde caro,comas,avenida 3 de octubre iv sector 1950,primaria,publica - sector educacion,-11.94512,-77.03126
2033 nuestra senora de fatima,comas,pasaje cervantes s/n,primaria,publica - sector educacion,-11.95544,-77.05324
2035 fernando belaunde terry,comas,jiron huayna capac s/n,primaria,publica - sector educacion,-11.94199,-77.03513
2038 inca garcilaso de la vega,comas,jiron santa cruz 222,primaria,publica - sector educacion,-11.91790833,-77.02902833
2040 republica de cuba,comas,avenida tupac amaru s/n,secundaria,publica - sector educacion,-11.90837,-77.03328
2042 fray martin de porres,comas,avenida san martin 1262,primaria,publica - sector educacion,-11.96187,-77.04706
2043 sangarara,comas,jiron union 551,primaria,publica - sector educacion,-11.91968,-77.0442
2045,comas,jiron atahualpa s/n,primaria,publica - sector educacion,-11.96637,-77.05368
2046 virgen de las mercedes,comas,jiron la merced mz e lote 1 y 5 101,primaria,publica - sector educacion,-11.97198,-77.05695
2047,comas,avenida puno cdra 20 s/n,primaria,publica - sector educacion,-11.95767,-77.04014
2048 jose carlos mariategui,comas,jiron eduardo correa s/n,primaria,publica - sector educacion,-11.93992564,-77.06336133
2049,comas,avenida san felipe cuadra 2 s/n,primaria,publica - sector educacion,-11.90677,-77.03552
2055 primero de abril,comas,avenida san juan bautista s/n mz r lote 7,primaria,publica - sector educacion,-11.91554,-77.04418
2059 suecia,comas,avenida miguel grau cuadra 3 s/n,primaria,publica - sector educacion,-11.92514,-77.03878
2060,comas,jiron micaela bastidas iv zona s/n,primaria,publica - sector educacion,-11.91124,-77.01776
2072 lev semionovich vigotski,comas,avenida los geranios s/n mz g lote 10,primaria,publica - sector educacion,-11.90473,-77.05477
2075 cristo hijo de dios,comas,avenida milagro de jesus s/n,primaria,publica - sector educacion,-11.92201,-77.02409
2077 san martin de porres de ano nuevo,comas,jiron german lapeyre s/n,primaria,publica - sector educacion,-11.92842,-77.04119
2085 san agustin,comas,jiron pumacahua cdra 3 s/n,secundaria,publica - sector educacion,-11.9323,-77.05056
2097,comas,pasaje san miguel 128,primaria,publica - sector educacion,-11.90724,-77.03831
2100 juan velasco alvarado,comas,jiron bogota cdra 4 s/n,primaria,publica - sector educacion,-11.95464,-77.05504
3047 republica de canada,comas,jiron la habana s/n,secundaria,publica - sector educacion,-11.95916,-77.04107
3055 tupac amaru,comas,avenida jose pardo 100,primaria,publica - sector educacion,-11.93503,-77.04317
3059 republica de israel,comas,tupac amaru,primaria,publica - sector educacion,-11.9523,-77.0508
3060 alfonso ugarte vernal,comas,jiron leon pinelo s/n,primaria,publica - sector educacion,-11.93905,-77.05315
3061 jorge chavez dartnell,comas,jiron 21 de setiembre s/n,primaria,publica - sector educacion,-11.95925,-77.0521
3062 santa rosa,comas,calle real 161,primaria,publica - sector educacion,-11.94918,-77.0486
3064,comas,jiron junin s/n,primaria,publica - sector educacion,-11.94199,-77.04259
3065 virgen del carmen,comas,jiron 28 de julio cdra 6 s/n,primaria,publica - sector educacion,-11.93866,-77.04106
3066 senor de los milagros,comas,jiron manuel candamo 101,inicial - jardin,publica - sector educacion,-11.94171,-77.04826
3068 san judas tadeo,comas,avenida ricardo palma 550,primaria,publica - sector educacion,-11.95762,-77.05009
3072 augusto salazar bondy,comas,jiron cusihuaman s/n mz l-4 lote 10,primaria,publica - sector educacion,-11.94652,-77.06183
3076 santa rosa,comas,avenida 28 de julio s/n,primaria,publica - sector educacion,-11.91084,-77.00576
3077 el alamo,comas,mz b-10 lote 1,primaria,publica - sector educacion,-11.93319,-77.06758
3082 senor de los milagros,comas,calle 7 s/n,primaria,publica - sector educacion,-11.96535426,-77.05916841
3083 las nustas,comas,calle 14 mz m lote 1 etapa i,primaria,publica - sector educacion,-11.91695,-77.05761
3085 pedro vilca apaza,comas,jiron jose maria pagador s/n,primaria,publica - sector educacion,-11.95164,-77.05717
3096 franz tamayo solares,comas,calle 7 mz e-1 s/n,secundaria,publica - sector educacion,-11.92383,-77.05296
3097 la nacion de san judas tadeo,comas,mz q lote 6 zona e,primaria,publica - sector educacion,-11.8995,-77.0445
311,comas,jiron teodoro garrido 280,inicial - jardin,publica - sector educacion,-11.92867,-77.04086
316 san felipe,comas,avenida universitaria s/n,inicial - jardin,publica - sector educacion,-11.90046,-77.04003
317,comas,jiron tungasuca cdra 3 s/n,inicial - jardin,publica - sector educacion,-11.92047,-77.04411
322 virgen maria,comas,avenida revolucion iv zona 2248,inicial - jardin,publica - sector educacion,-11.91325,-77.02019
326 maria montessori,comas,jiron bogota s/n,inicial - jardin,publica - sector educacion,-11.95697,-77.05621
328,comas,avenida san luis s/n,inicial - jardin,publica - sector educacion,-11.90765,-77.03788
334,comas,jiron sanchez carrion s/n mz v lote 37,inicial - jardin,publica - sector educacion,-11.94098,-77.06309
337 sangarara,comas,jiron arica zona e 4ta cdra s/n,inicial - cuna jardin,publica - sector educacion,-11.92474,-77.04515
341 el retablo,comas,prolongacion pezet s/n mz o lote 11,inicial - jardin,publica - sector educacion,-11.93803,-77.05577
353 - corazon de maria,comas,avenida heroes alto cenepa s/n mz g lote 9,inicial - jardin,publica - sector educacion,-11.90501,-77.05503
354 nuestra senora de fatima,comas,pasaje 115 s/n mz s lote 1,inicial - jardin,publica - sector educacion,-11.92742,-77.056
356 angelitos del alamo,comas,calle 38 mz g-1,inicial - jardin,publica - sector educacion,-11.93107,-77.06794
363 san francisco de asis,comas,calle busano s/n mz s2 lote 24,inicial - jardin,publica - sector educacion,-11.95026,-77.06124
369,comas,jiron riva aguero s/n,inicial - jardin,publica - sector educacion,-11.93322,-77.05404
370 virgen de la puerta,comas,parque tahuantinsuyo s/n,inicial - jardin,publica - sector educacion,-11.95692,-77.03582
371,comas,jiron francisco olazabal s/n mz ll lote 24,inicial - jardin,publica - sector educacion,-11.94334,-77.05569
373,comas,jiron pagador s/n mz l3 lote 19,inicial - jardin,publica - sector educacion,-11.95157,-77.0574
376,comas,calle 2 pasaje 3 s/n sector a,inicial - jardin,publica - sector educacion,-11.90166,-77.04322
8156 peruano aleman,comas,calle los jasminez s/n mz v lote 20,primaria,publica - sector educacion,-11.90871,-77.04278
8157 republica de francia,comas,calle las magnolias s/n mz d-1,primaria,publica - sector educacion,-11.91219,-77.04131
8158 isabel flores de oliva,comas,calle taras mz k2,primaria,publica - sector educacion,-11.91616,-77.050005
8160 los chasquis,comas,calle 21 los chasquis s/n,primaria,publica - sector educacion,-11.93434,-77.06114
8162,comas,calle topacios s/n mz m lote i-19,primaria,publica - sector educacion,-11.96378,-77.06124
8170 cesar vallejo,comas,avenida jose carlos mariategui s/n,primaria,publica - sector educacion,-11.93162,-77.03668
8173 santa isolina,comas,parque 1 calle rio perene 2 cdra s/n,primaria,publica - sector educacion,-11.95911,-77.06226
8176 nueva esperanza,comas,avenida cesar vallejo s/n mz m lote 8 zona ii,primaria,publica - sector educacion,-11.92251,-77.02168
8181 heroes del alto cenepa,comas,avenida collique s/n mz e lote 1,primaria,publica - sector educacion,-11.92344,-77.06047
8186 maria jesus espinoza matos,comas,calle 5 s/n mz m lote 1,primaria,publica - sector educacion,-11.89907,-77.04858
861,comas,calle 22 110,inicial - jardin,publica - sector educacion,-11.96976,-77.05781
862,comas,jiron daniel aliaga s/n mz d2 lote 7,inicial - jardin,publica - sector educacion,-11.94671474,-77.06437605
863,comas,jiron santa rosa s/n,inicial - cuna jardin,publica - sector educacion,-11.93649,-77.03754
868,comas,avenida frutales y gramaldes s/n mz j lote 13,inicial - jardin,publica - sector educacion,-11.9098,-77.04598
885,comas,jiron san pedro y pasaje salaverry s/n,inicial - jardin,publica - sector educacion,-11.9127086,-77.00720101
886 sagrado corazon de jesus del pinar,comas,calle 64 s/n mz f,inicial - jardin,publica - sector educacion,-11.91042,-77.05202
887,comas,avenida jose santos chocano s/n zona iii,inicial - jardin,publica - sector educacion,-11.92295812,-77.02156096
888 senor de los milagros,comas,avenida sanchez cerro s/n,inicial - cuna jardin,publica - sector educacion,-11.91563,-77.03456
891 los geranios,comas,mz j-g s/n mz j-g,inicial - jardin,publica - sector educacion,-11.89611,-77.0422
895,comas,jiron san gerbacio s/n mz r lote 17,inicial - jardin,publica - sector educacion,-11.91513,-77.04387
alfa comas,comas,jiron manuel hurtado de mendoza 257 mz m-1 lote 36,primaria,privada - particular,-11.94338,-77.06514
alfred bernhard nobel,comas,jiron puquio 189,secundaria,privada - particular,-11.96035,-77.04847
alfredo delp,comas,calle paurcapata,primaria,privada - particular,-11.91342,-77.00829
amadeus wolfgang mozart,comas,prolong los angeles 328 - 330 etapa ii,primaria,privada - particular,-11.94151,-77.05736
amigo de jesus,comas,avenida guillermo de la fuente 317,inicial - jardin,privada - particular,-11.94163,-77.06168
ana maria kan ii,comas,pasaje emilio torrico s/n mz p lote 7,primaria,privada - particular,-11.92765,-77.03897
ana maria rivier,comas,avenida virgen del carmen 216,inicial - jardin,privada - particular,-11.93822,-77.04472
angelitos de santa maria,comas,jiron felipe pinglo 341,inicial - jardin,privada - particular,-11.91243,-77.02597
anton makarenko,comas,jiron san german 301,inicial - jardin,privada - particular,-11.91467,-77.04298
antonia moreno de caceres,comas,prolongacion husares de junin 110,secundaria,privada - particular,-11.93729,-77.05383
antonio lorenzo de lavoisier,comas,pasaje 66 s/n mz m lote 10 etapa iii,inicial - jardin,privada - particular,-11.93479,-77.05867
baldor de comas,comas,calle cipreses 488 mz a lote 4 5,inicial - jardin,privada - particular,-11.93823145,-77.04733825
barton de comas,comas,calle 13-b lotes 7-8-9 mz k,primaria,privada - particular,-11.96869,-77.06034
bautista de la pascana,comas,jiron abraham valdelomar 496,secundaria,privada - particular,-11.9352,-77.04499
bautista filadelfia,comas,jiron colmena 313,secundaria,privada - particular,-11.95907,-77.04737
benjamin carson,comas,calle jose santos atahualpa 151,inicial - jardin,privada - particular,-11.92843,-77.05096
benjamin carson el retablo,comas,avenida universitaria norte 7945 etapa iv,primaria,privada - particular,-11.93056,-77.05426
berne,comas,avenida republica del peru mz x lote 16 etapa i,secundaria,privada - particular,-11.95314,-77.0529
bilingue federico villarreal,comas,jiron libertad 348 - 350,inicial - jardin,privada - particular,-11.95837,-77.05256
blumeninsel,comas,calle 5 135 mz a lote 28,primaria,privada - particular,-11.96541,-77.05844
caritas felices de collique,comas,jiron loreto 341 mz e2 lote 15,inicial - jardin,privada - particular,-11.91356,-77.01931
carlos wiesse,comas,avenida tupac amaru 1520,basica alternativa - avanzado,publica - sector educacion,-11.9519,-77.0505
carmen alto,comas,avenida sierra maestra v zona s/n,inicial - cuna jardin,publica - sector educacion,-11.94631,-77.03114
casa de ninos asuncion de maria,comas,pasaje las ameritas s/n mz t lote 7,inicial - jardin,privada - particular,-11.93279,-77.08324
cesar vallejo de ano nuevo,comas,jiron jose lopez 160,inicial - jardin,privada - particular,-11.92701,-77.04194
chiquitines de la alborada,comas,mz f2 lote 11 etapa ii,inicial - jardin,privada - particular,-11.9122229,-77.0499441
ciencias y humanidades,comas,avenida guillermo de la fuente 194,primaria,privada - particular,-11.94203,-77.06543
ciencias y humanidades ii,comas,avenida metropolitana 593 mz u lote 1 2,inicial - jardin,privada - particular,-11.9683,-77.06145
cientifico del norte,comas,jiron francisco torres y calle anco mz e lote 02,inicial - jardin,privada - particular,-11.89744,-77.04544
circulo uni de comas,comas,jiron guillermo de la fuente 198,secundaria,privada - particular,-11.94194,-77.06478
circulo uni de comas ii,comas,avenida guillermo de la fuente 180 mz k1 lote 37 - 10,primaria,privada - particular,-11.94201,-77.06509
colegio san pedro del norte,comas,avenida republica del peru 1259,secundaria,privada - particular,-11.9461,-77.05154
college vitae,comas,mz q-iii lote 1,inicial - jardin,privada - particular,-11.9484,-77.05653
comercio 62 almirante miguel grau,comas,jiron leon pinelo 230,basica alternativa - avanzado,publica - sector educacion,-11.93902,-77.05314
consorcio educativo ingenieria,comas,avenida tupac amaru 2998,secundaria,privada - particular,-11.94172,-77.05002
coronel jose galvez,comas,jiron micaela bastidas 1199,secundaria,publica - sector educacion,-11.91142,-77.01487
corpus cristi,comas,avenida 22 de agosto 1220,secundaria,privada - particular,-11.94503,-77.06402
crhistian anderson magallanes janampa,comas,avenida sinchi roca 895,inicial - jardin,privada - particular,-11.91475,-77.04463
cristo joven,comas,jiron san martin de porres 214,primaria,privada - particular,-11.94361,-77.04642
cristo ramos,comas,mz e lote 17 sector la balanza,primaria,privada - particular,-11.95741,-77.04122
cristo vive,comas,jiron cahuide ii etapa 118,inicial - jardin,privada - particular,-11.93136,-77.05013
cruz saco de santa luzmila,comas,jiron gregorio paredes y hr a gamarra mz c4 lote 10,primaria,privada - particular,-11.9454,-77.05842
cruz saco del pinar,comas,calle 8 s/n mz h lote 19,secundaria,privada - particular,-11.91825,-77.05903
dalton el carmen,comas,avenida belaunde este 866,inicial - jardin,privada - particular,-11.94189,-77.0402
daniel alcides carrion,comas,calle rio perene s/n mz g lote 21,primaria,privada - particular,-11.95714,-77.06088
daniel goleman de comas,comas,mz l2 lote 11 y 12,inicial - jardin,privada - particular,-11.94532,-77.05307
dejalo crecer,comas,calle 12 s/n mz e lote 51-52,inicial - jardin,privada - particular,-11.90396,-77.05894
delta,comas,jiron san antonio 272,secundaria,privada - particular,-11.9053,-77.04044
diego thomson,comas,jiron peru 475,secundaria,privada - particular,-11.95626,-77.04067
dios supremo,comas,calle b 13 mz k lote 14,inicial - jardin,privada - particular,-11.96903,-77.06027
discovery kids,comas,calle puerto principe 124 etapa ii,inicial - jardin,privada - particular,-11.95291,-77.05524
divina misericordia,comas,avenida alameda de el pinar mz ll lote 20,inicial - jardin,privada - particular,-11.9005,-77.05855
divino nino dios,comas,mz o lote 08,inicial - jardin,privada - particular,-11.90951,-77.01973
dominguito savio,comas,mz g lote 20 etapa ii,inicial - jardin,privada - particular,-11.91447,-77.04589
don jose de san martin,comas,jiron jose carlos mariategui 304 sector ii,primaria,privada - particular,-11.93128,-77.04701
dulce corazon de maria,comas,avenida 3 de octubre 1801,inicial - jardin,privada - particular,-11.94464289,-77.03239715
ebenezer,comas,jiron hermilio valdizan 444 mz q lote 41,secundaria,privada - particular,-11.94043,-77.06077
ebenezer de santa luzmila,comas,jiron martin aranguri 636,primaria,privada - particular,-11.94355,-77.06227
edmundo de amicis,comas,calle manco inca 227,primaria,privada - particular,-11.92885,-77.04942
el amauta,comas,calle 36 s/n mz j lote 1,secundaria,publica - sector educacion,-11.92998,-77.06647
el amauta jose carlos mariategui de comas,comas,avenida el retablo mz k lote 28 29,inicial - jardin,privada - particular,-11.92572,-77.0549
el mesias,comas,jiron uruguay 238 mz p lote 1,inicial - jardin,privada - particular,-11.94527,-77.05091
el valle del jordan ii,comas,avenida san martin 310 zona ii,primaria,privada - particular,-11.91492,-77.03249
elegidos de jesus,comas,avenida pedro de la gasca 453,primaria,privada - particular,-11.93951,-77.04274
emprendedores,comas,avenida victor andres belaunde este 492,primaria,privada - particular,-11.9414467,-77.04041142
erik erickson,comas,avenida guillermo dela fuente 151 mz j-1 lote 10,secundaria,privada - particular,-11.94184,-77.0658
espiritu santo,comas,jiron bartolome herrera 649 etapa ii,inicial - jardin,privada - particular,-11.93762,-77.05025
esther festini de ramos ocampo,comas,avenida tupac amaru 1526,secundaria,publica - sector educacion,-11.951812,-77.050653
estrellitas de belen,comas,mz n lote 19 zona b,inicial - jardin,privada - particular,-11.926,-77.04086
fe y alegria 07,comas,avenida alfonso ugarte s/n,basica alternativa - avanzado,publica - en convenio,-11.91727,-77.0406
fe y alegria 08,comas,jiron juan montoya s/n,primaria,publica - en convenio,-11.92078,-77.03832
fe y alegria 10,comas,avenida alfonso ugarte s/n,secundaria,publica - en convenio,-11.91727,-77.0406
fe y alegria 11,comas,jiron bernardo alcedo 400,secundaria,publica - en convenio,-11.91561,-77.02516
fe y alegria 13,comas,avenida revolucion s/n zona v,primaria,publica - en convenio,-11.9128,-77.0094
federico villarreal,comas,jiron mariscal caceres 293,primaria,privada - particular,-11.91413,-77.03464
federico villarreal - bilingue,comas,jiron libertad 348 - 350,secundaria,privada - particular,-11.95837,-77.05256
fermat y euler,comas,calle 1 mz c lote 11,inicial - jardin,privada - particular,-11.90194,-77.05013
fermat y euler school,comas,avenida republica del peru 1281,inicial - jardin,privada - particular,-11.91324,-77.05786
flores,comas,calle mariscal miller 183,secundaria,privada - particular,-11.94119,-77.05211
francisco perez de cuellar,comas,pasaje jose pezet 102,secundaria,privada - particular,-11.93617,-77.05477
franklin delano roosvelt,comas,calle rio caplina 133 mz f lote 36,primaria,privada - particular,-11.95654,-77.06141
gandhi del parral,comas,jiron carabayllo 164,inicial - jardin,privada - particular,-11.95569,-77.05639
genes,comas,jiron universitaria 9880,primaria,privada - particular,-11.90846,-77.04374
genes de primavera,comas,avenida 2 146 mz g lote 26,primaria,privada - particular,-11.92765,-77.054
genes el pinar - comas,comas,mz h lote 8 y 9 parcela 1,inicial - jardin,privada - particular,-11.9158,-77.04904
genes ii,comas,mz h lote 35,secundaria,privada - particular,-11.92755,-77.05275
getsemani,comas,jiron jorge chavez 221 zona iii,inicial - jardin,privada - particular,-11.91227,-77.02747
glenn doman school,comas,mz c lote 13-14 sector los naranjos,primaria,privada - particular,-11.90199,-77.05044
graham bell,comas,mz f lote 40 etapa 3,inicial - jardin,privada - particular,-11.89804,-77.05032
guiame san martin de porras,comas,avenida metropolitana 1094,inicial - jardin,privada - particular,-11.95732,-77.06315
happy children's,comas,jiron diego ortizola 195 etapa ii,inicial - jardin,privada - particular,-11.89421,-77.04499
happy kinders kids,comas,calle santiago 128 etapa ii,inicial - jardin,privada - particular,-11.95737,-77.05874
henri la fontaine,comas,avenida heroes del cenepa s/n lote 4,inicial - jardin,privada - particular,-11.92575,-77.06503
hijos valores de la comunidad,comas,avenida julio c tello 316,primaria,privada - particular,-11.94134,-77.0432
hipolito unanue,comas,jiron mateo pumacahua 536,inicial - jardin,privada - particular,-11.93093,-77.05281
honores del carmen,comas,avenida balaunde este 2243,inicial - jardin,privada - particular,-11.94425,-77.03013
howard gardner de lima norte,comas,avenida jose munoz s/n mz g lote 10,primaria,privada - particular,-11.95384,-77.05766
huellas del saber,comas,jiron pedro nolasco 330 mz 156-a lote 8,inicial - jardin,privada - particular,-11.94592,-77.02963
huellitas de amor,comas,avenida los chasquis 196 mz k lote 30,inicial - jardin,privada - particular,-11.93515,-77.06184
humanismo y tecnologia - humtec,comas,avenida belaunde oeste 1080,primaria,privada - particular,-11.93362,-77.05837
husares de junin,comas,jiron lima 115 zona iv,basica alternativa - avanzado,privada - particular,-11.91534,-77.01432
illary kusi,comas,jiron pimentel 599,inicial - jardin,privada - particular,-11.90403,-77.04079
infinite school,comas,jiron manuel villaran 367,inicial - jardin,privada - particular,-11.92867,-77.04803
ingenieria de la ensenanza,comas,jiron asuncion 881,primaria,privada - particular,-11.95284,-77.05339
ingenieria del retablo,comas,avenida jose de la torre ugarte 100,inicial - jardin,privada - particular,-11.93976,-77.05508
ingenieria san felipe,comas,jiron chiclayo 231,secundaria,privada - particular,-11.90566,-77.03669
innova schools - comas el retablo,comas,avenida victor andres belaunde mz d lote 1,inicial - jardin,privada - particular,-11.9325273,-77.0604427
innovacion tecnologica del peru,comas,avenida tupac amaru 709,secundaria,privada - particular,-11.96027,-77.05413
intellexa schools,comas,jiron lima 671,inicial - jardin,privada - particular,-11.95571,-77.04846
ivan pavlov,comas,jiron tacna 313,secundaria,privada - particular,-11.92437,-77.04364
jack cartier,comas,jiron lima 189,inicial - jardin,privada - particular,-11.95984,-77.05017
jack goldfarb,comas,jiron cuba 241,secundaria,privada - particular,-11.94846,-77.05007
jaime white,comas,jiron manuel gonzales prada 139,primaria,privada - particular,-11.9361177,-77.0445423
jesucristo el rey de reyes,comas,jiron las petunias 160 etapa i,inicial - jardin,privada - particular,-11.91259,-77.04223
jesus,comas,jiron bernardo alcedo 130,secundaria,privada - particular,-11.91625,-77.02771
jesus angeles,comas,jiron diego cisneros 382,inicial - jardin,privada - particular,-11.94049,-77.06656
jesus el maestro,comas,jiron los claveles 224,inicial - jardin,privada - particular,-11.91621,-77.03138
jesus nos ama,comas,avenida revolucion 2470 mz f lote 8 zona iv,inicial - jardin,privada - particular,-11.91347,-77.01805
jesus redentor de san carlos,comas,jiron san ignacio 174,primaria,privada - particular,-11.91007,-77.0389
"jesus, nuestro amigo de la libertad",comas,jiron lima y jr. ricardo palma mz g lote 7,inicial - jardin,privada - particular,-11.95754,-77.04913
jhon von newmann ii,comas,avenida belaunde este 1144,secundaria,privada - particular,-11.94258,-77.03737
johannes gutenberg,comas,calle las huacas s/n,secundaria,privada - instituciones beneficas,-11.90077,-77.04648
johannes kepler guldennman,comas,jiron gonzalez prada 154,primaria,privada - particular,-11.91787,-77.03898
john nash high school,comas,lote 69,secundaria,privada - particular,-11.90016,-77.05069
john von newmann,comas,avenida belaunde este 1144,inicial - jardin,privada - particular,-11.94258,-77.03737
jose carlos mariategui,comas,avenida retablo 1233,primaria,privada - particular,-11.92622,-77.055
jose carlos mariategui la chira,comas,avenida 3 de octubre 1140,primaria,privada - particular,-11.9435,-77.03764
jose marti,comas,jiron montevideo s/n,secundaria,publica - sector educacion,-11.95403,-77.05587
joyas de jesus,comas,jiron 1ro de mayo 436,inicial - jardin,privada - particular,-11.93876,-77.04296
kidschool,comas,mz k1 lote 19,inicial - jardin,privada - particular,-11.91463,-77.05694
kinder froebel,comas,calle los manzanos 165 - 167,inicial - jardin,privada - particular,-11.94153,-77.04884
kinder kids ecologico,comas,mz d lote 2,inicial - jardin,privada - particular,-11.91372,-77.0416
kinder pequenas sonrisitas,comas,jiron nicolas alcazar 164,inicial - jardin,privada - particular,-11.94727,-77.06455
kindergarten las americas,comas,jiron los planetas 231 mz z lote 15,inicial - jardin,privada - particular,-11.92352,-77.04107
king jesucristo school de comas,comas,jiron tinta 141,secundaria,privada - particular,-11.91852,-77.04217
king of kings,comas,jiron daniel alcides carrion 288,primaria,privada - particular,-11.93855,-77.05657
la alborada,comas,calle los matuerzos mz p lote 11 etapa i,inicial - jardin,publica - sector educacion,-11.91155,-77.04448
la alborada francesa,comas,calle las fresas s/n mz b2 zona b,secundaria,publica - sector educacion,-11.9123,-77.04734
la casita de emy,comas,avenida canada 257,inicial - jardin,privada - particular,-11.94932,-77.05437
la catolica de collique,comas,pasaje los jardines 102,inicial - jardin,privada - particular,-11.91936,-77.02962
la fe de maria,comas,avenida abraham valdelomar 571,secundaria,privada - parroquial,-11.93455,-77.04457
la libertad,comas,jiron simon bolivar 865,inicial - jardin,privada - particular,-11.95885,-77.04861
la pascana,comas,jiron abraham valdelomar cdra 3 s/n,inicial - cuna jardin,publica - sector educacion,-11.93643,-77.04637
la semillita,comas,jiron colmena 240,inicial - jardin,privada - particular,-11.95989,-77.04742
las carmelitas,comas,jiron 23 setiembre 150 mz c lote 13,primaria,privada - particular,-11.96248,-77.05782
las paulinas,comas,avenida republica del peru 865,primaria,privada - particular,-11.93178,-77.06814
las paulinas del alamo,comas,mz e lote 18,inicial - jardin,privada - particular,-11.93178,-77.06815
liceo santo domingo,comas,calle 48 s/n mz x-1 lote 9-10,secundaria,privada - particular,-11.91322,-77.05263
lideres emprendedores kids,comas,avenida san felipe 250,inicial - jardin,privada - particular,-11.90637,-77.03545
los andes,comas,avenida universitaria 1007,secundaria,privada - particular,-11.94122858,-77.05883505
los andes de santa luzmila,comas,avenida universitaria 1007,primaria,privada - particular,-11.94122858,-77.05883505
los angeles de santa teresita,comas,jiron libertad 733,inicial - jardin,privada - particular,-11.94748,-77.0473
los milagritos,comas,avenida 09 de setiembre s/n mz b lote 40,inicial - jardin,privada - particular,-11.92795,-77.04376
los naranjos,comas,calle 5 mz c sector los naranjos,inicial - jardin,publica - sector educacion,-11.90243,-77.04987
los olivos college,comas,calle izasiga s/n lote 159-b,secundaria,privada - particular,-11.90626,-77.0492
lucerito de los ninos,comas,avenida santa rosa de lima iii zona 151,primaria,privada - particular,-11.9193,-77.0283
luceros school,comas,avenida carabayllo 488 y 490,inicial - jardin,privada - particular,-11.95891,-77.05858
luis alberto sanchez,comas,mz ae lote 03,primaria,publica - sector educacion,-11.93681,-77.0361
luis enrique ii,comas,jiron teodoro garrido s/n mz c,inicial - cuna jardin,publica - sector educacion,-11.91925,-77.03833
luis enrique xiii,comas,jiron san ignacio s/n,inicial - cuna jardin,publica - sector educacion,-11.90842,-77.04148
luis enrique xiv,comas,jiron loreto v zona s/n,inicial - cuna jardin,publica - sector educacion,-11.9141,-77.0112
luis enrique xvii,comas,jiron husares de junin cuadra 2 s/n,inicial - cuna jardin,publica - sector educacion,-11.93585,-77.05155
luis guillermo lumbreras,comas,jiron los topacios mz f lote 21,inicial - jardin,privada - particular,-11.96065,-77.06056
luz y esperanza,comas,avenida belaunde v zona 1860,inicial - jardin,privada - particular,-11.94387,-77.03244
maeztu de santa luzmila,comas,jiron baquijano y carrillo 129,secundaria,privada - particular,-11.9476935,-77.0639098
marcelino champagnat,comas,calle las begonias 165 mz w lote 41,secundaria,privada - particular,-11.90925,-77.04307
maria buena madre,comas,mz e lote 13,inicial - jardin,privada - particular,-11.92324,-77.02294
maria de jesus,comas,pasaje amazonas s/n mz 143 lote 2,primaria,privada - particular,-11.94552,-77.03264
maria de los angeles de comas,comas,jiron e. correa 431,inicial - jardin,privada - particular,-11.93743,-77.06215
maria de maeztu,comas,jiron baquijano y carrillo 129,primaria,privada - particular,-11.9476935,-77.0639098
maria del angel,comas,calle japon s/n mz n lote 2,inicial - jardin,privada - particular,-11.95204,-77.05456
maria goretti,comas,calle 7 mz c1 lote 17-18,secundaria,privada - particular,-11.93444,-77.0681
maria goretti del alamo,comas,mz d1 lote 19 20,inicial - jardin,privada - particular,-11.93285714,-77.06854981
maria montessori stoppiani,comas,avenida micaela bastidas 503-509 etapa iv,inicial - jardin,privada - particular,-11.9111359,-77.0223363
maria reiche,comas,avenida heroes del alto cenepa s/n mz d lote 34,secundaria,privada - particular,-11.90126,-77.05173
maria reina del carmelo,comas,avenida sangarara s/n mz q1 lote 27,inicial - jardin,privada - particular,-11.91666,-77.05528
mario vargas llosa,comas,mz c-1 lote 07 - 08,primaria,privada - particular,-11.92458,-77.05362
mariscal andres avelino caceres dorregaray,comas,jiron ciro alegria s/n mz z zona i,secundaria,publica - sector educacion,-11.91639,-77.03376
mashal,comas,calle 6 s/n mz i lote 41,inicial - jardin,privada - particular,-11.90327,-77.06002
matematico albert einstein,comas,avenida los incas 555,primaria,privada - particular,-11.91445,-77.04926
matematico honores del pinar,comas,calle 6 s/n mz o lote 1,primaria,privada - particular,-11.92093,-77.05871
mi dulce amanecer,comas,jiron corbacho 374,inicial - jardin,privada - particular,-11.9413344,-77.0607655
mi pequeno mundo de santa luzmila,comas,jiron sanchez silva 195 etapa iv,inicial - jardin,privada - particular,-11.94454,-77.06369
mi pequeno paraiso,comas,jiron santa rosa 531,inicial - jardin,privada - particular,-11.957,-77.05091
mi segundo hogar jireh,comas,jiron san ramon 357,inicial - jardin,privada - particular,-11.95659,-77.03891
milagroso san martin,comas,jiron andres medina 211,inicial - jardin,privada - particular,-11.92605,-77.03903
mis primeros pasos de carabayllo,comas,jiron san gabriel mz f2 lote 10,inicial - jardin,privada - particular,-11.90713,-77.04257
mis primeros pasos del carmen,comas,avenida huayna capac 201,inicial - jardin,privada - particular,-11.93934,-77.04513
