nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
1258 sebastian lorente,ate,avenida 15 de julio zona e huaycan,primaria,publica - sector educacion,-12.01452,-76.82606
1260 el amauta,ate,calle nueve mz ns8 lote lt zona f,primaria,publica - sector educacion,-12.01836,-76.81812
1262 el amauta jose c. mariategui,ate,avenida san juan bautista s/n,primaria,publica - sector educacion,-12.04274,-76.89804
1263 puruchuco,ate,puruchuco mz u lote 1 zona i,secundaria,publica - sector educacion,-12.04869,-76.93006
1264 juan andres vivanco amorin,ate,calle italia 130,primaria,publica - sector educacion,-12.04086,-76.92929
1265 santa rosa de lima,ate,zona n ucv 176,primaria,publica - sector educacion,-12.00932,-76.816
1268 gustavo mohme llona,ate,avenida 15 de julio huaycan lote 4,primaria,publica - sector educacion,-12.02717,-76.82241
1270 juan el bautista,ate,calle alto peru ucv 171-b lote 80,primaria,publica - sector educacion,-12.02189807,-76.81643369
1271,ate,avenida prol jose carlos mariategui s/n,primaria,publica - sector educacion,-12.01402,-76.81332
1281 santa maria,ate,santa maria mz a lote ae,primaria,publica - sector educacion,-12.04287,-76.92451
1283 okinawa,ate,mz d,primaria,publica - sector educacion,-12.04551,-76.89125
1285,ate,mz e-1 lote 1 zona b,inicial - jardin,publica - sector educacion,-12.0443,-76.9022
1287 victor andres belaunde,ate,mz c lote 10,primaria,publica - sector educacion,-12.01875,-76.90171
1288 albert einstein,ate,mz b lote 7,primaria,publica - sector educacion,-12.02704,-76.95171
1289,ate,huaycan / arenero huaycan zona r,inicial - jardin,publica - sector educacion,-12.03705,-76.82411
1290 nueva america,ate,avenida prolongacion nicolas de pierola s/n,primaria,publica - sector educacion,-12.03978354,-76.89204569
134,ate,mz e lote 5,inicial - cuna jardin,publica - sector educacion,-12.02871,-76.92471
135 nino jesus,ate,calle atenea cdra 2 s/n,inicial - jardin,publica - sector educacion,-12.0733,-76.98087
137 los laureles,ate,avenida alcanfores cdra 3,inicial - jardin,publica - sector educacion,-12.02834,-76.91694
142 grumete medina,ate,jiron tarma mz h lote 5-6,inicial - jardin,publica - sector educacion,-12.06627,-76.97233
151,ate,parque principal s/n,inicial - cuna jardin,publica - sector educacion,-12.02895,-76.92146
154 los claveles,ate,calle principal s/n,inicial - cuna jardin,publica - sector educacion,-12.05247,-76.94939
159 warma kuyay,ate,mz d-1 lote 19,inicial - jardin,publica - sector educacion,-12.04482,-76.92668
162 angelitos de jesus,ate,avenida jose carlos mariategui lote 4,inicial - jardin,publica - sector educacion,-12.01016,-76.82864
164 jean piaget,ate,sector b - horacio zevallos gamez mz f 1 lote 3,inicial - jardin,publica - sector educacion,-12.01357,-76.83749
167,ate,avenida jose c. mariategui s/n zona b,inicial - jardin,publica - sector educacion,-12.01576,-76.82147
168 maria eugenia mantilla arias,ate,calle chincheros mz p2 lote 01,inicial - jardin,publica - sector educacion,-12.0563,-76.95805
171 virgen del carmen,ate,pasaje ucv 107 zona g,inicial - jardin,publica - sector educacion,-12.02148,-76.82385
172,ate,calle ucayali mz f lote 13,inicial - jardin,publica - sector educacion,-12.03009,-76.93721
175 mi casita del saber,ate,avenida principal s/n,inicial - jardin,publica - sector educacion,-12.01384,-76.85265
182,ate,calle 10 de abril mz a lote 10,inicial - jardin,publica - sector educacion,-12.03609,-76.90103
189 sagrado corazon de jesus,ate,parque perseo y 3 manas s/n,inicial - jardin,publica - sector educacion,-12.0352,-76.93764
190,ate,calle los portales de huaycan mz b lote 2,inicial - jardin,publica - sector educacion,-12.00017,-76.83778
191,ate,avenida san juan bautista s/n,inicial - jardin,publica - sector educacion,-12.04295,-76.8978
192 santa rosita de lima,ate,calle principal s/n,inicial - jardin,publica - sector educacion,-12.04855,-76.92995
193,ate,ucv 176 zona n s/n,inicial - jardin,publica - sector educacion,-12.00923,-76.81573
195 angelitos de jesus,ate,jiron callao s/n,inicial - jardin,publica - sector educacion,-12.02786,-76.90741
196,ate,santa maria,inicial - jardin,publica - sector educacion,-12.04278,-76.92416
198 san miguel arcangel,ate,avenida 15 de julio 163 zona k,inicial - jardin,publica - sector educacion,-12.02847,-76.82163
204,ate,mz 4a lote 2 zona 2,inicial - jardin,publica - sector educacion,-12.01317,-76.81448
205,ate,zona l- huaycan,inicial - jardin,publica - sector educacion,-12.01833,-76.81664
206 huellitas de amor,ate,avenida 15 de julio s/n zona j,inicial - jardin,publica - sector educacion,-12.02518,-76.82247
207 divino nino jesus,ate,avenida jose carlos mariategui s/n,inicial - jardin,publica - sector educacion,-12.01405,-76.81329
