precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,num_colegios_prox,num_hospitales_prox,total_ambientes,tiene_estac,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,total_servicios_prox
1500.0,200.0,75.0,3.0,1.0,,8.0,353.0,15,3,4.0,0,2.0,2.0,2.0,18
2800.0,190.0,190.0,3.0,2.0,,11.0,103.0,12,1,5.0,0,3.0,2.0,2.0,13
5262.0,700.0,149.0,3.0,3.0,1.0,38.0,200.0,5,0,6.0,1,3.0,3.0,1.0,5
1100.0,,50.0,1.0,1.0,,20.0,73.0,7,0,2.0,0,1.0,2.0,1.0,7
2000.0,,50.0,1.0,1.0,1.0,25.0,35.0,6,0,2.0,1,1.0,3.0,1.0,6
3680.0,420.0,105.0,2.0,2.0,1.0,0.0,20.0,8,4,4.0,1,3.0,1.0,1.0,12
2000.0,160.0,50.0,1.0,1.0,,6.0,219.0,10,0,2.0,0,1.0,2.0,3.0,11
2700.0,,110.0,3.0,2.0,1.0,12.0,120.0,11,0,5.0,1,3.0,2.0,1.0,11
3066.0,,103.0,2.0,2.0,1.0,41.0,59.0,8,3,4.0,1,3.0,3.0,1.0,13
1700.0,190.0,54.0,3.0,1.0,,0.0,206.0,2,0,4.0,0,2.0,1.0,1.0,2
3260.0,300.0,68.0,2.0,2.0,1.0,12.0,18.0,4,1,4.0,1,2.0,2.0,1.0,6
2000.0,200.0,70.0,2.0,2.0,1.0,,,8,2,4.0,1,2.0,,3.0,12
1700.0,,40.0,1.0,1.0,,15.0,51.0,12,0,2.0,0,1.0,2.0,2.0,13
980.0,,30.0,1.0,1.0,,1.0,123.0,0,0,2.0,0,1.0,1.0,2.0,0
1700.0,10.0,90.0,2.0,2.0,,,,9,0,4.0,0,2.0,,1.0,9
1100.0,120.0,50.0,3.0,1.0,1.0,,,9,0,4.0,1,1.0,,3.0,9
3650.0,,103.0,3.0,3.0,1.0,6.0,,6,0,6.0,1,3.0,2.0,1.0,6
2300.0,70.0,60.0,1.0,1.0,,38.0,,6,2,2.0,0,2.0,3.0,1.0,9
4500.0,600.0,90.0,2.0,2.0,1.0,3.0,,5,2,4.0,1,2.0,1.0,1.0,7
2560.0,170.0,53.0,1.0,1.0,,8.0,,25,1,2.0,0,2.0,2.0,2.0,26
2920.0,380.0,44.0,1.0,1.0,,1.0,,0,0,2.0,0,1.0,1.0,1.0,0
6200.0,500.0,110.0,2.0,2.0,2.0,0.0,,0,0,4.0,1,3.0,1.0,1.0,0
5980.0,720.0,129.0,3.0,2.0,1.0,30.0,,0,0,5.0,1,3.0,3.0,1.0,0
2400.0,100.0,72.0,2.0,1.0,1.0,,,12,1,3.0,1,2.0,,3.0,15
5040.0,,100.0,2.0,2.0,1.0,6.0,,19,4,4.0,1,2.0,2.0,2.0,23
4500.0,600.0,95.0,2.0,2.0,1.0,4.0,,1,0,4.0,1,2.0,1.0,1.0,1
4860.0,600.0,95.0,2.0,2.0,1.0,5.0,,1,1,4.0,1,2.0,1.0,1.0,2
6300.0,730.0,140.0,2.0,2.0,2.0,15.0,,3,1,4.0,1,3.0,2.0,1.0,4
4930.0,550.0,100.0,1.0,2.0,1.0,4.0,34.0,1,0,3.0,1,2.0,1.0,1.0,1
3350.0,269.0,75.0,2.0,2.0,1.0,5.0,19.0,19,4,4.0,1,2.0,1.0,2.0,23
3680.0,100.0,100.0,3.0,2.0,1.0,7.0,37.0,4,0,5.0,1,2.0,2.0,2.0,4
4050.0,420.0,105.0,2.0,2.0,2.0,0.0,15.0,8,4,4.0,1,3.0,1.0,1.0,12
2900.0,280.0,90.0,1.0,2.0,1.0,10.0,,10,3,3.0,1,2.0,2.0,1.0,14
2000.0,,65.0,1.0,1.0,1.0,,,12,3,2.0,1,2.0,,1.0,18
900.0,,49.0,2.0,1.0,,20.0,379.0,13,0,3.0,0,1.0,2.0,1.0,13
2100.0,,100.0,3.0,3.0,1.0,10.0,143.0,16,3,6.0,1,2.0,2.0,2.0,19
2600.0,330.0,120.0,3.0,2.0,,10.0,,12,0,5.0,0,3.0,2.0,2.0,12
1500.0,,80.0,2.0,1.0,1.0,1.0,28.0,22,1,3.0,1,2.0,1.0,3.0,23
2100.0,280.0,58.0,2.0,1.0,1.0,,,6,0,3.0,1,2.0,,3.0,6
3420.0,634.0,94.0,2.0,2.0,1.0,12.0,,7,1,4.0,1,2.0,2.0,1.0,8
2500.0,200.0,110.0,3.0,2.0,,6.0,,14,0,5.0,0,3.0,2.0,1.0,14
2500.0,250.0,74.0,3.0,2.0,1.0,7.0,37.0,8,0,5.0,1,2.0,2.0,2.0,8
1700.0,,80.0,2.0,2.0,,10.0,83.0,5,0,4.0,0,2.0,2.0,1.0,5
2200.0,200.0,62.0,2.0,1.0,,1.0,32.0,11,1,3.0,0,2.0,1.0,2.0,12
2300.0,120.0,135.0,2.0,2.0,1.0,3.0,321.0,1,0,4.0,1,3.0,1.0,1.0,1
3200.0,60.0,94.0,3.0,2.0,,26.0,90.0,3,5,5.0,0,2.0,3.0,1.0,8
2300.0,,52.0,2.0,2.0,,4.0,80.0,18,3,4.0,0,2.0,1.0,2.0,21
1600.0,,75.0,2.0,,,25.0,,14,0,,0,2.0,3.0,3.0,15
3524.0,380.0,103.0,2.0,1.0,1.0,19.0,,4,1,3.0,1,3.0,2.0,1.0,5
2200.0,,65.0,1.0,1.0,,10.0,,7,2,2.0,0,2.0,2.0,1.0,9
900.0,,30.0,1.0,1.0,,1.0,185.0,18,1,2.0,0,1.0,1.0,3.0,21
1600.0,300.0,48.0,2.0,2.0,,0.0,,7,3,4.0,0,1.0,1.0,2.0,10
10672.0,1800.0,374.0,4.0,4.0,3.0,13.0,,4,0,8.0,1,3.0,2.0,1.0,4
2500.0,210.0,80.0,2.0,3.0,1.0,,,16,3,5.0,1,2.0,,2.0,19
2200.0,275.0,40.0,1.0,1.0,,4.0,42.0,13,0,2.0,0,1.0,1.0,1.0,14
1700.0,30.0,75.0,2.0,,,15.0,80.0,9,0,,0,2.0,2.0,1.0,10
1550.0,,70.0,2.0,1.0,1.0,15.0,146.0,6,1,3.0,1,2.0,2.0,3.0,7
3400.0,450.0,100.0,2.0,2.0,1.0,10.0,,3,0,4.0,1,2.0,2.0,1.0,5
4380.0,295.0,105.0,2.0,2.0,1.0,25.0,,8,0,4.0,1,3.0,3.0,1.0,9
3240.0,242.0,85.0,2.0,2.0,1.0,49.0,66.0,5,3,4.0,1,2.0,3.0,1.0,8
3000.0,10.0,75.0,3.0,2.0,,2.0,40.0,7,2,5.0,0,2.0,1.0,1.0,10
2700.0,10.0,70.0,2.0,2.0,,2.0,126.0,14,0,4.0,0,2.0,1.0,2.0,14
1400.0,130.0,65.0,3.0,2.0,,2.0,34.0,0,0,5.0,0,2.0,1.0,3.0,0
2800.0,300.0,84.0,3.0,2.0,1.0,4.0,57.0,16,1,5.0,1,2.0,1.0,3.0,17
2200.0,80.0,100.0,2.0,2.0,,4.0,59.0,22,0,4.0,0,2.0,1.0,2.0,23
2400.0,350.0,82.0,3.0,2.0,1.0,10.0,126.0,0,0,5.0,1,2.0,2.0,2.0,0
2100.0,10.0,90.0,3.0,2.0,,,,2,3,5.0,0,2.0,,2.0,6
6570.0,780.0,187.0,3.0,3.0,3.0,11.0,28.0,4,1,6.0,1,3.0,2.0,1.0,5
3200.0,300.0,75.0,2.0,2.0,1.0,,,9,1,4.0,1,2.0,,1.0,10
2555.0,150.0,41.0,1.0,1.0,,0.0,,0,0,2.0,0,1.0,1.0,1.0,0
7500.0,550.0,210.0,2.0,2.0,1.0,12.0,25.0,3,0,4.0,1,3.0,2.0,1.0,3
