precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox
2700.0,806.0,200.0,73.0,3.0,2.0,,5.0,,2026-03-07,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-73-m-sup2--en-alquiler-magdalena-149189010.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,"jiron san martin 514 magdalena, magdalena",-12.0898674,-77.0712698,21,2,0,0,1,47
2512.0,750.0,200.0,65.0,1.0,1.0,1.0,5.0,,2026-03-07,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-1-dormitorio-amoblado-con-balcon-149188608.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=20,"av jorge chavez, miraflores",-16.4057397,-71.5333995,0,0,0,0,0,0
6200.0,415000.0,700.0,124.0,2.0,2.0,1.0,4.0,28.0,,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-alquilo-moderno-departamento-de-125-m-sup2--en-90144797.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=21,"parque armendariz, miraflores",-12.1348923,-77.0239057,10,1,0,0,0,11
16750.0,995000.0,1500.0,247.0,3.0,3.0,2.0,8.0,270.0,,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-alquilo-departamento-equipado-de-247-m-sup2--64321782.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,"malecon de la marina 150, miraflores",-12.1187332,-77.0438131,6,0,0,0,0,10
2200.0,656.0,250.0,47.0,1.0,1.0,,5.0,19.0,2026-03-07,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-barranco-alquilo-encantador-departamento-con-linea-149186758.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=23,"av san martin, barranco",-12.1407141,-77.0233624,9,0,0,0,0,26
2600.0,771.0,250.0,60.0,2.0,2.0,,2.0,,2026-03-06,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-2-dorm.-de-60-m-sup2--en-149162751.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,"los jazmines cuadra 3, lince",-12.0902,-77.02960999999999,1,5,0,0,0,19
3000.0,895.0,195.0,75.0,1.0,1.0,,30.0,16.0,2026-03-06,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-alquilo-departamento-para-vivienda-u-149183508.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=25,"los pinos, miraflores",-12.1237289,-77.0307069,3,1,0,0,0,18
3696.0,1100.0,790.0,129.0,2.0,2.0,2.0,10.0,50.0,2026-03-06,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-dpto-2-dorm-s-muebles-con-linea-blanca-149181704.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=26,"calle independencia 1300 miraflores, miraflores",-12.1059425,-77.0328787,5,5,0,0,0,3
3200.0,925.0,250.0,110.0,2.0,2.0,,0.0,29.0,2026-03-06,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-amoblado-y-equipado-minimalista-ascensor-149177502.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=27,"calle shell 237, miraflores",-12.1226969,-77.0300531,3,0,0,0,0,18
2500.0,742.0,250.0,60.0,2.0,2.0,1.0,2.0,264.0,2026-03-06,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-semi-amiblado-de-2-dorm.-de-60-149008056.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=28,"av arequipa cuadra 14, lince",-12.0919858,-77.0331759,2,4,0,0,1,13
3060.0,900.0,350.0,80.0,2.0,2.0,1.0,6.0,24.0,2026-03-05,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-dpto-amoblado-de-2-dor-con-balcon-y-areas-149176211.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=29,"av 28 de julio, miraflores",-12.1282915,-77.0260415,4,1,0,1,0,6
2700.0,771.0,,40.0,1.0,1.0,,3.0,183.0,2026-03-05,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-aquila-lindo-minidepartamento-en-barranco-148681487.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=30,"proyecto studio 4, barranco",-12.1396645,-77.0230045,10,0,0,0,0,25
