,nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
7363,amigos en jesus,rimac,jiron carlos pareja paz soldan mz b lote 06,inicial - jardin,privada - particular,-12.01677,-77.02769
7365,ancila dei,rimac,jiron padre izaguirre 295,inicial - jardin,privada - particular,-12.03135,-77.02513
7368,angel de la guarda,rimac,pasaje san geronimo 181,inicial - jardin,privada - particular,-12.02653,-77.02745
7369,apostol san judas tadeo del rimac,rimac,pasaje 697612 146-150,inicial - jardin,privada - particular,-12.03097,-77.03641
7370,bautista,rimac,avenida amancaes 701,secundaria,privada - particular,-12.02198333,-77.03086667
7373,benjamin barton,rimac,jiron viru 565,inicial - jardin,privada - particular,-12.03866,-77.03498
7376,beta 3,rimac,avenida samuel alcazar 282,inicial - jardin,privada - particular,-12.03095,-77.02857
7379,carlos pareja paz soldan,rimac,calle los descalzos s/n,secundaria,publica - sector educacion,-12.03636,-77.02362
7380,carpe diem,rimac,avenida alcazar 258,secundaria,privada - particular,-12.03117,-77.02838
7385,circulo vallejo confraternidad,rimac,jiron manco inca 424-430,primaria,privada - particular,-12.03583,-77.03951
7388,colegio monserrat del rimac,rimac,avenida prolongacion amancaes mz n lote 11,inicial - jardin,privada - particular,-12.02541,-77.03441
7390,comunidad shipiba,rimac,mz s lote 27-28,inicial - jardin,publica - sector educacion,-12.04218,-77.01759
7392,cristo salvador del rimac,rimac,mz b lote 21,inicial - jardin,privada - particular,-12.01382,-77.03164
7395,dora mayer de zulen,rimac,calle ricardo bentin 749,primaria,privada - particular,-12.02727,-77.03435
7398,el doctorcito,rimac,jiron yutay 162-170,inicial - jardin,privada - particular,-12.03893,-77.02828
7399,el mundo magico de miss kusy,rimac,jiron jesus de asin 630,inicial - jardin,privada - particular,-12.03264,-77.03557
7403,el nazareno school,rimac,calle 4 850-852-854,primaria,privada - particular,-12.02451,-77.03155
7405,el nino jesus del rimac,rimac,avenida francisco pizarro 968-970,inicial - jardin,privada - particular,-12.0318,-77.0407
7408,emanuel & deza school- kenzit,rimac,calle real audiencia 551,secundaria,privada - particular,-12.0271,-77.0287
7411,enrique napoleon espinosa,rimac,avenida ricardo bentin 570,secundaria,privada - particular,-12.0291,-77.0357
7413,esther caceres salgado,rimac,pasaje cecilia del risco s/n,secundaria,publica - sector educacion,-12.03029,-77.03107
7415,esther grande de bentin,rimac,calle 4 mz b2 lote 6,primaria,privada - particular,-12.01579,-77.03383
7416,estrellita de luz,rimac,jiron fransisco bolognesi 153,inicial - jardin,privada - particular,-12.03827,-77.01609
7417,familia universal school,rimac,avenida lorenzo encalada 182,inicial - jardin,privada - particular,-12.02645,-77.02818
7420,gonzales vigil,rimac,jiron mariscal castilla 118,primaria,privada - particular,-12.03764,-77.03749
7423,innova schools - rimac santo toribio,rimac,jiron viru 495,inicial - jardin,privada - particular,-12.03903,-77.03432
7426,innova schools - rimac sporting cristal,rimac,avenida abelardo gamarra cuadra 4 s/n,inicial - jardin,privada - particular,-12.01977,-77.03457
7429,instituto sevilla,rimac,jiron manco capac 162,secundaria,publica - otro sector publico,-12.03635,-77.02566
7431,james madison,rimac,calle sabandia 658,inicial - jardin,privada - particular,-12.03202,-77.03483
7435,juan jacobo rousseau,rimac,calle la pedrera 366,primaria,privada - particular,-12.0252,-77.03622
