,nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
0,innova schools - bertello,lima,sub lote 5-b mz c lote 3-4-5,inicial - jardin,privada - particular,-12.06259,-77.06233
3,0001 maria auxiliadora,lima,jiron isaias clivio 237,primaria,publica - en convenio,-12.04671,-77.01373
5,0035 nuestra senora de la visitacion,lima,jiron pacasmayo 550,inicial - jardin,publica - sector educacion,-12.046186,-77.046883
8,0038 san martin de porres,lima,jiron ascope 142,primaria,publica - sector educacion,-12.03948,-77.04636
10,0040 hipolito unanue,lima,avenida elvira garcia y garcia s/n,basica alternativa - avanzado,publica - sector educacion,-12.05265,-77.0704
13,0095 maria auxiliadora,lima,avenida materiales 2005,primaria,publica - sector educacion,-12.04113,-77.06812
15,0099 oscar miro quesada de la guerra,lima,jiron paruro 231,primaria,publica - sector educacion,-12.04595,-77.02188
17,022 republica de guatemala,lima,jiron manuel pardo 225,secundaria,publica - sector educacion,-12.04685,-77.01556
20,030 santa teresita del divino nino,lima,jiron jose diaz 412,inicial - jardin,publica - sector educacion,-12.06868,-77.03501
21,06 republica de holanda,lima,jiron carabaya 1171,inicial - jardin,publica - sector educacion,-12.05526,-77.03562
22,077 manzanilla,lima,avenida nicolas ayllon cdra 3 s/n,inicial - cuna jardin,publica - sector educacion,-12.05753,-77.01097
23,088 nina maria,lima,jiron conde de superunda 446,inicial - cuna jardin,publica - municipalidad,-12.04297,-77.03416
24,097 ministerio publico,lima,jiron ayacucho 613,inicial - cuna jardin,publica - otro sector publico,-12.05165,-77.02742
25,100 virgen de la merced,lima,avenida morales duarez 2053,inicial - jardin,publica - sector educacion,-12.03522,-77.0685
26,1001 jose jimenez borja,lima,jiron washington 1454,secundaria,publica - sector educacion,-12.05908,-77.03922
28,101 libertador simon bolivar,lima,jiron ramon carcamo 195,inicial - jardin,publica - sector educacion,-12.040281,-77.051309
29,1015 republica de italia,lima,avenida venezuela cdra 27 block 5 s/n,inicial - jardin,publica - sector educacion,-12.05946,-77.07164
31,1016 john f. kennedy,lima,avenida venezuela s/n,primaria,publica - sector educacion,-12.0589,-77.07191
32,102 hospital dos de mayo,lima,avenida grau cuadra 12 s/n,inicial - cuna jardin,publica - otro sector publico,-12.05672,-77.01668
33,1021 republica federal de alemania,lima,avenida belisario sosa pelaez 1550,secundaria,publica - sector educacion,-12.0644,-77.06369
35,1027 republica de nicaragua,lima,jiron ancash 1379,primaria,publica - sector educacion,-12.04557,-77.01448
37,1028 republica argentina,lima,jiron miroquesada 1340,primaria,publica - sector educacion,-12.05314,-77.01645
39,103 luis armando cabello hurtado,lima,pasaje alto de la alianza s/n,secundaria,publica - sector educacion,-12.05834,-77.01134
42,1032 republica del brasil,lima,jiron cangallo 731,primaria,publica - sector educacion,-12.05586,-77.02194
44,1035 jose del carmen marin arista,lima,avenida nicolas de pierola 1533,inicial - jardin,publica - sector educacion,-12.05579,-77.02819
47,1036 republica de costa rica,lima,jiron desaguadero 490,inicial - jardin,publica - sector educacion,-12.04939,-77.01234
49,1037 ramon espinoza,lima,jiron ancash 1254,primaria,publica - sector educacion,-12.04673,-77.01667
51,1038 maria parado de bellido,lima,jiron ancash 729,primaria,publica - sector educacion,-12.04723,-77.02355
52,1040 republica de haiti,lima,jiron azangaro 876,primaria,publica - sector educacion,-12.05374284,-77.03250581
54,1048 virgen purisima,lima,jiron ancash 1529 mz p-21,primaria,publica - sector educacion,-12.04416478,-77.01447203
55,1049 juana alarco de dammert,lima,jiron cuzco 426,primaria,publica - sector educacion,-12.05116,-77.03003
58,105 pedro coronado arrascue,lima,avenida alfonso ugarte 120,primaria,publica - sector educacion,-12.04086,-77.0443
60,106 ramon espinoza,lima,jiron ancash 1254,inicial - jardin,publica - sector educacion,-12.04673,-77.01667
61,107 virgen de la medalla milagrosa,lima,jiron quilca 534,inicial - cuna jardin,publica - otro sector publico,-12.051,-77.04134
62,111 arzobispo loayza,lima,avenida alfonso ugarte 848,inicial - cuna jardin,publica - otro sector publico,-12.04945524,-77.04479187
63,111 san jose de artesanos,lima,jiron ayacucho 179,secundaria,publica - sector educacion,-12.04645,-77.02476
66,112 pequenos de fatima,lima,jiron las azucenas 1472,inicial - jardin,publica - sector educacion,-12.06315,-77.06569
67,1124 jose marti,lima,avenida bauzate y meza 2299,primaria,publica - sector educacion,-12.0618,-77.007
69,1145 republica de venezuela,lima,jiron callao 773,inicial - jardin,publica - sector educacion,-12.04199,-77.03806
71,1146 republica del paraguay,lima,avenida emancipacion 731,primaria,publica - sector educacion,-12.04518,-77.03971
74,1147 andres rosales valencia,lima,jiron canete 614,inicial - jardin,publica - sector educacion,-12.04637,-77.04037
76,1148 juana infantes vera,lima,block 52 a,primaria,publica - sector educacion,-12.05351,-77.08315
78,1149 sagrado corazon de jesus,lima,jiron colonial 265,primaria,publica - sector educacion,-12.04643433,-77.04492142
79,1150 abraham zea carreon,lima,avenida morales duarez 2057,primaria,publica - sector educacion,-12.0352,-77.06873
81,1152-108 dos de mayo,lima,jiron general buendia 519,inicial - jardin,publica - sector educacion,-12.03669,-77.05004
83,1153 republica de canada,lima,avenida morales duarez 342,primaria,publica - sector educacion,-12.03806,-77.04818
85,1154 nuestra senora del carmen,lima,jiron elvira garcia y garcia s/n,primaria,publica - sector educacion,-12.0526,-77.06866
87,1156 jose sebastian barranca lovera,lima,jiron huarancayo 168,primaria,publica - sector educacion,-12.03836,-77.05367
89,1157 julio cesar tello rojas,lima,avenida joaquin capello 3110,secundaria,publica - sector educacion,-12.03722,-77.0801
91,116 san pablo,lima,avenida alfonso ugarte 227 - 229,inicial - cuna jardin,publica - sector educacion,-12.04209,-77.04295
92,1160 jose faustino sanchez carrion,lima,jiron republica del ecuador 605,primaria,publica - sector educacion,-12.0427,-77.0561
94,1161,lima,calle crespo y castillo,primaria,publica - sector educacion,-12.03672,-77.06077
96,1162 divino nino jesus,lima,jiron moquegua 245,primaria,publica - sector educacion,-12.049,-77.03559
97,1163 jose maria arguedas altamirano,lima,jiron republica del ecuador 295,primaria,publica - sector educacion,-12.0394,-77.05658
98,1165 holanda,lima,jiron holanda 2276,primaria,publica - sector educacion,-12.0512521,-77.06307574
100,1166 libertador simon bolivar,lima,jiron ramon carcamo 195,primaria,publica - sector educacion,-12.040281,-77.051309
102,1168 heroes del cenepa,lima,jiron huallaga 878,primaria,publica - sector educacion,-12.05144,-77.02293
104,117 rvdo padre pascual alegre gonzales,lima,avenida nicolas duenas 702,inicial - jardin,publica - sector educacion,-12.04407,-77.0658
105,117 rvdo. padre pascual alegre gonzales,lima,avenida nicolas duenas 702,primaria,publica - sector educacion,-12.04407,-77.0658
106,14 divina nina maria,lima,block a - 11,inicial - cuna jardin,publica - sector educacion,-12.05148,-77.07845
107,16 virgen de lourdes,lima,block 46-a,inicial - cuna jardin,publica - sector educacion,-12.05413,-77.08195
108,19 el planeta,lima,jiron diego la torre cdra 16 s/n,inicial - jardin,publica - sector educacion,-12.03782,-77.06353
109,20 santa rosa de lima,lima,jiron jupiter 680,inicial - cuna jardin,publica - sector educacion,-12.06664,-77.07132
110,21 san benito de palermo,lima,jiron las fabricas cdra 2 s/n,inicial - jardin,publica - sector educacion,-12.0413,-77.0677
111,25 nuestra senora de la inmaculada concepcion,lima,jiron junin 1238,secundaria,publica - sector educacion,-12.05138,-77.0173
114,26 nino jesus de atoche,lima,jiron antonio miroquesada 1296,inicial - jardin,publica - sector educacion,-12.05313,-77.01749
115,29 rosa de santa maria,lima,jiron ancash 1439,inicial - cuna jardin,publica - sector educacion,-12.04463,-77.01423
116,31,lima,avenida nicolas ayllon cdra 4 block g 14 s/n,inicial - jardin,publica - sector educacion,-12.0595,-77.009
117,48 juana alarco de dammert,lima,jiron antonio miroquezada 1327,inicial - cuna jardin,privada - parroquial,-12.05295,-77.01681
118,50 la sagrada familia,lima,jiron moquegua 377,inicial - jardin,publica - sector educacion,-12.04809524,-77.03697376
119,89 las mercedarias,lima,jiron ancash 1098,inicial - cuna jardin,publica - municipalidad,-12.04413,-77.01238
120,94 micaela bastidas,lima,jiron melchor de talamantes 100,inicial - cuna jardin,publica - sector educacion,-12.03661,-77.0798
121,albert einstein,lima,avenida tacna 293,inicial - jardin,privada - particular,-12.0445,-77.03595
122,amauta,lima,avenida 9 de diciembre 321,basica alternativa - avanzado,privada - particular,-12.06033,-77.03961
123,andres bello,lima,jiron moquegua 467,basica alternativa - avanzado,privada - particular,-12.04754,-77.03794
124,aprendiendo a aprender,lima,jiron carlos revolledo 1025,inicial - jardin,privada - particular,-12.04814,-77.07621
125,argentina,lima,avenida alfonso ugarte 1011,secundaria,publica - sector educacion,-12.0519,-77.04201
126,asociacion colegio maria alvarado,lima,avenida 28 de julio 249,secundaria,privada - particular,-12.06495,-77.04391
129,barcia bonifatti,lima,jiron perez de tudela 3055,secundaria,privada - particular,-12.03755,-77.0792
132,bertolt brecht,lima,avenida colonial 2798,secundaria,privada - particular,-12.04986,-77.07887
135,calu,lima,jiron perez de tudela 2065,primaria,privada - particular,-12.03597,-77.06875
137,caminito del saber,lima,calle teniente aristides del carpio munoz 1558,inicial - jardin,privada - particular,-12.05537,-77.07818
138,capesat,lima,avenida tacna 393,basica alternativa - avanzado,privada - particular,-12.04541,-77.03659
139,carlotita,lima,jiron conde de la vega baja 582 - 584,inicial - jardin,privada - particular,-12.03889,-77.05232
141,carmelitas,lima,calle santa paula 579,inicial - jardin,privada - particular,-12.0646,-77.0771
142,catolica las mercedes,lima,jiron tnte arancibia 358,primaria,privada - particular,-12.04908,-77.01389
143,cesar vallejo,lima,jiron crespo y castillo 2685,inicial - jardin,privada - particular,-12.0371,-77.07493
146,corazon de jesus,lima,jiron joaquin capello 2400,primaria,privada - particular,-12.03551,-77.07228
148,corazon inmaculado de maria,lima,avenida santa teodosia 333,inicial - jardin,privada - particular,-12.06341,-77.07446
150,dante alighieri,lima,avenida petit thouars 1090,inicial - jardin,privada - particular,-12.0753,-77.03477
153,david wechsler,lima,calle canete 521,basica alternativa - avanzado,privada - particular,-12.04553,-77.03952
154,divino creador,lima,jiron sullana 1945,primaria,privada - particular,-12.05414,-77.06002
156,divino jesus,lima,avenida prolongacion arica 1957,inicial - jardin,privada - particular,-12.0548,-77.06022
157,divino redentor,lima,avenida la alborada 1720,secundaria,privada - particular,-12.06639,-77.0675
159,divino salvador,lima,jiron cailloma 574,primaria,privada - particular,-12.04832386,-77.03600859
161,divino y sagrado corazon de jesus,lima,jiron suecia 1216,inicial - jardin,privada - particular,-12.0494,-77.06061
164,el castillo de la inteligencia,lima,avenida mariano cornejo 1696,inicial - jardin,privada - particular,-12.06746,-77.06944
165,el eden,lima,jiron tnte arancibia 106-136,primaria,privada - particular,-12.04929,-77.01643
167,el guadalupano,lima,calle la alborada 1105,basica alternativa - avanzado,privada - particular,-12.05892,-77.06729
168,elenita,lima,calle juan manuel perez de tudela 2075,inicial - jardin,privada - particular,-12.03598,-77.06889
169,elim,lima,jiron palca 128,secundaria,privada - particular,-12.0632,-77.0404
172,forever happy kids,lima,jiron dinamarca 1300,inicial - jardin,privada - particular,-12.04993,-77.06099
173,francisco coll,lima,calle aristides del carpio 1164,primaria,privada - particular,-12.05077,-77.07661
174,fray luis de leon,lima,jiron juan olaechea arnao 1381,secundaria,privada - particular,-12.05399,-77.07401
176,friedrich gauss,lima,jiron joaquin capello 3201,primaria,privada - particular,-12.03728235,-77.08076669
179,genios en accion school,lima,jiron esperanza 777,inicial - jardin,privada - particular,-12.0398,-77.05244
181,happy faces,lima,jiron joaquin capello 3315,inicial - jardin,privada - particular,-12.03699,-77.07925
182,hogar de nazareth,lima,avenida venezuela cdra 28 s/n,inicial - jardin,privada - parroquial,-12.05942,-77.0721
183,ingeniero jorge cabrera tapia,lima,jiron natalio sanchez 175,primaria,privada - particular,-12.07049,-77.03755
185,inmaculada de las nieves,lima,avenida luis braille 1437,primaria,privada - particular,-12.053,-77.06663
187,inmaculada virgen del transito,lima,jiron huari 660,inicial - jardin,privada - particular,-12.05132,-77.0142
190,innova,lima,jiron dinamarca 1324,secundaria,privada - particular,-12.04994,-77.06099
192,innova schools - cercado,lima,jiron pacasmayo 701,inicial - jardin,privada - particular,-12.04832,-77.0464
195,internacional elim,lima,calle santa francisca romana 843 -845 etapa iii,secundaria,privada - particular,-12.05692094,-77.05571053
198,isaac newton,lima,avenida 9 de diciembre 378,basica alternativa - avanzado,privada - particular,-12.05981,-77.0399
199,jesus de nazareth de lima,lima,jiron crespo y castillo 2648,secundaria,privada - particular,-12.03684,-77.07458
202,jesus el buen pastor,lima,jiron juan manuel perez de tudela 3338,primaria,privada - particular,-12.03796,-77.08212
204,jesus reparador,lima,jiron cuzco 723,inicial - jardin,privada - parroquial,-12.053,-77.02635
207,jesus sublime maestro,lima,jiron monsefu 636,inicial - jardin,privada - particular,-12.04255,-77.06151
209,john f kennedy,lima,pasaje acisclo villaran 315,basica alternativa - avanzado,privada - particular,-12.05341,-77.03875
210,jorge basadre,lima,jiron aristides del carpio munoz 1138,primaria,privada - particular,-12.05043,-77.07658
212,juan pablo vizcardo y guzman,lima,avenida nicolas duenas 555,primaria,publica - sector educacion,-12.04147456,-77.06506756
214,la catolica,lima,jiron ucayali 235,basica alternativa - avanzado,privada - particular,-12.04786,-77.03078
216,la catolica - lima,lima,avenida 09 de diciembre 444,basica alternativa - avanzado,privada - particular,-12.05995,-77.04086
217,la sorbona,lima,avenida 9 de diciembre 390,primaria,privada - particular,-12.05985,-77.03998
220,las estrellitas,lima,jiron mariano delgado de la flor 156,inicial - jardin,privada - particular,-12.03726,-77.04977
222,las merceditas,lima,jiron desaguadero 379,inicial - jardin,privada - particular,-12.04948,-77.01321
223,las semillitas de jesus,lima,calle isaias clivio 361,inicial - jardin,privada - particular,-12.04773,-77.01352
224,lima san carlos,lima,avenida uruguay 384-390,primaria,privada - particular,-12.05415,-77.03947
226,lima santa beatriz,lima,avenida paseo de la republica 690,inicial - jardin,privada - particular,-12.06482,-77.03387
228,los pastorcitos de belen,lima,jiron domingo astete y moscoso 1689,inicial - jardin,privada - particular,-12.05669,-77.07655
229,los reyes sabios,lima,jiron capitan ruy diaz 257,inicial - jardin,privada - particular,-12.03929,-77.05611
230,los robles,lima,jiron carlos arrieta 1249,primaria,privada - particular,-12.07668,-77.032
233,magic land,lima,calle enrique lopez albujar 1406,inicial - jardin,privada - particular,-12.06273,-77.06478
234,maria de las nieves,lima,avenida morales duarez 2753,primaria,privada - particular,-12.03568,-77.07582
236,maria madre,lima,avenida sta bernardita mz h lote 085,inicial - jardin,privada - particular,-12.06063,-77.07515
237,master school,lima,avenida arequipa 331,basica alternativa - avanzado,privada - particular,-12.06746,-77.03674
238,mauricio simons,lima,avenida arequipa 979 - 983,basica alternativa - avanzado,privada - particular,-12.07417,-77.03584
239,mayim haiem,lima,calle mariano arredondo 2851,inicial - jardin,privada - particular,-12.05401,-77.07894
241,medallita milagrosa,lima,pasaje isabel flores de oliva 145,inicial - jardin,privada - particular,-12.03591,-77.06489
243,mi buen jesus,lima,avenida enrique meiggs 1532,primaria,privada - particular,-12.03867,-77.06274
245,mi pequenin,lima,jiron victor criado tejada 2896,inicial - cuna jardin,privada - particular,-12.05702,-77.07505
246,mi pequeno jardin,lima,avenida alejandro tirado 639,inicial - jardin,privada - particular,-12.07385,-77.0321
248,miguel angel,lima,jiron santa aurelia 308,inicial - jardin,privada - particular,-12.06383,-77.07625
249,mis angelitos,lima,jiron jose felix bogado 2540,inicial - jardin,privada - particular,-12.05045,-77.07479
250,mis pequenos angelitos,lima,jiron angel velenzuela 605,inicial - jardin,privada - particular,-12.06283,-77.06694
251,mundo kids,lima,calle leonidas lasarre 495,inicial - jardin,privada - particular,-12.06,-77.0671
252,mundo nuevo,lima,jiron tupac amaru 412,primaria,privada - particular,-12.04015,-77.06107
254,my little star,lima,jiron abelardo gamarra 1477,inicial - jardin,privada - particular,-12.05495,-77.07378
255,nicolas copernico,lima,avenida paseo colon 434,basica alternativa - avanzado,privada - particular,-12.05993754,-77.04075
256,nicolas copernico - arequipa,lima,avenida arequipa 1215,basica alternativa - avanzado,privada - particular,-12.07694,-77.03546
257,nino jesus de praga,lima,jiron conchucos 278,inicial - jardin,privada - parroquial,-12.04609,-77.01147
260,nuestra senora de cocharcas,lima,jiron huanuco 942,primaria,privada - parroquial,-12.05531,-77.01851
263,nuestra senora de guadalupe,lima,avenida alfonso ugarte 1227,secundaria,publica - sector educacion,-12.05502,-77.04175
264,nuestra senora de la merced,lima,jiron perez de tudela 2474,secundaria,privada - particular,-12.03605,-77.0729
267,nuestra senora de las mercedes,lima,jiron maynas 540,primaria,privada - parroquial,-12.04846,-77.01722
270,nuestra senora de montserrat,lima,jiron conde de superunda 466,secundaria,publica - sector educacion,-12.04277,-77.03447
275,nuestra senora del carmelo,lima,jiron miro quesada 1533,primaria,privada - particular,-12.05215,-77.01366
276,nuestra senora del prado,lima,jiron junin 1411,primaria,privada - parroquial,-12.05183,-77.01496
279,pedro galvez egusquiza,lima,calle emilio garcia rosell 670,secundaria,publica - sector educacion,-12.06429,-77.06796
280,pnp cap. alipio ponce vasquez,lima,avenida sebastian lorente 769,secundaria,publica - otro sector publico,-12.05027,-77.01284
283,pnp tupac amaru,lima,avenida sebastian lorente 731,primaria,publica - otro sector publico,-12.04982,-77.01277
285,primeros trazos,lima,jiron francisco moreyra y riglos 318,inicial - jardin,privada - particular,-12.05288,-77.07844
286,rayito de luz,lima,avenida alejandro bertello 549,inicial - jardin,privada - particular,-12.0625,-77.06559
287,reina de los angeles,lima,avenida petit thouars 469,basica alternativa - avanzado,privada - particular,-12.06897,-77.03534
288,remar,lima,jiron camana 963,inicial - jardin,privada - instituciones beneficas,-12.05242,-77.03709
291,ricardo palma,lima,jiron crespo y castillo 2648,basica alternativa - avanzado,privada - particular,-12.03684,-77.07458
292,ruben dario,lima,jiron manuel del pino 176,basica alternativa - avanzado,privada - particular,-12.07882,-77.03577
293,saco oliveros,lima,jiron teodoro cardenas 457,inicial - jardin,privada - particular,-12.07729,-77.0331
296,saco oliveros de elio,lima,calle eugenio paredes 2448-2450,primaria,privada - particular,-12.05118,-77.07284
298,saco oliveros de los cipreses,lima,jiron ezequiel ossio penaranda 1812-1830,inicial - jardin,privada - particular,-12.059,-77.07825
301,saco oliveros de santa beatriz,lima,avenida arequipa 1268,secundaria,privada - particular,-12.07745,-77.03566
302,saint mark,lima,avenida aurelio garcia y garcia 1689,inicial - jardin,privada - particular,-12.05715,-77.07579
303,saint patrick,lima,jiron tnte aristides del carpio 1625,primaria,privada - particular,-12.05636,-77.07814
306,san andres,lima,avenida petit thouars 179,inicial - jardin,privada - particular,-12.06483,-77.03619
309,san ignacio de jesus,lima,pasaje hernan velarde 240,basica alternativa - avanzado,privada - particular,-12.06542,-77.03662
310,san ignacio de loyola,lima,jiron sanchez pinillos 280,primaria,privada - parroquial,-12.0483,-77.04511
312,san ignacio de monterrico - sidem,lima,jiron tarata 351-359,inicial - jardin,privada - particular,-12.05655,-77.01996
314,san jose y el nino jesus,lima,avenida belisario sosa pelaez 1408,inicial - cuna jardin,privada - particular,-12.06232,-77.06332
315,san pablo,lima,calle marte 443,secundaria,privada - particular,-12.0672,-77.06895
317,san patricio,lima,calle carlos revolledo 1036,inicial - jardin,privada - particular,-12.04853,-77.07633
318,santa ana,lima,jiron paruro 769,primaria,privada - parroquial,-12.04994,-77.02303
320,santa anita,lima,jiron mariano arredondo 2671,inicial - jardin,privada - particular,-12.0546,-77.07745
321,santa clara de asis,lima,jiron jauja 507,inicial - jardin,privada - parroquial,-12.04848,-77.02097
323,santa domitila,lima,calle santa domitila 280,inicial - cuna jardin,privada - particular,-12.06583,-77.07555
324,santa isabel de hungria,lima,avenida naciones unidas 1678,inicial - jardin,privada - particular,-12.05328,-77.06148
327,santa isabel de las americas,lima,jiron diego de la torre 1330,primaria,privada - particular,-12.03835,-77.06004
329,santa maria de lima,lima,calle maria parado de bellido mz g2 lote 39,inicial - jardin,privada - particular,-12.03928,-77.06267
331,santa maria de los angeles,lima,jiron condesuyos 536,inicial - jardin,privada - particular,-12.03825,-77.05149
333,santa maria reyna,lima,jiron junin 1038,primaria,privada - particular,-12.04801,-77.04046
336,santa patricia,lima,jiron jose felix bogado 2417,inicial - jardin,privada - particular,-12.05066,-77.07302
337,santa teresa de avila,lima,avenida prolongacion arica 2048,primaria,privada - particular,-12.0542,-77.06119
339,santa teresa de jesus,lima,jiron oropesa 180,primaria,privada - parroquial,-12.05101,-77.01181
341,santa teresita del instituto materno perinatal,lima,jiron cangallo 550,inicial - cuna jardin,publica - otro sector publico,-12.05299,-77.02197
342,santa zoila,lima,jiron huanta 1011,primaria,privada - particular,-12.05392,-77.02327
344,santiago antunez de mayolo,lima,avenida washington 1232,basica alternativa - avanzado,privada - particular,-12.05502,-77.0396
346,santisima trinidad,lima,jiron holanda 2456,inicial - jardin,privada - parroquial,-12.05127,-77.0644
349,santisima virgen del rosario de yauca,lima,jiron jose eugenio paredes 2575,inicial - jardin,privada - particular,-12.0512,-77.07221
351,santisimo salvador,lima,jiron ancash 880,primaria,privada - parroquial,-12.04765,-77.022
354,santo angel,lima,jiron jose diaz 374,inicial - jardin,privada - particular,-12.05272,-77.0674
355,santo tomas de aquino,lima,calle rinconada de santo domingo 209,secundaria,privada - particular,-12.04303,-77.03274
357,sapiens,lima,avenida garcilaso de la vega 1592,basica alternativa - avanzado,privada - particular,-12.06112,-77.03807
358,senor de la misericordia,lima,jiron junin 1458,primaria,privada - parroquial,-12.05193,-77.01502
361,senor de los milagros,lima,avenida inca garcilazo de la vega 1584,basica alternativa - avanzado,privada - particular,-12.0607,-77.03801
362,senor de luren,lima,jiron crespo y castillo 2401,inicial - jardin,privada - particular,-12.03663,-77.07231
365,simon bolivar,lima,jiron santa justina s/n,secundaria,publica - sector educacion,-12.0618,-77.06906
366,suenos de nino,lima,jiron pedro davalos lisson 154,primaria,privada - particular,-12.05151,-77.03947
368,teresa de calcuta en trinidad,lima,jiron gualberto guevara 587,primaria,privada - particular,-12.05125,-77.06657
371,trento colonial,lima,avenida oscar r. benavides / ex- colonial 2443,secundaria,privada - particular,-12.04977,-77.07341
372,trilce de roma,lima,calle emilio fernandez 641 - 649,primaria,privada - particular,-12.07279,-77.03221
374,victor andres belaunde,lima,jiron chota 855,inicial - jardin,privada - particular,-12.05054,-77.04076
377,virgen de la medalla milagrosa,lima,jiron eduardo terry 1540,primaria,privada - particular,-12.04353,-77.0619
379,virgen de medjugorje,lima,jiron carlos larrabure y correa 2591,inicial - jardin,privada - particular,-12.05281,-77.07565
380,virgen del rosario,lima,jiron ancash 1532,inicial - jardin,privada - particular,-12.04475,-77.01186
382,virgo potens,lima,jiron puno 1731,secundaria,publica - en convenio,-12.055,-77.01568
384,vision mundial,lima,carretera via evitamiento km.4.5 mz l lote 1-2,primaria,publica - sector educacion,-12.0327,-77.0107
387,warma kuyay,lima,jiron perez de tudela cdra 24 s/n,inicial - jardin,publica - sector educacion,-12.03603,-77.07264
388,madre esperanza de jesus,lima,jiron comandante torres paz 935,primaria,privada - particular,-12.07326,-77.0315
389,trilce santa beatriz,lima,avenida arequipa 1381,secundaria,privada - particular,-12.07837,-77.03519
390,2062 andres avelino caceres,ancon,jiron loa 825,primaria,publica - sector educacion,-11.77575,-77.1711
391,2066 almirante miguel grau,ancon,avenida los eucaliptos s/n,primaria,publica - sector educacion,-11.7835,-77.15962
394,3069 generalisimo jose de san martin,ancon,avenida julio c tello 1ra cuadra s/n,secundaria,publica - sector educacion,-11.77464,-77.16463
397,3098 cesar vallejo,ancon,avenida b s/n,primaria,publica - sector educacion,-11.81321,-77.1353
399,330,ancon,calle loa 160,inicial - jardin,publica - en convenio,-11.77474,-77.17255
400,352 virgen de la merced,ancon,carretera pan zona 12 s/n,inicial - jardin,publica - sector educacion,-11.78184331,-77.16175765
401,3721 santa rosa,ancon,avenida las colinas s/n,primaria,publica - en convenio,-11.77515,-77.16876
403,388 los rosales,ancon,carretera pan norte s/n,inicial - jardin,publica - sector educacion,-11.81248,-77.13506
404,5175 manuel arevalo caceres,ancon,calle 34 s/n mz b lote 8,primaria,publica - sector educacion,-11.8157,-77.13267
405,5183 carlos manuel cox,ancon,carretera panamericana s/n,primaria,publica - sector educacion,-11.80875,-77.13455
406,591 carlos manuel cox,ancon,carretera panamericana s/n,inicial - jardin,publica - sector educacion,-11.81014,-77.13273
407,594 jesus amigo,ancon,calle 33 s/n mz b8 lote 2,inicial - jardin,publica - sector educacion,-11.81593,-77.13313
408,596,ancon,avenida las colinas parq 4 s/n,inicial - jardin,publica - sector educacion,-11.77914,-77.17272
409,614 amiguitos del saber,ancon,avenida e y calle 78 s/n,inicial - jardin,publica - sector educacion,-11.81499,-77.14061
410,615 senor de los milagros,ancon,calle 4 s/n,inicial - jardin,publica - sector educacion,-11.7755,-77.16051
411,8193,ancon,avenida los duraznos s/n,secundaria,publica - sector educacion,-11.73068,-77.14243
413,898,ancon,avenida los duraznos s/n,inicial - jardin,publica - sector educacion,-11.73068,-77.14243
414,adesa,ancon,avenida b y d s/n,inicial - jardin,privada - particular,-11.8139,-77.13652
417,ancon school,ancon,mz g lote 2,primaria,privada - particular,-11.77988646,-77.16150595
418,carlos gutierrez merino,ancon,jiron loa 875,secundaria,publica - sector educacion,-11.7758,-77.17089
419,cientifico scholl,ancon,mz 59 lote 18,primaria,privada - particular,-11.7364295,-77.1435173
420,claret school,ancon,calle 2 s/n mz d lote 15,primaria,privada - particular,-11.76714,-77.15958
421,colonia de ancon 01 ninas,ancon,playa las conchitas s/n,primaria,publica - en convenio,-11.74914,-77.16815
422,colonia de ancon 02 ninos,ancon,playa las conchitas s/n,primaria,publica - en convenio,-11.75099,-77.1691
423,david ausubel,ancon,avenida los linos s/n mz 143 lote 05 etapa i,primaria,privada - particular,-11.7382894,-77.1446293
425,dios es amor,ancon,mz d lote 5-6,primaria,privada - particular,-11.81158,-77.13126
428,divino nino jesus de ancon,ancon,mz w lote 08,inicial - jardin,privada - particular,-11.77343,-77.16874
430,el buen pastor de ancon,ancon,avenida ica s/n mz 51-16,inicial - jardin,privada - particular,-11.73654,-77.14251
432,el carmelo,ancon,mz a lote 1-2,inicial - jardin,privada - particular,-11.77154,-77.17201
435,emiliano ezcurra carpio,ancon,mz c lote 6,inicial - jardin,privada - particular,-11.78143,-77.16015
437,hight bruner school,ancon,mz a lote 06,inicial - jardin,privada - particular,-11.8529262,-77.04248862
438,ingenieros school,ancon,mz 141 lote 1-8,inicial - jardin,privada - particular,-11.7334166,-77.1520277
439,jesus divino maestro,ancon,mz n6 lote 12,primaria,privada - particular,-11.81639,-77.13948
440,jesus el nazareno de villas de ancon,ancon,mz 103 lote 2-19,primaria,privada - particular,-11.73656,-77.1459
442,jose maria arguedas,ancon,carretera panamericana norte km. 39.50,basica alternativa - avanzado,publica - sector educacion,-11.81208,-77.11819
443,la catolica high school,ancon,mz h-7,inicial - jardin,privada - particular,-11.81124,-77.13553
445,los angeles de dios,ancon,mz c4 lote 16 17 sector los rosales,inicial - jardin,privada - particular,-11.81394,-77.13184
446,mariscal andres avelino caceres,ancon,centro penitenciario piedras gordas,basica alternativa - avanzado,publica - sector educacion,-11.81047,-77.12231
447,miguel grau seminario,ancon,avenida arica s/n mz z lote 2,primaria,privada - particular,-11.77545,-77.16957
450,my. ep marko jara schenone,ancon,mz r lote 01,inicial - jardin,privada - particular,-11.81404,-77.12510939
453,newton de ancon,ancon,avenida 11 de enero mz 17 lote 9 10 villas de ancon,inicial - jardin,privada - particular,-11.7394,-77.14426
455,nuestra senora de la paz,ancon,calle amazonas s/n,inicial - jardin,publica - sector educacion,-11.74277,-77.15628
